myid,runno,depot,page_1,page,day,moblink,pclink,Trip Sheet
AlleghenyWeekday101,101,Allegheny,1 of 2,1,Weekday,https://www4.septa.org/picking/pdf/fall-a-2026/allegheny/paddles/weekday-paddles.pdf#page=1,https://www4.septa.org/picking/pdf/fall-a-2026/allegheny/paddles/weekday-paddles#page=1.pdf,https://www4.septa.org/picking/pdf/fall-a-2026/allegheny/trip-sheets/weekday-trip-sheets.pdf
AlleghenyWeekday102,102,Allegheny,1 of 2,3,Weekday,https://www4.septa.org/picking/pdf/fall-a-2026/allegheny/paddles/weekday-paddles.pdf#page=3,https://www4.septa.org/picking/pdf/fall-a-2026/allegheny/paddles/weekday-paddles#page=3.pdf,https://www4.septa.org/picking/pdf/fall-a-2026/allegheny/trip-sheets/weekday-trip-sheets.pdf
AlleghenyWeekday103,103,Allegheny,1 of 2,5,Weekday,https://www4.septa.org/picking/pdf/fall-a-2026/allegheny/paddles/weekday-paddles.pdf#page=5,https://www4.septa.org/picking/pdf/fall-a-2026/allegheny/paddles/weekday-paddles#page=5.pdf,https://www4.septa.org/picking/pdf/fall-a-2026/allegheny/trip-sheets/weekday-trip-sheets.pdf
AlleghenyWeekday104,104,Allegheny,1 of 2,7,Weekday,https://www4.septa.org/picking/pdf/fall-a-2026/allegheny/paddles/weekday-paddles.pdf#page=7,https://www4.septa.org/picking/pdf/fall-a-2026/allegheny/paddles/weekday-paddles#page=7.pdf,https://www4.septa.org/picking/pdf/fall-a-2026/allegheny/trip-sheets/weekday-trip-sheets.pdf
AlleghenyWeekday105,105,Allegheny,1 of 2,9,Weekday,https://www4.septa.org/picking/pdf/fall-a-2026/allegheny/paddles/weekday-paddles.pdf#page=9,https://www4.septa.org/picking/pdf/fall-a-2026/allegheny/paddles/weekday-paddles#page=9.pdf,https://www4.septa.org/picking/pdf/fall-a-2026/allegheny/trip-sheets/weekday-trip-sheets.pdf
AlleghenyWeekday106,106,Allegheny,1 of 2,11,Weekday,https://www4.septa.org/picking/pdf/fall-a-2026/allegheny/paddles/weekday-paddles.pdf#page=11,https://www4.septa.org/picking/pdf/fall-a-2026/allegheny/paddles/weekday-paddles#page=11.pdf,https://www4.septa.org/picking/pdf/fall-a-2026/allegheny/trip-sheets/weekday-trip-sheets.pdf
AlleghenyWeekday107,107,Allegheny,1 of 2,13,Weekday,https://www4.septa.org/picking/pdf/fall-a-2026/allegheny/paddles/weekday-paddles.pdf#page=13,https://www4.septa.org/picking/pdf/fall-a-2026/allegheny/paddles/weekday-paddles#page=13.pdf,https://www4.septa.org/picking/pdf/fall-a-2026/allegheny/trip-sheets/weekday-trip-sheets.pdf
AlleghenyWeekday108,108,Allegheny,1 of 1,15,Weekday,https://www4.septa.org/picking/pdf/fall-a-2026/allegheny/paddles/weekday-paddles.pdf#page=15,https://www4.septa.org/picking/pdf/fall-a-2026/allegheny/paddles/weekday-paddles#page=15.pdf,https://www4.septa.org/picking/pdf/fall-a-2026/allegheny/trip-sheets/weekday-trip-sheets.pdf
AlleghenyWeekday109,109,Allegheny,1 of 2,16,Weekday,https://www4.septa.org/picking/pdf/fall-a-2026/allegheny/paddles/weekday-paddles.pdf#page=16,https://www4.septa.org/picking/pdf/fall-a-2026/allegheny/paddles/weekday-paddles#page=16.pdf,https://www4.septa.org/picking/pdf/fall-a-2026/allegheny/trip-sheets/weekday-trip-sheets.pdf
AlleghenyWeekday110,110,Allegheny,1 of 1,18,Weekday,https://www4.septa.org/picking/pdf/fall-a-2026/allegheny/paddles/weekday-paddles.pdf#page=18,https://www4.septa.org/picking/pdf/fall-a-2026/allegheny/paddles/weekday-paddles#page=18.pdf,https://www4.septa.org/picking/pdf/fall-a-2026/allegheny/trip-sheets/weekday-trip-sheets.pdf
