myid,depot,eff_date,day,pullout2,swingdur,swingdursec,runno,start,arrive,finish,worktime,pay,leave,r1,b1,potype1,pot1,pitype1,pit1,stime1,stimeint1,start22,r2,b2,potype2,pot2,pitype2,pit2,stime2,stimeint2,start23,r3,b3,potype3,pot3,pitype3,pit3,stime3,stimeint3,start24,r4,b4,potype4,pot4,pitype4,pit4,stime4,stimeint4,start25,r5,b5,potype5,pot5,pitype5,pit5,stime5,stimeint5,start26,r6,b6,potype6,pot6,pitype6,pit6,stime6,stimeint6,start27,r7,b7,potype7,pot7,pitype7,pit7,stime7,stimeint7,start28,r8,b8,potype8,pot8,pitype8,pit8,stime8,stimeint8,start29,r9,b9,potype9,pot9,pitype9,pit9,stime9,stimeint9,start210,r10,b10,potype10,pot10,pitype10,pit10,stime10,stimeint10,sum1, sum12,sum2, sum22,sum3, sum32,sum4, sum42,sum5, sum52,sum6, sum62,sum7, sum72,sum8, sum82,sum9, sum92,sum10, sum102,
Alleghenysaturday101,Allegheny,8-29-2026,saturday,,,,101,2023-10-11 01:05 AM,,2023-10-11 10:45 AM,9:30,10.3,,6,5101,O,01:19 AM,I,10:41 AM,9:22,562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 6 SCHD: 9:22,--> O: 01:19 AM > I: 10:41 AM,,,,,,,,,,,,,,,,,,,
Alleghenysaturday102,Allegheny,8-29-2026,saturday,,,,102,2023-10-11 07:01 AM,,2023-10-11 3:15 PM,8:04,8.1,,6,5102,O,07:15 AM,I,03:11 PM,7:56,476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 6 SCHD: 7:56,--> O: 07:15 AM > I: 03:11 PM,,,,,,,,,,,,,,,,,,,
Alleghenysaturday103,Allegheny,8-29-2026,saturday,,,,103,2023-10-11 07:25 AM,,2023-10-11 6:05 PM,10:30,11.8,,6,5103,O,07:39 AM,I,06:01 PM,10:22,622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 6 SCHD: 10:22,--> O: 07:39 AM > I: 06:01 PM,,,,,,,,,,,,,,,,,,,
Alleghenysaturday104,Allegheny,8-29-2026,saturday,,,,104,2023-10-11 09:16 AM,,2023-10-11 6:42 PM,9:16,9.9,,6,5104,O,09:30 AM,I,06:38 PM,9:08,548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 6 SCHD: 9:08,--> O: 09:30 AM > I: 06:38 PM,,,,,,,,,,,,,,,,,,,
Alleghenysaturday105,Allegheny,8-29-2026,saturday,,,,105,2023-10-11 10:06 AM,,2023-10-11 9:00 PM,10:44,12.1,,6,5105,O,10:20 AM,I,08:56 PM,10:36,636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 6 SCHD: 10:36,--> O: 10:20 AM > I: 08:56 PM,,,,,,,,,,,,,,,,,,,
Alleghenysaturday106,Allegheny,8-29-2026,saturday,,,,106,2023-10-11 02:36 PM,,2023-10-11 11:57 PM,9:11,9.8,,6,5106,O,02:50 PM,I,11:53 PM,9:03,543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 6 SCHD: 9:03,--> O: 02:50 PM > I: 11:53 PM,,,,,,,,,,,,,,,,,,,
Alleghenysaturday107,Allegheny,8-29-2026,saturday,,,,107,2023-10-11 04:51 PM,,2023-10-12 1:28 AM,8:27,8.7,,6,5107,O,05:05 PM,I,01:24 AM,8:19,499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 6 SCHD: 8:19,--> O: 05:05 PM > I: 01:24 AM,,,,,,,,,,,,,,,,,,,
Alleghenysaturday801,Allegheny,8-29-2026,saturday,,,,801,2023-10-11 05:02 AM,,2023-10-11 1:26 PM,8:14,8.4,,9,5001,O,05:16 AM,CG,10:02 AM,4:46,286,,27,5001,CG,10:02 AM,I,01:22 PM,3:20,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 9 SCHD: 4:46,--> O: 05:16 AM > CG: 10:02 AM,RTE: 27 SCHD: 3:20,--> CG: 10:02 AM > I: 01:22 PM,,,,,,,,,,,,,,,,,
Alleghenysaturday802,Allegheny,8-29-2026,saturday,,,,802,2023-10-11 05:06 AM,,2023-10-11 2:53 PM,9:37,10.4,,9,5002,O,05:20 AM,I,02:49 PM,9:29,569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 9 SCHD: 9:29,--> O: 05:20 AM > I: 02:49 PM,,,,,,,,,,,,,,,,,,,
Alleghenysaturday803,Allegheny,8-29-2026,saturday,,,,803,2023-10-11 05:36 AM,,2023-10-11 3:25 PM,9:39,10.5,,9,5003,O,05:50 AM,I,03:21 PM,9:31,571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 9 SCHD: 9:31,--> O: 05:50 AM > I: 03:21 PM,,,,,,,,,,,,,,,,,,,
