myid,depot,eff_date,day,pullout2,swingdur,swingdursec,runno,start,arrive,finish,worktime,pay,leave,r1,b1,potype1,pot1,pitype1,pit1,stime1,stimeint1,start22,r2,b2,potype2,pot2,pitype2,pit2,stime2,stimeint2,start23,r3,b3,potype3,pot3,pitype3,pit3,stime3,stimeint3,start24,r4,b4,potype4,pot4,pitype4,pit4,stime4,stimeint4,start25,r5,b5,potype5,pot5,pitype5,pit5,stime5,stimeint5,start26,r6,b6,potype6,pot6,pitype6,pit6,stime6,stimeint6,start27,r7,b7,potype7,pot7,pitype7,pit7,stime7,stimeint7,start28,r8,b8,potype8,pot8,pitype8,pit8,stime8,stimeint8,start29,r9,b9,potype9,pot9,pitype9,pit9,stime9,stimeint9,start210,r10,b10,potype10,pot10,pitype10,pit10,stime10,stimeint10,sum1, sum12,sum2, sum22,sum3, sum32,sum4, sum42,sum5, sum52,sum6, sum62,sum7, sum72,sum8, sum82,sum9, sum92,sum10, sum102,
Alleghenyweekday101,Allegheny,8-24-2026,weekday,,,,101,2023-10-11 01:05 AM,,2023-10-11 9:02 AM,7:47,8.0,,6,5101,O,01:19 AM,I,08:58 AM,7:39,459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 6 SCHD: 7:39,--> O: 01:19 AM > I: 08:58 AM,,,,,,,,,,,,,,,,,,,
Alleghenyweekday102,Allegheny,8-24-2026,weekday,,,,102,2023-10-11 03:35 AM,,2023-10-11 1:30 PM,9:45,10.6,,6,5102,O,03:49 AM,I,01:26 PM,9:37,577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 6 SCHD: 9:37,--> O: 03:49 AM > I: 01:26 PM,,,,,,,,,,,,,,,,,,,
Alleghenyweekday103,Allegheny,8-24-2026,weekday,,,,103,2023-10-11 05:07 AM,,2023-10-11 1:45 PM,8:28,8.7,,6,5103,O,05:21 AM,I,01:41 PM,8:20,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 6 SCHD: 8:20,--> O: 05:21 AM > I: 01:41 PM,,,,,,,,,,,,,,,,,,,
Alleghenyweekday104,Allegheny,8-24-2026,weekday,02:17 PM,3Hrs 6Min,11160,104,2023-10-11 05:23 AM,,2023-10-11 4:14 PM,7:35,8.0,,6,5105,O,05:37 AM,I,11:11 AM,5:34,334,2:07,48,5440,O,02:17 PM,I,04:10 PM,1:53,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 6 SCHD: 5:34,--> O: 05:37 AM > I: 11:11 AM,RTE: 48 SCHD: 1:53,--> O: 02:17 PM > I: 04:10 PM,,,,,,,,,,,,,,,,,
Alleghenyweekday105,Allegheny,8-24-2026,weekday,01:02 PM,3Hrs 59Min,14340,105,2023-10-11 05:20 AM,,2023-10-11 5:32 PM,8:03,9.6,,6,5104,O,05:34 AM,I,09:03 AM,3:29,209,12:52,6,5110,O,01:02 PM,I,05:28 PM,4:26,266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 6 SCHD: 3:29,--> O: 05:34 AM > I: 09:03 AM,RTE: 6 SCHD: 4:26,--> O: 01:02 PM > I: 05:28 PM,,,,,,,,,,,,,,,,,
Alleghenyweekday106,Allegheny,8-24-2026,weekday,10:35 AM,2Hrs 34Min,9240,106,2023-10-11 05:57 AM,,2023-10-11 6:02 PM,9:21,11.4,,HRS,5551,O,06:11 AM,I,08:01 AM,1:50,110,10:25,6,5107,O,10:35 AM,I,05:58 PM,7:23,443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: HRS SCHD: 1:50,--> O: 06:11 AM > I: 08:01 AM,RTE: 6 SCHD: 7:23,--> O: 10:35 AM > I: 05:58 PM,,,,,,,,,,,,,,,,,
Alleghenyweekday107,Allegheny,8-24-2026,weekday,12:08 PM,1Hrs 8Min,4080,107,2023-10-11 08:19 AM,,2023-10-11 7:56 PM,10:19,12.4,,6,5106,O,08:33 AM,I,11:00 AM,2:27,147,11:58,48,5435,O,12:08 PM,I,07:52 PM,7:44,464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 6 SCHD: 2:27,--> O: 08:33 AM > I: 11:00 AM,RTE: 48 SCHD: 7:44,--> O: 12:08 PM > I: 07:52 PM,,,,,,,,,,,,,,,,,
Alleghenyweekday108,Allegheny,8-24-2026,weekday,,,,108,2023-10-11 12:33 PM,,2023-10-11 9:03 PM,8:20,8.5,,6,5109,O,12:47 PM,I,08:59 PM,8:12,492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 6 SCHD: 8:12,--> O: 12:47 PM > I: 08:59 PM,,,,,,,,,,,,,,,,,,,
Alleghenyweekday109,Allegheny,8-24-2026,weekday,02:32 PM,1Hrs 17Min,4620,109,2023-10-11 10:36 AM,,2023-10-11 9:31 PM,9:28,10.6,,6,5108,O,10:50 AM,I,01:15 PM,2:25,145,2:22,54,5512,O,02:32 PM,I,09:27 PM,6:55,415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 6 SCHD: 2:25,--> O: 10:50 AM > I: 01:15 PM,RTE: 54 SCHD: 6:55,--> O: 02:32 PM > I: 09:27 PM,,,,,,,,,,,,,,,,,
Alleghenyweekday110,Allegheny,8-24-2026,weekday,,,,110,2023-10-11 02:27 PM,,2023-10-11 10:22 PM,7:45,8.0,,6,5113,O,02:41 PM,I,10:18 PM,7:37,457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 6 SCHD: 7:37,--> O: 02:41 PM > I: 10:18 PM,,,,,,,,,,,,,,,,,,,
Alleghenyweekday111,Allegheny,8-24-2026,weekday,,,,111,2023-10-11 02:21 PM,,2023-10-12 12:01 AM,9:30,10.3,,6,5112,O,02:35 PM,I,11:57 PM,9:22,562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 6 SCHD: 9:22,--> O: 02:35 PM > I: 11:57 PM,,,,,,,,,,,,,,,,,,,
Alleghenyweekday112,Allegheny,8-24-2026,weekday,,,,112,2023-10-11 04:46 PM,,2023-10-12 1:28 AM,8:32,8.8,,6,5114,O,05:00 PM,I,01:24 AM,8:24,504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 6 SCHD: 8:24,--> O: 05:00 PM > I: 01:24 AM,,,,,,,,,,,,,,,,,,,
Alleghenyweekday801,Allegheny,8-24-2026,weekday,,,,801,2023-10-11 04:21 AM,,2023-10-11 2:09 PM,9:38,10.5,,9,5002,O,04:35 AM,I,02:05 PM,9:30,570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 9 SCHD: 9:30,--> O: 04:35 AM > I: 02:05 PM,,,,,,,,,,,,,,,,,,,
Alleghenyweekday802,Allegheny,8-24-2026,weekday,,,,802,2023-10-11 04:47 AM,,2023-10-11 12:37 PM,7:40,8.0,,9,5003,O,05:01 AM,I,12:33 PM,7:32,452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 9 SCHD: 7:32,--> O: 05:01 AM > I: 12:33 PM,,,,,,,,,,,,,,,,,,,
Alleghenyweekday803,Allegheny,8-24-2026,weekday,,,,803,2023-10-11 05:48 AM,,2023-10-11 1:41 PM,7:43,8.0,,9,5006,O,06:02 AM,I,01:37 PM,7:35,455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 9 SCHD: 7:35,--> O: 06:02 AM > I: 01:37 PM,,,,,,,,,,,,,,,,,,,
