myid,depot,eff_date,day,pullout2,swingdur,swingdursec,runno,start,arrive,finish,worktime,pay,leave,r1,b1,potype1,pot1,pitype1,pit1,stime1,stimeint1,start22,r2,b2,potype2,pot2,pitype2,pit2,stime2,stimeint2,start23,r3,b3,potype3,pot3,pitype3,pit3,stime3,stimeint3,start24,r4,b4,potype4,pot4,pitype4,pit4,stime4,stimeint4,start25,r5,b5,potype5,pot5,pitype5,pit5,stime5,stimeint5,start26,r6,b6,potype6,pot6,pitype6,pit6,stime6,stimeint6,start27,r7,b7,potype7,pot7,pitype7,pit7,stime7,stimeint7,start28,r8,b8,potype8,pot8,pitype8,pit8,stime8,stimeint8,start29,r9,b9,potype9,pot9,pitype9,pit9,stime9,stimeint9,start210,r10,b10,potype10,pot10,pitype10,pit10,stime10,stimeint10,sum1, sum12,sum2, sum22,sum3, sum32,sum4, sum42,sum5, sum52,sum6, sum62,sum7, sum72,sum8, sum82,sum9, sum92,sum10, sum102,
Alleghenysaturday101,Allegheny,6-20-2026,saturday,,,,101,2023-10-11 01:05 AM,,2023-10-11 10:12 AM,8:57,9.4,,6,5101,O,01:19 AM,I,10:08 AM,8:49,529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 6 SCHD: 8:49,--> O: 01:19 AM > I: 10:08 AM,,,,,,,,,,,,,,,,,,,
Alleghenysaturday102,Allegheny,6-20-2026,saturday,,,,102,2023-10-11 05:17 AM,,2023-10-11 2:20 PM,8:53,9.3,,6,5102,O,05:31 AM,I,02:16 PM,8:45,525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 6 SCHD: 8:45,--> O: 05:31 AM > I: 02:16 PM,,,,,,,,,,,,,,,,,,,
Alleghenysaturday103,Allegheny,6-20-2026,saturday,,,,103,2023-10-11 05:22 AM,,2023-10-11 3:35 PM,10:03,11.1,,6,5103,O,05:36 AM,I,03:31 PM,9:55,595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 6 SCHD: 9:55,--> O: 05:36 AM > I: 03:31 PM,,,,,,,,,,,,,,,,,,,
Alleghenysaturday104,Allegheny,6-20-2026,saturday,,,,104,2023-10-11 09:13 AM,,2023-10-11 5:55 PM,8:32,8.8,,6,5104,O,09:27 AM,I,05:51 PM,8:24,504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 6 SCHD: 8:24,--> O: 09:27 AM > I: 05:51 PM,,,,,,,,,,,,,,,,,,,
Alleghenysaturday105,Allegheny,6-20-2026,saturday,,,,105,2023-10-11 11:26 AM,,2023-10-11 7:46 PM,8:10,8.3,,6,5105,O,11:40 AM,I,07:42 PM,8:02,482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 6 SCHD: 8:02,--> O: 11:40 AM > I: 07:42 PM,,,,,,,,,,,,,,,,,,,
Alleghenysaturday106,Allegheny,6-20-2026,saturday,,,,106,2023-10-11 02:56 PM,,2023-10-12 1:32 AM,10:26,11.7,,6,5106,O,03:10 PM,I,01:28 AM,10:18,618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 6 SCHD: 10:18,--> O: 03:10 PM > I: 01:28 AM,,,,,,,,,,,,,,,,,,,
Alleghenysaturday107,Allegheny,6-20-2026,saturday,,,,107,2023-10-11 05:11 PM,,2023-10-12 2:42 AM,9:21,10.0,,6,5107,O,05:25 PM,I,02:38 AM,9:13,553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 6 SCHD: 9:13,--> O: 05:25 PM > I: 02:38 AM,,,,,,,,,,,,,,,,,,,
Alleghenysaturday801,Allegheny,6-20-2026,saturday,,,,801,2023-10-11 05:02 AM,,2023-10-11 1:26 PM,8:14,8.4,,9,5001,O,05:16 AM,CG,10:02 AM,4:46,286,,27,5001,CG,10:02 AM,I,01:22 PM,3:20,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 9 SCHD: 4:46,--> O: 05:16 AM > CG: 10:02 AM,RTE: 27 SCHD: 3:20,--> CG: 10:02 AM > I: 01:22 PM,,,,,,,,,,,,,,,,,
Alleghenysaturday802,Allegheny,6-20-2026,saturday,,,,802,2023-10-11 05:06 AM,,2023-10-11 2:52 PM,9:36,10.4,,9,5002,O,05:20 AM,I,02:48 PM,9:28,568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 9 SCHD: 9:28,--> O: 05:20 AM > I: 02:48 PM,,,,,,,,,,,,,,,,,,,
Alleghenysaturday803,Allegheny,6-20-2026,saturday,,,,803,2023-10-11 05:36 AM,,2023-10-11 3:23 PM,9:37,10.4,,9,5003,O,05:50 AM,I,03:19 PM,9:29,569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 9 SCHD: 9:29,--> O: 05:50 AM > I: 03:19 PM,,,,,,,,,,,,,,,,,,,
Alleghenysaturday804,Allegheny,6-20-2026,saturday,,,,804,2023-10-11 06:06 AM,,2023-10-11 3:58 PM,9:42,10.6,,9,5004,O,06:20 AM,I,03:54 PM,9:34,574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 9 SCHD: 9:34,--> O: 06:20 AM > I: 03:54 PM,,,,,,,,,,,,,,,,,,,
Alleghenysaturday805,Allegheny,6-20-2026,saturday,,,,805,2023-10-11 09:01 AM,,2023-10-11 6:47 PM,9:36,10.4,,9,5005,O,09:15 AM,CG,05:06 PM,7:51,471,,48,5005,CG,05:06 PM,I,06:43 PM,1:37,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 9 SCHD: 7:51,--> O: 09:15 AM > CG: 05:06 PM,RTE: 48 SCHD: 1:37,--> CG: 05:06 PM > I: 06:43 PM,,,,,,,,,,,,,,,,,
Alleghenysaturday806,Allegheny,6-20-2026,saturday,,,,806,2023-10-11 11:27 AM,,2023-10-11 7:24 PM,7:47,8.0,,9,5006,O,11:41 AM,I,07:20 PM,7:39,459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 9 SCHD: 7:39,--> O: 11:41 AM > I: 07:20 PM,,,,,,,,,,,,,,,,,,,
Alleghenysaturday807,Allegheny,6-20-2026,saturday,,,,807,2023-10-11 02:26 PM,,2023-10-11 11:43 PM,9:07,9.7,,9,5007,O,02:40 PM,I,11:39 PM,8:59,539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 9 SCHD: 8:59,--> O: 02:40 PM > I: 11:39 PM,,,,,,,,,,,,,,,,,,,
Alleghenysaturday808,Allegheny,6-20-2026,saturday,,,,808,2023-10-11 03:56 PM,,2023-10-12 1:19 AM,9:13,9.8,,9,5009,O,04:10 PM,I,01:15 AM,9:05,545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 9 SCHD: 9:05,--> O: 04:10 PM > I: 01:15 AM,,,,,,,,,,,,,,,,,,,
Alleghenysaturday809,Allegheny,6-20-2026,saturday,,,,809,2023-10-11 03:26 PM,,2023-10-12 2:14 AM,10:38,12.0,,9,5008,O,03:40 PM,I,02:10 AM,10:30,630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 9 SCHD: 10:30,--> O: 03:40 PM > I: 02:10 AM,,,,,,,,,,,,,,,,,,,
Alleghenysaturday951,Allegheny,6-20-2026,saturday,,,,951,2023-10-11 05:05 AM,,2023-10-11 3:54 PM,10:39,12.0,,27,5051,O,05:19 AM,I,03:50 PM,10:31,631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 27 SCHD: 10:31,--> O: 05:19 AM > I: 03:50 PM,,,,,,,,,,,,,,,,,,,
