myid,runno,depot,page_1,page,day,moblink,pclink,triplink
CallowhillWeekday51,51,Callowhill,1 of 2,1,Weekday,https://www4.septa.org/picking/pdf/spring-a-2026/callowhill/bus/paddles/weekday-paddles#page1.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/callowhill/bus/paddles/weekday-paddles#page=1.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/callowhill/bus/trip-sheets/weekday-trip-sheets.pdf
CallowhillWeekday52,52,Callowhill,1 of 2,3,Weekday,https://www4.septa.org/picking/pdf/spring-a-2026/callowhill/bus/paddles/weekday-paddles#page3.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/callowhill/bus/paddles/weekday-paddles#page=3.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/callowhill/bus/trip-sheets/weekday-trip-sheets.pdf
CallowhillWeekday53,53,Callowhill,1 of 2,5,Weekday,https://www4.septa.org/picking/pdf/spring-a-2026/callowhill/bus/paddles/weekday-paddles#page5.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/callowhill/bus/paddles/weekday-paddles#page=5.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/callowhill/bus/trip-sheets/weekday-trip-sheets.pdf
CallowhillWeekday54,54,Callowhill,1 of 2,7,Weekday,https://www4.septa.org/picking/pdf/spring-a-2026/callowhill/bus/paddles/weekday-paddles#page7.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/callowhill/bus/paddles/weekday-paddles#page=7.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/callowhill/bus/trip-sheets/weekday-trip-sheets.pdf
CallowhillWeekday101,101,Callowhill,1 of 2,9,Weekday,https://www4.septa.org/picking/pdf/spring-a-2026/callowhill/bus/paddles/weekday-paddles#page9.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/callowhill/bus/paddles/weekday-paddles#page=9.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/callowhill/bus/trip-sheets/weekday-trip-sheets.pdf
CallowhillWeekday102,102,Callowhill,1 of 2,11,Weekday,https://www4.septa.org/picking/pdf/spring-a-2026/callowhill/bus/paddles/weekday-paddles#page11.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/callowhill/bus/paddles/weekday-paddles#page=11.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/callowhill/bus/trip-sheets/weekday-trip-sheets.pdf
CallowhillWeekday103,103,Callowhill,1 of 2,13,Weekday,https://www4.septa.org/picking/pdf/spring-a-2026/callowhill/bus/paddles/weekday-paddles#page13.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/callowhill/bus/paddles/weekday-paddles#page=13.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/callowhill/bus/trip-sheets/weekday-trip-sheets.pdf
CallowhillWeekday104,104,Callowhill,1 of 2,15,Weekday,https://www4.septa.org/picking/pdf/spring-a-2026/callowhill/bus/paddles/weekday-paddles#page15.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/callowhill/bus/paddles/weekday-paddles#page=15.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/callowhill/bus/trip-sheets/weekday-trip-sheets.pdf
CallowhillWeekday105,105,Callowhill,1 of 2,17,Weekday,https://www4.septa.org/picking/pdf/spring-a-2026/callowhill/bus/paddles/weekday-paddles#page17.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/callowhill/bus/paddles/weekday-paddles#page=17.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/callowhill/bus/trip-sheets/weekday-trip-sheets.pdf
CallowhillWeekday106,106,Callowhill,1 of 2,19,Weekday,https://www4.septa.org/picking/pdf/spring-a-2026/callowhill/bus/paddles/weekday-paddles#page19.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/callowhill/bus/paddles/weekday-paddles#page=19.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/callowhill/bus/trip-sheets/weekday-trip-sheets.pdf
