relief_run,sunday,monday,tuesday,wednesday,thursday,friday,saturday
1,52,401,52,52,OFF,51,OFF
2,53,101,OFF,OFF,51,406,304
3,101,403,53,53,OFF,409,OFF
4,404,308,54,54,OFF,OFF,409
5,405,552,OFF,457,457,OFF,116
6,553,556,OFF,OFF,566,118,414
7,202,305,124,124,OFF,OFF,504
8,407,557,565,565,OFF,OFF,410
9,410,309,OFF,208,208,OFF,117
10,112,704,OFF,132,132,OFF,114
11,408,112,OFF,OFF,660,123,412
12,111,307,421,OFF,OFF,563,455
13,409,410,314,660,OFF,OFF,415
14,555,123,461,419,OFF,OFF,413
15,412,563,420,421,OFF,OFF,456
16,116,310,OFF,OFF,131,658,454
17,118,119,662,314,OFF,OFF,307
18,203,411,422,OFF,OFF,412,505
19,413,311,138,461,OFF,OFF,124
20,414,122,OFF,OFF,419,566,557
21,120,OFF,OFF,420,567,130,655
22,416,414,423,662,OFF,OFF,417
23,420,355,462,OFF,OFF,567,559
24,309,413,570,OFF,OFF,313,129
25,705,129,145,OFF,313,OFF,204
26,310,506,568,OFF,OFF,507,OFF
27,125,OFF,143,210,459,OFF,133
28,557,OFF,424,OFF,133,459,418
29,455,OFF,425,OFF,134,356,131
30,123,OFF,147,708,136,OFF,130
31,704,OFF,OFF,423,707,133,656
32,653,OFF,OFF,315,139,134,309
33,308,OFF,OFF,142,568,135,506
34,418,OFF,OFF,462,209,136,419
35,504,OFF,OFF,570,210,707,708
36,121,OFF,OFF,145,708,140,310
37,419,OFF,OFF,316,569,139,134
38,124,OFF,OFF,143,315,209,420
39,122,OFF,OFF,424,142,569,706
40,126,OFF,OFF,425,710,710,560
41,558,OFF,OFF,147,146,146,132
42,127,OFF,OFF,317,463,463,135
