myid,depot,eff_date,day,pullout2,swingdur,swingdursec,runno,start,arrive,finish,worktime,pay,leave,r1,b1,potype1,pot1,pitype1,pit1,stime1,stimeint1,start22,r2,b2,potype2,pot2,pitype2,pit2,stime2,stimeint2,start23,r3,b3,potype3,pot3,pitype3,pit3,stime3,stimeint3,start24,r4,b4,potype4,pot4,pitype4,pit4,stime4,stimeint4,start25,r5,b5,potype5,pot5,pitype5,pit5,stime5,stimeint5,start26,r6,b6,potype6,pot6,pitype6,pit6,stime6,stimeint6,start27,r7,b7,potype7,pot7,pitype7,pit7,stime7,stimeint7,start28,r8,b8,potype8,pot8,pitype8,pit8,stime8,stimeint8,start29,r9,b9,potype9,pot9,pitype9,pit9,stime9,stimeint9,start210,r10,b10,potype10,pot10,pitype10,pit10,stime10,stimeint10,sum1, sum12,sum2, sum22,sum3, sum32,sum4, sum42,sum5, sum52,sum6, sum62,sum7, sum72,sum8, sum82,sum9, sum92,sum10, sum102,
Callowhillsaturday101,Callowhill,8-29-2026,saturday,,,,101,2023-10-11 12:29 AM,,2023-10-11 10:23 AM,9:44,10.6,,21-42,9101,O,12:43 AM,I,10:21 AM,9:38,578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 21-42 SCHD: 9:38,--> O: 12:43 AM > I: 10:21 AM,,,,,,,,,,,,,,,,,,,
Callowhillsaturday102,Callowhill,8-29-2026,saturday,,,,102,2023-10-11 01:13 AM,,2023-10-11 9:20 AM,7:57,8.0,,21-42,9102,O,01:27 AM,I,09:18 AM,7:51,471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 21-42 SCHD: 7:51,--> O: 01:27 AM > I: 09:18 AM,,,,,,,,,,,,,,,,,,,
Callowhillsaturday103,Callowhill,8-29-2026,saturday,,,,103,2023-10-11 03:53 AM,,2023-10-11 12:42 PM,8:39,9.0,,21-42,9103,O,04:07 AM,I,12:40 PM,8:33,513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 21-42 SCHD: 8:33,--> O: 04:07 AM > I: 12:40 PM,,,,,,,,,,,,,,,,,,,
Callowhillsaturday104,Callowhill,8-29-2026,saturday,,,,104,2023-10-11 04:44 AM,,2023-10-11 3:46 PM,10:52,12.3,,21-42,9104,O,04:58 AM,I,03:44 PM,10:46,646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 21-42 SCHD: 10:46,--> O: 04:58 AM > I: 03:44 PM,,,,,,,,,,,,,,,,,,,
Callowhillsaturday105,Callowhill,8-29-2026,saturday,,,,105,2023-10-11 05:55 AM,,2023-10-11 4:34 PM,10:29,11.7,,21-42,9105,O,06:09 AM,I,04:32 PM,10:23,623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 21-42 SCHD: 10:23,--> O: 06:09 AM > I: 04:32 PM,,,,,,,,,,,,,,,,,,,
Callowhillsaturday106,Callowhill,8-29-2026,saturday,,,,106,2023-10-11 06:22 AM,,2023-10-11 3:46 PM,9:14,9.9,,21-42,9106,O,06:36 AM,I,03:44 PM,9:08,548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 21-42 SCHD: 9:08,--> O: 06:36 AM > I: 03:44 PM,,,,,,,,,,,,,,,,,,,
Callowhillsaturday107,Callowhill,8-29-2026,saturday,,,,107,2023-10-11 06:44 AM,,2023-10-11 3:22 PM,8:28,8.7,,21-42,9107,O,06:58 AM,I,03:20 PM,8:22,502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 21-42 SCHD: 8:22,--> O: 06:58 AM > I: 03:20 PM,,,,,,,,,,,,,,,,,,,
Callowhillsaturday108,Callowhill,8-29-2026,saturday,,,,108,2023-10-11 07:05 AM,,2023-10-11 4:34 PM,9:19,10.0,,21-42,9108,O,07:19 AM,I,04:32 PM,9:13,553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 21-42 SCHD: 9:13,--> O: 07:19 AM > I: 04:32 PM,,,,,,,,,,,,,,,,,,,
Callowhillsaturday109,Callowhill,8-29-2026,saturday,,,,109,2023-10-11 07:24 AM,,2023-10-11 4:10 PM,8:36,8.9,,21-42,9109,O,07:38 AM,I,04:08 PM,8:30,510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 21-42 SCHD: 8:30,--> O: 07:38 AM > I: 04:08 PM,,,,,,,,,,,,,,,,,,,
Callowhillsaturday110,Callowhill,8-29-2026,saturday,,,,110,2023-10-11 07:32 AM,,2023-10-11 4:53 PM,9:11,9.8,,21-42,9110,O,07:46 AM,I,04:51 PM,9:05,545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 21-42 SCHD: 9:05,--> O: 07:46 AM > I: 04:51 PM,,,,,,,,,,,,,,,,,,,
Callowhillsaturday111,Callowhill,8-29-2026,saturday,,,,111,2023-10-11 08:10 AM,,2023-10-11 4:58 PM,8:38,9.0,,21-42,9111,O,08:24 AM,I,04:56 PM,8:32,512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 21-42 SCHD: 8:32,--> O: 08:24 AM > I: 04:56 PM,,,,,,,,,,,,,,,,,,,
Callowhillsaturday112,Callowhill,8-29-2026,saturday,,,,112,2023-10-11 09:46 AM,,2023-10-11 5:17 PM,7:21,8.0,,21-42,9118,O,10:00 AM,I,05:15 PM,7:15,435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 21-42 SCHD: 7:15,--> O: 10:00 AM > I: 05:15 PM,,,,,,,,,,,,,,,,,,,
Callowhillsaturday113,Callowhill,8-29-2026,saturday,,,,113,2023-10-11 10:10 AM,,2023-10-11 5:41 PM,7:21,8.0,,21-42,9120,O,10:24 AM,I,05:39 PM,7:15,435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 21-42 SCHD: 7:15,--> O: 10:24 AM > I: 05:39 PM,,,,,,,,,,,,,,,,,,,
