myid,depot,eff_date,day,pullout2,swingdur,swingdursec,runno,start,arrive,finish,worktime,pay,leave,r1,b1,potype1,pot1,pitype1,pit1,stime1,stimeint1,start22,r2,b2,potype2,pot2,pitype2,pit2,stime2,stimeint2,start23,r3,b3,potype3,pot3,pitype3,pit3,stime3,stimeint3,start24,r4,b4,potype4,pot4,pitype4,pit4,stime4,stimeint4,start25,r5,b5,potype5,pot5,pitype5,pit5,stime5,stimeint5,start26,r6,b6,potype6,pot6,pitype6,pit6,stime6,stimeint6,start27,r7,b7,potype7,pot7,pitype7,pit7,stime7,stimeint7,start28,r8,b8,potype8,pot8,pitype8,pit8,stime8,stimeint8,start29,r9,b9,potype9,pot9,pitype9,pit9,stime9,stimeint9,start210,r10,b10,potype10,pot10,pitype10,pit10,stime10,stimeint10,sum1, sum12,sum2, sum22,sum3, sum32,sum4, sum42,sum5, sum52,sum6, sum62,sum7, sum72,sum8, sum82,sum9, sum92,sum10, sum102,
Callowhillsunday101,Callowhill,8-23-2026,sunday,,,,101,2023-10-11 12:29 AM,,2023-10-11 11:27 AM,10:48,12.2,,21-42,9101,O,12:43 AM,I,11:25 AM,10:42,642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 21-42 SCHD: 10:42,--> O: 12:43 AM > I: 11:25 AM,,,,,,,,,,,,,,,,,,,
Callowhillsunday102,Callowhill,8-23-2026,sunday,,,,102,2023-10-11 01:13 AM,,2023-10-11 9:03 AM,7:40,8.0,,21-42,9102,O,01:27 AM,I,09:01 AM,7:34,454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 21-42 SCHD: 7:34,--> O: 01:27 AM > I: 09:01 AM,,,,,,,,,,,,,,,,,,,
Callowhillsunday103,Callowhill,8-23-2026,sunday,,,,103,2023-10-11 03:56 AM,,2023-10-11 12:09 PM,8:03,8.1,,21-42,9103,O,04:10 AM,I,12:07 PM,7:57,477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 21-42 SCHD: 7:57,--> O: 04:10 AM > I: 12:07 PM,,,,,,,,,,,,,,,,,,,
Callowhillsunday104,Callowhill,8-23-2026,sunday,,,,104,2023-10-11 04:29 AM,,2023-10-11 2:28 PM,9:49,10.7,,21-42,9104,O,04:43 AM,I,02:26 PM,9:43,583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 21-42 SCHD: 9:43,--> O: 04:43 AM > I: 02:26 PM,,,,,,,,,,,,,,,,,,,
Callowhillsunday105,Callowhill,8-23-2026,sunday,,,,105,2023-10-11 06:29 AM,,2023-10-11 5:20 PM,10:41,12.0,,21-42,9105,O,06:43 AM,I,05:18 PM,10:35,635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 21-42 SCHD: 10:35,--> O: 06:43 AM > I: 05:18 PM,,,,,,,,,,,,,,,,,,,
Callowhillsunday106,Callowhill,8-23-2026,sunday,,,,106,2023-10-11 07:15 AM,,2023-10-11 4:16 PM,8:51,9.3,,21-42,9106,O,07:29 AM,I,04:14 PM,8:45,525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 21-42 SCHD: 8:45,--> O: 07:29 AM > I: 04:14 PM,,,,,,,,,,,,,,,,,,,
Callowhillsunday107,Callowhill,8-23-2026,sunday,,,,107,2023-10-11 07:15 AM,,2023-10-11 5:34 PM,10:09,11.2,,21-42,9107,O,07:29 AM,I,05:32 PM,10:03,603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 21-42 SCHD: 10:03,--> O: 07:29 AM > I: 05:32 PM,,,,,,,,,,,,,,,,,,,
Callowhillsunday108,Callowhill,8-23-2026,sunday,,,,108,2023-10-11 07:34 AM,,2023-10-11 6:15 PM,10:31,11.8,,21-42,9108,O,07:48 AM,I,06:13 PM,10:25,625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 21-42 SCHD: 10:25,--> O: 07:48 AM > I: 06:13 PM,,,,,,,,,,,,,,,,,,,
Callowhillsunday109,Callowhill,8-23-2026,sunday,,,,109,2023-10-11 07:53 AM,,2023-10-11 4:48 PM,8:45,9.1,,21-42,9109,O,08:07 AM,I,04:46 PM,8:39,519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 21-42 SCHD: 8:39,--> O: 08:07 AM > I: 04:46 PM,,,,,,,,,,,,,,,,,,,
Callowhillsunday110,Callowhill,8-23-2026,sunday,,,,110,2023-10-11 07:54 AM,,2023-10-11 4:25 PM,8:21,8.5,,21-42,9110,O,08:08 AM,I,04:23 PM,8:15,495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 21-42 SCHD: 8:15,--> O: 08:08 AM > I: 04:23 PM,,,,,,,,,,,,,,,,,,,
