myid,depot,eff_date,day,pullout2,swingdur,swingdursec,runno,start,arrive,finish,worktime,pay,leave,r1,b1,potype1,pot1,pitype1,pit1,stime1,stimeint1,start22,r2,b2,potype2,pot2,pitype2,pit2,stime2,stimeint2,start23,r3,b3,potype3,pot3,pitype3,pit3,stime3,stimeint3,start24,r4,b4,potype4,pot4,pitype4,pit4,stime4,stimeint4,start25,r5,b5,potype5,pot5,pitype5,pit5,stime5,stimeint5,start26,r6,b6,potype6,pot6,pitype6,pit6,stime6,stimeint6,start27,r7,b7,potype7,pot7,pitype7,pit7,stime7,stimeint7,start28,r8,b8,potype8,pot8,pitype8,pit8,stime8,stimeint8,start29,r9,b9,potype9,pot9,pitype9,pit9,stime9,stimeint9,start210,r10,b10,potype10,pot10,pitype10,pit10,stime10,stimeint10,sum1, sum12,sum2, sum22,sum3, sum32,sum4, sum42,sum5, sum52,sum6, sum62,sum7, sum72,sum8, sum82,sum9, sum92,sum10, sum102,
Callowhillweekday101,Callowhill,8-24-2026,weekday,,,,101,2023-10-11 12:29 AM,,2023-10-11 11:07 AM,10:28,11.7,,21-42,9101,O,12:43 AM,I,11:04 AM,10:21,621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 21-42 SCHD: 10:21,--> O: 12:43 AM > I: 11:04 AM,,,,,,,,,,,,,,,,,,,
Callowhillweekday102,Callowhill,8-24-2026,weekday,,,,102,2023-10-11 01:13 AM,,2023-10-11 10:49 AM,9:26,10.2,,21-42,9102,O,01:27 AM,I,10:46 AM,9:19,559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 21-42 SCHD: 9:19,--> O: 01:27 AM > I: 10:46 AM,,,,,,,,,,,,,,,,,,,
Callowhillweekday103,Callowhill,8-24-2026,weekday,,,,103,2023-10-11 03:50 AM,,2023-10-11 12:28 PM,8:28,8.7,,21-42,9103,O,04:04 AM,I,12:25 PM,8:21,501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 21-42 SCHD: 8:21,--> O: 04:04 AM > I: 12:25 PM,,,,,,,,,,,,,,,,,,,
Callowhillweekday104,Callowhill,8-24-2026,weekday,,,,104,2023-10-11 04:14 AM,,2023-10-11 12:31 PM,8:07,8.2,,21-42,9104,O,04:28 AM,I,12:28 PM,8:00,480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 21-42 SCHD: 8:00,--> O: 04:28 AM > I: 12:28 PM,,,,,,,,,,,,,,,,,,,
Callowhillweekday105,Callowhill,8-24-2026,weekday,,,,105,2023-10-11 04:53 AM,,2023-10-11 1:45 PM,8:42,9.1,,21-42,9105,O,05:07 AM,I,01:42 PM,8:35,515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 21-42 SCHD: 8:35,--> O: 05:07 AM > I: 01:42 PM,,,,,,,,,,,,,,,,,,,
Callowhillweekday106,Callowhill,8-24-2026,weekday,,,,106,2023-10-11 04:54 AM,,2023-10-11 2:38 PM,9:34,10.4,,21-42,9106,O,05:08 AM,I,02:35 PM,9:27,567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 21-42 SCHD: 9:27,--> O: 05:08 AM > I: 02:35 PM,,,,,,,,,,,,,,,,,,,
Callowhillweekday107,Callowhill,8-24-2026,weekday,,,,107,2023-10-11 05:15 AM,,2023-10-11 2:19 PM,8:54,9.4,,21-42,9107,O,05:29 AM,I,02:16 PM,8:47,527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 21-42 SCHD: 8:47,--> O: 05:29 AM > I: 02:16 PM,,,,,,,,,,,,,,,,,,,
Callowhillweekday108,Callowhill,8-24-2026,weekday,,,,108,2023-10-11 05:35 AM,,2023-10-11 2:39 PM,8:54,9.4,,21-42,9108,O,05:49 AM,I,02:36 PM,8:47,527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 21-42 SCHD: 8:47,--> O: 05:49 AM > I: 02:36 PM,,,,,,,,,,,,,,,,,,,
Callowhillweekday109,Callowhill,8-24-2026,weekday,,,,109,2023-10-11 05:37 AM,,2023-10-11 2:50 PM,9:03,9.6,,21-42,9109,O,05:51 AM,I,02:47 PM,8:56,536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 21-42 SCHD: 8:56,--> O: 05:51 AM > I: 02:47 PM,,,,,,,,,,,,,,,,,,,
Callowhillweekday110,Callowhill,8-24-2026,weekday,,,,110,2023-10-11 05:37 AM,,2023-10-11 3:22 PM,9:35,10.4,,21-42,9110,O,05:51 AM,I,03:19 PM,9:28,568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 21-42 SCHD: 9:28,--> O: 05:51 AM > I: 03:19 PM,,,,,,,,,,,,,,,,,,,
