relief_run,sunday,monday,tuesday,wednesday,thursday,friday,saturday
1,51,401,53,53,OFF,OFF,52
2,52,403,OFF,OFF,51,51,53
3,53,404,OFF,OFF,52,52,54
4,101,405,OFF,OFF,54,54,110
5,54,452,101,101,OFF,102,OFF
6,102,559,OFF,OFF,114,114,114
7,304,455,208,209,OFF,OFF,654
8,553,203,209,120,OFF,OFF,411
9,110,654,OFF,OFF,123,118,117
10,407,409,OFF,565,OFF,119,454
11,554,208,418,418,OFF,OFF,412
12,408,310,OFF,OFF,312,123,116
13,203,118,459,459,OFF,OFF,306
14,412,116,OFF,OFF,120,312,121
15,411,656,OFF,OFF,127,127,308
16,305,411,420,566,OFF,OFF,307
17,415,311,OFF,132,565,OFF,126
18,414,354,567,419,OFF,OFF,557
19,453,124,OFF,OFF,417,417,655
20,417,412,137,420,OFF,OFF,416
21,556,130,213,663,OFF,OFF,309
22,306,133,OFF,567,356,OFF,505
23,120,OFF,OFF,213,126,356,419
24,309,131,214,214,OFF,OFF,131
25,307,506,OFF,OFF,661,126,417
26,420,OFF,OFF,140,211,661,559
27,308,OFF,422,OFF,566,211,657
28,705,416,140,143,OFF,OFF,312
29,310,OFF,OFF,460,132,357,128
30,557,OFF,143,569,419,OFF,127
31,653,422,460,OFF,OFF,135,706
32,418,OFF,OFF,144,135,707,656
33,121,OFF,569,OFF,663,421,310
34,123,OFF,144,570,OFF,138,418
35,419,OFF,570,314,138,OFF,708
36,353,OFF,OFF,423,708,708,311
37,124,OFF,314,OFF,215,215,133
38,122,OFF,508,508,568,OFF,707
39,505,OFF,710,710,OFF,568,560
40,558,OFF,315,315,OFF,709,130
41,454,OFF,146,OFF,313,313,457
42,126,OFF,461,461,423,OFF,507
