myid,runno,depot,page_1,page,day,moblink,pclink,Trip Sheet
ComlyWeekday1,1,Comly,1 of 2,1,Weekday,https://www4.septa.org/picking/pdf/fall-a-2026/comly/paddles/weekday-paddles.pdf#page=1,https://www4.septa.org/picking/pdf/fall-a-2026/comly/paddles/weekday-paddles#page=1.pdf,https://www4.septa.org/picking/pdf/fall-a-2026/comly/trip-sheets/weekday-trip-sheets.pdf
ComlyWeekday2,2,Comly,1 of 3,3,Weekday,https://www4.septa.org/picking/pdf/fall-a-2026/comly/paddles/weekday-paddles.pdf#page=3,https://www4.septa.org/picking/pdf/fall-a-2026/comly/paddles/weekday-paddles#page=3.pdf,https://www4.septa.org/picking/pdf/fall-a-2026/comly/trip-sheets/weekday-trip-sheets.pdf
ComlyWeekday3,3,Comly,1 of 6,6,Weekday,https://www4.septa.org/picking/pdf/fall-a-2026/comly/paddles/weekday-paddles.pdf#page=6,https://www4.septa.org/picking/pdf/fall-a-2026/comly/paddles/weekday-paddles#page=6.pdf,https://www4.septa.org/picking/pdf/fall-a-2026/comly/trip-sheets/weekday-trip-sheets.pdf
ComlyWeekday4,4,Comly,1 of 3,12,Weekday,https://www4.septa.org/picking/pdf/fall-a-2026/comly/paddles/weekday-paddles.pdf#page=12,https://www4.septa.org/picking/pdf/fall-a-2026/comly/paddles/weekday-paddles#page=12.pdf,https://www4.septa.org/picking/pdf/fall-a-2026/comly/trip-sheets/weekday-trip-sheets.pdf
ComlyWeekday5,5,Comly,1 of 7,15,Weekday,https://www4.septa.org/picking/pdf/fall-a-2026/comly/paddles/weekday-paddles.pdf#page=15,https://www4.septa.org/picking/pdf/fall-a-2026/comly/paddles/weekday-paddles#page=15.pdf,https://www4.septa.org/picking/pdf/fall-a-2026/comly/trip-sheets/weekday-trip-sheets.pdf
ComlyWeekday6,6,Comly,1 of 3,22,Weekday,https://www4.septa.org/picking/pdf/fall-a-2026/comly/paddles/weekday-paddles.pdf#page=22,https://www4.septa.org/picking/pdf/fall-a-2026/comly/paddles/weekday-paddles#page=22.pdf,https://www4.septa.org/picking/pdf/fall-a-2026/comly/trip-sheets/weekday-trip-sheets.pdf
ComlyWeekday7,7,Comly,1 of 6,25,Weekday,https://www4.septa.org/picking/pdf/fall-a-2026/comly/paddles/weekday-paddles.pdf#page=25,https://www4.septa.org/picking/pdf/fall-a-2026/comly/paddles/weekday-paddles#page=25.pdf,https://www4.septa.org/picking/pdf/fall-a-2026/comly/trip-sheets/weekday-trip-sheets.pdf
ComlyWeekday8,8,Comly,1 of 3,31,Weekday,https://www4.septa.org/picking/pdf/fall-a-2026/comly/paddles/weekday-paddles.pdf#page=31,https://www4.septa.org/picking/pdf/fall-a-2026/comly/paddles/weekday-paddles#page=31.pdf,https://www4.septa.org/picking/pdf/fall-a-2026/comly/trip-sheets/weekday-trip-sheets.pdf
ComlyWeekday9,9,Comly,1 of 3,34,Weekday,https://www4.septa.org/picking/pdf/fall-a-2026/comly/paddles/weekday-paddles.pdf#page=34,https://www4.septa.org/picking/pdf/fall-a-2026/comly/paddles/weekday-paddles#page=34.pdf,https://www4.septa.org/picking/pdf/fall-a-2026/comly/trip-sheets/weekday-trip-sheets.pdf
ComlyWeekday10,10,Comly,1 of 3,37,Weekday,https://www4.septa.org/picking/pdf/fall-a-2026/comly/paddles/weekday-paddles.pdf#page=37,https://www4.septa.org/picking/pdf/fall-a-2026/comly/paddles/weekday-paddles#page=37.pdf,https://www4.septa.org/picking/pdf/fall-a-2026/comly/trip-sheets/weekday-trip-sheets.pdf
ComlyWeekday11,11,Comly,1 of 3,40,Weekday,https://www4.septa.org/picking/pdf/fall-a-2026/comly/paddles/weekday-paddles.pdf#page=40,https://www4.septa.org/picking/pdf/fall-a-2026/comly/paddles/weekday-paddles#page=40.pdf,https://www4.septa.org/picking/pdf/fall-a-2026/comly/trip-sheets/weekday-trip-sheets.pdf
ComlyWeekday12,12,Comly,1 of 6,43,Weekday,https://www4.septa.org/picking/pdf/fall-a-2026/comly/paddles/weekday-paddles.pdf#page=43,https://www4.septa.org/picking/pdf/fall-a-2026/comly/paddles/weekday-paddles#page=43.pdf,https://www4.septa.org/picking/pdf/fall-a-2026/comly/trip-sheets/weekday-trip-sheets.pdf
