myid,depot,eff_date,day,pullout2,swingdur,swingdursec,runno,start,arrive,finish,worktime,pay,leave,r1,b1,potype1,pot1,pitype1,pit1,stime1,stimeint1,start22,r2,b2,potype2,pot2,pitype2,pit2,stime2,stimeint2,start23,r3,b3,potype3,pot3,pitype3,pit3,stime3,stimeint3,start24,r4,b4,potype4,pot4,pitype4,pit4,stime4,stimeint4,start25,r5,b5,potype5,pot5,pitype5,pit5,stime5,stimeint5,start26,r6,b6,potype6,pot6,pitype6,pit6,stime6,stimeint6,start27,r7,b7,potype7,pot7,pitype7,pit7,stime7,stimeint7,start28,r8,b8,potype8,pot8,pitype8,pit8,stime8,stimeint8,start29,r9,b9,potype9,pot9,pitype9,pit9,stime9,stimeint9,start210,r10,b10,potype10,pot10,pitype10,pit10,stime10,stimeint10,sum1, sum12,sum2, sum22,sum3, sum32,sum4, sum42,sum5, sum52,sum6, sum62,sum7, sum72,sum8, sum82,sum9, sum92,sum10, sum102,
Comlysunday1,Comly,8-23-2026,sunday,,,,1,2023-10-11 01:48 AM,,2023-10-11 10:42 AM,8:44,9.1,,14,1051,O,02:02 AM,CG,03:46 AM,1:44,104,,L1OWL,1051,CG,03:46 AM,CG,06:28 AM,2:42,162,,14,1051,CG,06:28 AM,I,10:40 AM,4:12,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 14 SCHD: 1:44,--> O: 02:02 AM > CG: 03:46 AM,RTE: L1OWL SCHD: 2:42,--> CG: 03:46 AM > CG: 06:28 AM,RTE: 14 SCHD: 4:12,--> CG: 06:28 AM > I: 10:40 AM,,,,,,,,,,,,,,,
Comlysunday2,Comly,8-23-2026,sunday,,,,2,2023-10-11 02:48 AM,,2023-10-11 11:02 AM,8:04,8.1,,14,1052,O,03:02 AM,I,11:00 AM,7:58,478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 14 SCHD: 7:58,--> O: 03:02 AM > I: 11:00 AM,,,,,,,,,,,,,,,,,,,
Comlysunday3,Comly,8-23-2026,sunday,,,,3,2023-10-11 07:37 AM,,2023-10-11 4:43 PM,8:56,9.4,,14,1053,O,07:51 AM,I,04:41 PM,8:50,530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 14 SCHD: 8:50,--> O: 07:51 AM > I: 04:41 PM,,,,,,,,,,,,,,,,,,,
Comlysunday4,Comly,8-23-2026,sunday,,,,4,2023-10-11 08:36 AM,,2023-10-11 4:23 PM,7:37,8.0,,14,1054,O,08:50 AM,I,04:21 PM,7:31,451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 14 SCHD: 7:31,--> O: 08:50 AM > I: 04:21 PM,,,,,,,,,,,,,,,,,,,
Comlysunday5,Comly,8-23-2026,sunday,,,,5,2023-10-11 09:11 AM,,2023-10-11 5:03 PM,7:42,8.0,,14,1055,O,09:25 AM,I,05:01 PM,7:36,456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 14 SCHD: 7:36,--> O: 09:25 AM > I: 05:01 PM,,,,,,,,,,,,,,,,,,,
Comlysunday6,Comly,8-23-2026,sunday,,,,6,2023-10-11 10:30 AM,,2023-10-11 6:43 PM,8:03,8.1,,14,1058,O,10:44 AM,I,06:41 PM,7:57,477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 14 SCHD: 7:57,--> O: 10:44 AM > I: 06:41 PM,,,,,,,,,,,,,,,,,,,
Comlysunday7,Comly,8-23-2026,sunday,,,,7,2023-10-11 09:50 AM,,2023-10-11 7:43 PM,9:43,10.6,,14,1056,O,10:04 AM,I,07:41 PM,9:37,577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 14 SCHD: 9:37,--> O: 10:04 AM > I: 07:41 PM,,,,,,,,,,,,,,,,,,,
Comlysunday8,Comly,8-23-2026,sunday,,,,8,2023-10-11 10:50 AM,,2023-10-11 8:24 PM,9:24,10.1,,14,1059,O,11:04 AM,I,08:22 PM,9:18,558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 14 SCHD: 9:18,--> O: 11:04 AM > I: 08:22 PM,,,,,,,,,,,,,,,,,,,
Comlysunday9,Comly,8-23-2026,sunday,,,,9,2023-10-11 12:49 PM,,2023-10-11 11:33 PM,10:34,11.9,,14,1060,O,01:03 PM,I,11:31 PM,10:28,628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 14 SCHD: 10:28,--> O: 01:03 PM > I: 11:31 PM,,,,,,,,,,,,,,,,,,,
Comlysunday10,Comly,8-23-2026,sunday,,,,10,2023-10-11 05:10 PM,,2023-10-12 1:31 AM,8:11,8.3,,14,1063,O,05:24 PM,I,01:29 AM,8:05,485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 14 SCHD: 8:05,--> O: 05:24 PM > I: 01:29 AM,,,,,,,,,,,,,,,,,,,
