myid,runno,depot,page_1,page,day,moblink,pclink,Trip Sheet
ComlyWeekday1,1,Comly,1 of 3,1,Weekday,https://www4.septa.org/picking/pdf/summer-a-2026/comly/paddles/weekday-paddles.pdf#page=1,https://www4.septa.org/picking/pdf/summer-a-2026/comly/paddles/weekday-paddles#page=1.pdf,https://www4.septa.org/picking/pdf/summer-a-2026/comly/trip-sheets/weekday-trip-sheets.pdf
ComlyWeekday2,2,Comly,1 of 3,4,Weekday,https://www4.septa.org/picking/pdf/summer-a-2026/comly/paddles/weekday-paddles.pdf#page=4,https://www4.septa.org/picking/pdf/summer-a-2026/comly/paddles/weekday-paddles#page=4.pdf,https://www4.septa.org/picking/pdf/summer-a-2026/comly/trip-sheets/weekday-trip-sheets.pdf
ComlyWeekday3,3,Comly,1 of 3,7,Weekday,https://www4.septa.org/picking/pdf/summer-a-2026/comly/paddles/weekday-paddles.pdf#page=7,https://www4.septa.org/picking/pdf/summer-a-2026/comly/paddles/weekday-paddles#page=7.pdf,https://www4.septa.org/picking/pdf/summer-a-2026/comly/trip-sheets/weekday-trip-sheets.pdf
ComlyWeekday4,4,Comly,1 of 3,10,Weekday,https://www4.septa.org/picking/pdf/summer-a-2026/comly/paddles/weekday-paddles.pdf#page=10,https://www4.septa.org/picking/pdf/summer-a-2026/comly/paddles/weekday-paddles#page=10.pdf,https://www4.septa.org/picking/pdf/summer-a-2026/comly/trip-sheets/weekday-trip-sheets.pdf
ComlyWeekday5,5,Comly,1 of 3,13,Weekday,https://www4.septa.org/picking/pdf/summer-a-2026/comly/paddles/weekday-paddles.pdf#page=13,https://www4.septa.org/picking/pdf/summer-a-2026/comly/paddles/weekday-paddles#page=13.pdf,https://www4.septa.org/picking/pdf/summer-a-2026/comly/trip-sheets/weekday-trip-sheets.pdf
ComlyWeekday6,6,Comly,1 of 3,16,Weekday,https://www4.septa.org/picking/pdf/summer-a-2026/comly/paddles/weekday-paddles.pdf#page=16,https://www4.septa.org/picking/pdf/summer-a-2026/comly/paddles/weekday-paddles#page=16.pdf,https://www4.septa.org/picking/pdf/summer-a-2026/comly/trip-sheets/weekday-trip-sheets.pdf
ComlyWeekday7,7,Comly,1 of 3,19,Weekday,https://www4.septa.org/picking/pdf/summer-a-2026/comly/paddles/weekday-paddles.pdf#page=19,https://www4.septa.org/picking/pdf/summer-a-2026/comly/paddles/weekday-paddles#page=19.pdf,https://www4.septa.org/picking/pdf/summer-a-2026/comly/trip-sheets/weekday-trip-sheets.pdf
ComlyWeekday8,8,Comly,1 of 3,22,Weekday,https://www4.septa.org/picking/pdf/summer-a-2026/comly/paddles/weekday-paddles.pdf#page=22,https://www4.septa.org/picking/pdf/summer-a-2026/comly/paddles/weekday-paddles#page=22.pdf,https://www4.septa.org/picking/pdf/summer-a-2026/comly/trip-sheets/weekday-trip-sheets.pdf
ComlyWeekday9,9,Comly,1 of 3,25,Weekday,https://www4.septa.org/picking/pdf/summer-a-2026/comly/paddles/weekday-paddles.pdf#page=25,https://www4.septa.org/picking/pdf/summer-a-2026/comly/paddles/weekday-paddles#page=25.pdf,https://www4.septa.org/picking/pdf/summer-a-2026/comly/trip-sheets/weekday-trip-sheets.pdf
ComlyWeekday10,10,Comly,1 of 3,28,Weekday,https://www4.septa.org/picking/pdf/summer-a-2026/comly/paddles/weekday-paddles.pdf#page=28,https://www4.septa.org/picking/pdf/summer-a-2026/comly/paddles/weekday-paddles#page=28.pdf,https://www4.septa.org/picking/pdf/summer-a-2026/comly/trip-sheets/weekday-trip-sheets.pdf
ComlyWeekday11,11,Comly,1 of 6,31,Weekday,https://www4.septa.org/picking/pdf/summer-a-2026/comly/paddles/weekday-paddles.pdf#page=31,https://www4.septa.org/picking/pdf/summer-a-2026/comly/paddles/weekday-paddles#page=31.pdf,https://www4.septa.org/picking/pdf/summer-a-2026/comly/trip-sheets/weekday-trip-sheets.pdf
ComlyWeekday12,12,Comly,1 of 3,37,Weekday,https://www4.septa.org/picking/pdf/summer-a-2026/comly/paddles/weekday-paddles.pdf#page=37,https://www4.septa.org/picking/pdf/summer-a-2026/comly/paddles/weekday-paddles#page=37.pdf,https://www4.septa.org/picking/pdf/summer-a-2026/comly/trip-sheets/weekday-trip-sheets.pdf
ComlyWeekday13,13,Comly,1 of 3,40,Weekday,https://www4.septa.org/picking/pdf/summer-a-2026/comly/paddles/weekday-paddles.pdf#page=40,https://www4.septa.org/picking/pdf/summer-a-2026/comly/paddles/weekday-paddles#page=40.pdf,https://www4.septa.org/picking/pdf/summer-a-2026/comly/trip-sheets/weekday-trip-sheets.pdf
ComlyWeekday14,14,Comly,1 of 3,43,Weekday,https://www4.septa.org/picking/pdf/summer-a-2026/comly/paddles/weekday-paddles.pdf#page=43,https://www4.septa.org/picking/pdf/summer-a-2026/comly/paddles/weekday-paddles#page=43.pdf,https://www4.septa.org/picking/pdf/summer-a-2026/comly/trip-sheets/weekday-trip-sheets.pdf
ComlyWeekday15,15,Comly,1 of 3,46,Weekday,https://www4.septa.org/picking/pdf/summer-a-2026/comly/paddles/weekday-paddles.pdf#page=46,https://www4.septa.org/picking/pdf/summer-a-2026/comly/paddles/weekday-paddles#page=46.pdf,https://www4.septa.org/picking/pdf/summer-a-2026/comly/trip-sheets/weekday-trip-sheets.pdf
ComlyWeekday16,16,Comly,1 of 3,49,Weekday,https://www4.septa.org/picking/pdf/summer-a-2026/comly/paddles/weekday-paddles.pdf#page=49,https://www4.septa.org/picking/pdf/summer-a-2026/comly/paddles/weekday-paddles#page=49.pdf,https://www4.septa.org/picking/pdf/summer-a-2026/comly/trip-sheets/weekday-trip-sheets.pdf
ComlyWeekday17,17,Comly,1 of 2,52,Weekday,https://www4.septa.org/picking/pdf/summer-a-2026/comly/paddles/weekday-paddles.pdf#page=52,https://www4.septa.org/picking/pdf/summer-a-2026/comly/paddles/weekday-paddles#page=52.pdf,https://www4.septa.org/picking/pdf/summer-a-2026/comly/trip-sheets/weekday-trip-sheets.pdf
ComlyWeekday18,18,Comly,1 of 3,54,Weekday,https://www4.septa.org/picking/pdf/summer-a-2026/comly/paddles/weekday-paddles.pdf#page=54,https://www4.septa.org/picking/pdf/summer-a-2026/comly/paddles/weekday-paddles#page=54.pdf,https://www4.septa.org/picking/pdf/summer-a-2026/comly/trip-sheets/weekday-trip-sheets.pdf
ComlyWeekday19,19,Comly,1 of 3,57,Weekday,https://www4.septa.org/picking/pdf/summer-a-2026/comly/paddles/weekday-paddles.pdf#page=57,https://www4.septa.org/picking/pdf/summer-a-2026/comly/paddles/weekday-paddles#page=57.pdf,https://www4.septa.org/picking/pdf/summer-a-2026/comly/trip-sheets/weekday-trip-sheets.pdf
ComlyWeekday20,20,Comly,1 of 3,60,Weekday,https://www4.septa.org/picking/pdf/summer-a-2026/comly/paddles/weekday-paddles.pdf#page=60,https://www4.septa.org/picking/pdf/summer-a-2026/comly/paddles/weekday-paddles#page=60.pdf,https://www4.septa.org/picking/pdf/summer-a-2026/comly/trip-sheets/weekday-trip-sheets.pdf
ComlyWeekday51,51,Comly,1 of 2,63,Weekday,https://www4.septa.org/picking/pdf/summer-a-2026/comly/paddles/weekday-paddles.pdf#page=63,https://www4.septa.org/picking/pdf/summer-a-2026/comly/paddles/weekday-paddles#page=63.pdf,https://www4.septa.org/picking/pdf/summer-a-2026/comly/trip-sheets/weekday-trip-sheets.pdf
ComlyWeekday52,52,Comly,1 of 3,65,Weekday,https://www4.septa.org/picking/pdf/summer-a-2026/comly/paddles/weekday-paddles.pdf#page=65,https://www4.septa.org/picking/pdf/summer-a-2026/comly/paddles/weekday-paddles#page=65.pdf,https://www4.septa.org/picking/pdf/summer-a-2026/comly/trip-sheets/weekday-trip-sheets.pdf
ComlyWeekday53,53,Comly,1 of 2,68,Weekday,https://www4.septa.org/picking/pdf/summer-a-2026/comly/paddles/weekday-paddles.pdf#page=68,https://www4.septa.org/picking/pdf/summer-a-2026/comly/paddles/weekday-paddles#page=68.pdf,https://www4.septa.org/picking/pdf/summer-a-2026/comly/trip-sheets/weekday-trip-sheets.pdf
ComlyWeekday54,54,Comly,1 of 2,70,Weekday,https://www4.septa.org/picking/pdf/summer-a-2026/comly/paddles/weekday-paddles.pdf#page=70,https://www4.septa.org/picking/pdf/summer-a-2026/comly/paddles/weekday-paddles#page=70.pdf,https://www4.septa.org/picking/pdf/summer-a-2026/comly/trip-sheets/weekday-trip-sheets.pdf
ComlyWeekday55,55,Comly,1 of 2,72,Weekday,https://www4.septa.org/picking/pdf/summer-a-2026/comly/paddles/weekday-paddles.pdf#page=72,https://www4.septa.org/picking/pdf/summer-a-2026/comly/paddles/weekday-paddles#page=72.pdf,https://www4.septa.org/picking/pdf/summer-a-2026/comly/trip-sheets/weekday-trip-sheets.pdf
ComlyWeekday56,56,Comly,1 of 2,74,Weekday,https://www4.septa.org/picking/pdf/summer-a-2026/comly/paddles/weekday-paddles.pdf#page=74,https://www4.septa.org/picking/pdf/summer-a-2026/comly/paddles/weekday-paddles#page=74.pdf,https://www4.septa.org/picking/pdf/summer-a-2026/comly/trip-sheets/weekday-trip-sheets.pdf
ComlyWeekday57,57,Comly,1 of 3,76,Weekday,https://www4.septa.org/picking/pdf/summer-a-2026/comly/paddles/weekday-paddles.pdf#page=76,https://www4.septa.org/picking/pdf/summer-a-2026/comly/paddles/weekday-paddles#page=76.pdf,https://www4.septa.org/picking/pdf/summer-a-2026/comly/trip-sheets/weekday-trip-sheets.pdf
ComlyWeekday58,58,Comly,1 of 2,79,Weekday,https://www4.septa.org/picking/pdf/summer-a-2026/comly/paddles/weekday-paddles.pdf#page=79,https://www4.septa.org/picking/pdf/summer-a-2026/comly/paddles/weekday-paddles#page=79.pdf,https://www4.septa.org/picking/pdf/summer-a-2026/comly/trip-sheets/weekday-trip-sheets.pdf
ComlyWeekday59,59,Comly,1 of 2,81,Weekday,https://www4.septa.org/picking/pdf/summer-a-2026/comly/paddles/weekday-paddles.pdf#page=81,https://www4.septa.org/picking/pdf/summer-a-2026/comly/paddles/weekday-paddles#page=81.pdf,https://www4.septa.org/picking/pdf/summer-a-2026/comly/trip-sheets/weekday-trip-sheets.pdf
ComlyWeekday60,60,Comly,1 of 2,83,Weekday,https://www4.septa.org/picking/pdf/summer-a-2026/comly/paddles/weekday-paddles.pdf#page=83,https://www4.septa.org/picking/pdf/summer-a-2026/comly/paddles/weekday-paddles#page=83.pdf,https://www4.septa.org/picking/pdf/summer-a-2026/comly/trip-sheets/weekday-trip-sheets.pdf
ComlyWeekday61,61,Comly,1 of 2,85,Weekday,https://www4.septa.org/picking/pdf/summer-a-2026/comly/paddles/weekday-paddles.pdf#page=85,https://www4.septa.org/picking/pdf/summer-a-2026/comly/paddles/weekday-paddles#page=85.pdf,https://www4.septa.org/picking/pdf/summer-a-2026/comly/trip-sheets/weekday-trip-sheets.pdf
ComlyWeekday62,62,Comly,1 of 2,87,Weekday,https://www4.septa.org/picking/pdf/summer-a-2026/comly/paddles/weekday-paddles.pdf#page=87,https://www4.septa.org/picking/pdf/summer-a-2026/comly/paddles/weekday-paddles#page=87.pdf,https://www4.septa.org/picking/pdf/summer-a-2026/comly/trip-sheets/weekday-trip-sheets.pdf
ComlyWeekday63,63,Comly,1 of 2,89,Weekday,https://www4.septa.org/picking/pdf/summer-a-2026/comly/paddles/weekday-paddles.pdf#page=89,https://www4.septa.org/picking/pdf/summer-a-2026/comly/paddles/weekday-paddles#page=89.pdf,https://www4.septa.org/picking/pdf/summer-a-2026/comly/trip-sheets/weekday-trip-sheets.pdf
ComlyWeekday201,201,Comly,1 of 2,91,Weekday,https://www4.septa.org/picking/pdf/summer-a-2026/comly/paddles/weekday-paddles.pdf#page=91,https://www4.septa.org/picking/pdf/summer-a-2026/comly/paddles/weekday-paddles#page=91.pdf,https://www4.septa.org/picking/pdf/summer-a-2026/comly/trip-sheets/weekday-trip-sheets.pdf
ComlyWeekday202,202,Comly,1 of 3,93,Weekday,https://www4.septa.org/picking/pdf/summer-a-2026/comly/paddles/weekday-paddles.pdf#page=93,https://www4.septa.org/picking/pdf/summer-a-2026/comly/paddles/weekday-paddles#page=93.pdf,https://www4.septa.org/picking/pdf/summer-a-2026/comly/trip-sheets/weekday-trip-sheets.pdf
ComlyWeekday203,203,Comly,1 of 3,96,Weekday,https://www4.septa.org/picking/pdf/summer-a-2026/comly/paddles/weekday-paddles.pdf#page=96,https://www4.septa.org/picking/pdf/summer-a-2026/comly/paddles/weekday-paddles#page=96.pdf,https://www4.septa.org/picking/pdf/summer-a-2026/comly/trip-sheets/weekday-trip-sheets.pdf
ComlyWeekday204,204,Comly,1 of 3,99,Weekday,https://www4.septa.org/picking/pdf/summer-a-2026/comly/paddles/weekday-paddles.pdf#page=99,https://www4.septa.org/picking/pdf/summer-a-2026/comly/paddles/weekday-paddles#page=99.pdf,https://www4.septa.org/picking/pdf/summer-a-2026/comly/trip-sheets/weekday-trip-sheets.pdf
ComlyWeekday205,205,Comly,1 of 2,102,Weekday,https://www4.septa.org/picking/pdf/summer-a-2026/comly/paddles/weekday-paddles.pdf#page=102,https://www4.septa.org/picking/pdf/summer-a-2026/comly/paddles/weekday-paddles#page=102.pdf,https://www4.septa.org/picking/pdf/summer-a-2026/comly/trip-sheets/weekday-trip-sheets.pdf
ComlyWeekday206,206,Comly,1 of 2,104,Weekday,https://www4.septa.org/picking/pdf/summer-a-2026/comly/paddles/weekday-paddles.pdf#page=104,https://www4.septa.org/picking/pdf/summer-a-2026/comly/paddles/weekday-paddles#page=104.pdf,https://www4.septa.org/picking/pdf/summer-a-2026/comly/trip-sheets/weekday-trip-sheets.pdf
