myid,depot,eff_date,day,pullout2,swingdur,swingdursec,runno,start,arrive,finish,worktime,pay,leave,r1,b1,potype1,pot1,pitype1,pit1,stime1,stimeint1,start22,r2,b2,potype2,pot2,pitype2,pit2,stime2,stimeint2,start23,r3,b3,potype3,pot3,pitype3,pit3,stime3,stimeint3,start24,r4,b4,potype4,pot4,pitype4,pit4,stime4,stimeint4,start25,r5,b5,potype5,pot5,pitype5,pit5,stime5,stimeint5,start26,r6,b6,potype6,pot6,pitype6,pit6,stime6,stimeint6,start27,r7,b7,potype7,pot7,pitype7,pit7,stime7,stimeint7,start28,r8,b8,potype8,pot8,pitype8,pit8,stime8,stimeint8,start29,r9,b9,potype9,pot9,pitype9,pit9,stime9,stimeint9,start210,r10,b10,potype10,pot10,pitype10,pit10,stime10,stimeint10,sum1, sum12,sum2, sum22,sum3, sum32,sum4, sum42,sum5, sum52,sum6, sum62,sum7, sum72,sum8, sum82,sum9, sum92,sum10, sum102,
Comlysaturday251,Comly,6-20-2026,saturday,,,,251,2023-10-11 05:48 AM,,2023-10-11 4:40 PM,10:42,12.1,,1,1001,O,06:02 AM,CG,03:44 PM,9:42,582,,20-50,1001,CG,03:44 PM,I,04:38 PM,0:54,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 1 SCHD: 9:42,--> O: 06:02 AM > CG: 03:44 PM,RTE: 20-50 SCHD: 0:54,--> CG: 03:44 PM > I: 04:38 PM,,,,,,,,,,,,,,,,,
Comlysaturday252,Comly,6-20-2026,saturday,,,,252,2023-10-11 06:17 AM,,2023-10-11 3:41 PM,9:14,9.9,,1,1002,O,06:31 AM,CG,02:46 PM,8:15,495,,20-50,1002,CG,02:46 PM,I,03:39 PM,0:53,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 1 SCHD: 8:15,--> O: 06:31 AM > CG: 02:46 PM,RTE: 20-50 SCHD: 0:53,--> CG: 02:46 PM > I: 03:39 PM,,,,,,,,,,,,,,,,,
Comlysaturday253,Comly,6-20-2026,saturday,,,,253,2023-10-11 06:52 AM,,2023-10-11 4:34 PM,9:32,10.3,,1,1003,O,07:06 AM,CG,01:47 PM,6:41,401,,20-50,1003,CG,01:47 PM,I,04:32 PM,2:45,165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 1 SCHD: 6:41,--> O: 07:06 AM > CG: 01:47 PM,RTE: 20-50 SCHD: 2:45,--> CG: 01:47 PM > I: 04:32 PM,,,,,,,,,,,,,,,,,
Comlysaturday254,Comly,6-20-2026,saturday,,,,254,2023-10-11 08:20 AM,,2023-10-11 6:47 PM,10:17,11.4,,1,1004,O,08:34 AM,CG,12:47 PM,4:13,253,,20-50,1004,CG,12:47 PM,CG,03:00 PM,2:13,133,,1,1004,CG,03:00 PM,I,06:45 PM,3:45,225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 1 SCHD: 4:13,--> O: 08:34 AM > CG: 12:47 PM,RTE: 20-50 SCHD: 2:13,--> CG: 12:47 PM > CG: 03:00 PM,RTE: 1 SCHD: 3:45,--> CG: 03:00 PM > I: 06:45 PM,,,,,,,,,,,,,,,
Comlysaturday1,Comly,6-20-2026,saturday,,,,1,2023-10-11 01:48 AM,,2023-10-11 10:14 AM,8:16,8.4,,14,1051,O,02:02 AM,I,10:12 AM,8:10,490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 14 SCHD: 8:10,--> O: 02:02 AM > I: 10:12 AM,,,,,,,,,,,,,,,,,,,
Comlysaturday2,Comly,6-20-2026,saturday,,,,2,2023-10-11 02:48 AM,,2023-10-11 12:35 PM,9:37,10.4,,14,1052,O,03:02 AM,I,12:33 PM,9:31,571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 14 SCHD: 9:31,--> O: 03:02 AM > I: 12:33 PM,,,,,,,,,,,,,,,,,,,
Comlysaturday3,Comly,6-20-2026,saturday,,,,3,2023-10-11 04:47 AM,,2023-10-11 3:36 PM,10:39,12.0,,14,1053,O,05:01 AM,I,03:34 PM,10:33,633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 14 SCHD: 10:33,--> O: 05:01 AM > I: 03:34 PM,,,,,,,,,,,,,,,,,,,
Comlysaturday4,Comly,6-20-2026,saturday,,,,4,2023-10-11 07:07 AM,,2023-10-11 5:20 PM,10:03,11.1,,14,1054,O,07:21 AM,I,05:18 PM,9:57,597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 14 SCHD: 9:57,--> O: 07:21 AM > I: 05:18 PM,,,,,,,,,,,,,,,,,,,
Comlysaturday5,Comly,6-20-2026,saturday,04:44 PM,0Hrs 50Min,3000,5,2023-10-11 09:47 AM,,2023-10-11 6:14 PM,8:17,8.4,,14,1056,O,10:01 AM,I,03:54 PM,5:53,353,,BLVDDIR,1114,O,04:44 PM,I,06:12 PM,1:28,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 14 SCHD: 5:53,--> O: 10:01 AM > I: 03:54 PM,RTE: BLVDDIR SCHD: 1:28,--> O: 04:44 PM > I: 06:12 PM,,,,,,,,,,,,,,,,,
Comlysaturday6,Comly,6-20-2026,saturday,,,,6,2023-10-11 10:07 AM,,2023-10-11 7:42 PM,9:25,10.1,,14,1057,O,10:21 AM,I,07:40 PM,9:19,559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 14 SCHD: 9:19,--> O: 10:21 AM > I: 07:40 PM,,,,,,,,,,,,,,,,,,,
Comlysaturday7,Comly,6-20-2026,saturday,,,,7,2023-10-11 10:47 AM,,2023-10-11 7:49 PM,8:52,9.3,,14,1058,O,11:01 AM,I,07:47 PM,8:46,526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 14 SCHD: 8:46,--> O: 11:01 AM > I: 07:47 PM,,,,,,,,,,,,,,,,,,,
Comlysaturday8,Comly,6-20-2026,saturday,,,,8,2023-10-11 12:27 PM,,2023-10-11 10:47 PM,10:10,11.3,,14,1059,O,12:41 PM,I,10:45 PM,10:04,604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 14 SCHD: 10:04,--> O: 12:41 PM > I: 10:45 PM,,,,,,,,,,,,,,,,,,,
Comlysaturday9,Comly,6-20-2026,saturday,,,,9,2023-10-11 03:27 PM,,2023-10-12 12:08 AM,8:31,8.8,,14,1061,O,03:41 PM,I,12:06 AM,8:25,505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 14 SCHD: 8:25,--> O: 03:41 PM > I: 12:06 AM,,,,,,,,,,,,,,,,,,,
Comlysaturday10,Comly,6-20-2026,saturday,,,,10,2023-10-11 02:27 PM,,2023-10-12 12:48 AM,10:11,11.3,,14,1060,O,02:41 PM,I,12:46 AM,10:05,605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 14 SCHD: 10:05,--> O: 02:41 PM > I: 12:46 AM,,,,,,,,,,,,,,,,,,,
Comlysaturday11,Comly,6-20-2026,saturday,,,,11,2023-10-11 03:47 PM,,2023-10-12 1:31 AM,9:34,10.4,,14,1062,O,04:01 PM,I,01:29 AM,9:28,568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 14 SCHD: 9:28,--> O: 04:01 PM > I: 01:29 AM,,,,,,,,,,,,,,,,,,,
Comlysaturday12,Comly,6-20-2026,saturday,,,,12,2023-10-11 05:07 PM,,2023-10-12 2:01 AM,8:44,9.1,,14,1063,O,05:21 PM,I,01:59 AM,8:38,518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 14 SCHD: 8:38,--> O: 05:21 PM > I: 01:59 AM,,,,,,,,,,,,,,,,,,,
Comlysaturday13,Comly,6-20-2026,saturday,,,,13,2023-10-11 06:05 PM,,2023-10-12 2:32 AM,8:17,8.4,,14,1064,O,06:19 PM,I,02:30 AM,8:11,491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 14 SCHD: 8:11,--> O: 06:19 PM > I: 02:30 AM,,,,,,,,,,,,,,,,,,,
Comlysaturday551,Comly,6-20-2026,saturday,,,,551,2023-10-11 07:14 AM,,2023-10-11 5:15 PM,9:51,10.8,,19,1401,O,07:28 AM,I,05:13 PM,9:45,585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 19 SCHD: 9:45,--> O: 07:28 AM > I: 05:13 PM,,,,,,,,,,,,,,,,,,,
Comlysaturday552,Comly,6-20-2026,saturday,,,,552,2023-10-11 08:14 AM,,2023-10-11 7:14 PM,10:50,12.3,,19,1402,O,08:28 AM,I,07:12 PM,10:44,644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 19 SCHD: 10:44,--> O: 08:28 AM > I: 07:12 PM,,,,,,,,,,,,,,,,,,,
Comlysaturday401,Comly,6-20-2026,saturday,,,,401,2023-10-11 03:09 AM,,2023-10-11 11:21 AM,8:02,8.1,,20-50,1451,O,03:23 AM,CG,07:29 AM,4:06,246,,84,1451,CG,07:29 AM,I,11:19 AM,3:50,230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 20-50 SCHD: 4:06,--> O: 03:23 AM > CG: 07:29 AM,RTE: 84 SCHD: 3:50,--> CG: 07:29 AM > I: 11:19 AM,,,,,,,,,,,,,,,,,
Comlysaturday402,Comly,6-20-2026,saturday,,,,402,2023-10-11 04:08 AM,,2023-10-11 11:40 AM,7:22,8.0,,20-50,1452,O,04:22 AM,I,11:38 AM,7:16,436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 20-50 SCHD: 7:16,--> O: 04:22 AM > I: 11:38 AM,,,,,,,,,,,,,,,,,,,
Comlysaturday403,Comly,6-20-2026,saturday,,,,403,2023-10-11 05:25 AM,,2023-10-11 1:02 PM,7:27,8.0,,20-50,1453,O,05:39 AM,I,01:00 PM,7:21,441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 20-50 SCHD: 7:21,--> O: 05:39 AM > I: 01:00 PM,,,,,,,,,,,,,,,,,,,
Comlysaturday404,Comly,6-20-2026,saturday,09:01 AM,0Hrs 50Min,3000,404,2023-10-11 05:46 AM,,2023-10-11 2:55 PM,8:59,9.5,,20-50,1454,O,06:00 AM,I,08:11 AM,2:11,131,,14,1055,O,09:01 AM,I,02:53 PM,5:52,352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 20-50 SCHD: 2:11,--> O: 06:00 AM > I: 08:11 AM,RTE: 14 SCHD: 5:52,--> O: 09:01 AM > I: 02:53 PM,,,,,,,,,,,,,,,,,
