myid,depot,eff_date,day,pullout2,swingdur,swingdursec,runno,start,arrive,finish,worktime,pay,leave,r1,b1,potype1,pot1,pitype1,pit1,stime1,stimeint1,start22,r2,b2,potype2,pot2,pitype2,pit2,stime2,stimeint2,start23,r3,b3,potype3,pot3,pitype3,pit3,stime3,stimeint3,start24,r4,b4,potype4,pot4,pitype4,pit4,stime4,stimeint4,start25,r5,b5,potype5,pot5,pitype5,pit5,stime5,stimeint5,start26,r6,b6,potype6,pot6,pitype6,pit6,stime6,stimeint6,start27,r7,b7,potype7,pot7,pitype7,pit7,stime7,stimeint7,start28,r8,b8,potype8,pot8,pitype8,pit8,stime8,stimeint8,start29,r9,b9,potype9,pot9,pitype9,pit9,stime9,stimeint9,start210,r10,b10,potype10,pot10,pitype10,pit10,stime10,stimeint10,sum1, sum12,sum2, sum22,sum3, sum32,sum4, sum42,sum5, sum52,sum6, sum62,sum7, sum72,sum8, sum82,sum9, sum92,sum10, sum102,
Comlyweekday251,Comly,6-15-2026,weekday,,,,251,2023-10-11 06:07 AM,,2023-10-11 3:58 PM,9:41,10.5,,1,1005,O,06:21 AM,I,03:54 PM,9:33,573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 1 SCHD: 9:33,--> O: 06:21 AM > I: 03:54 PM,,,,,,,,,,,,,,,,,,,
Comlyweekday252,Comly,6-15-2026,weekday,02:07 PM,3Hrs 7Min,11220,252,2023-10-11 05:11 AM,,2023-10-11 4:27 PM,7:59,8.6,,1,1002,O,05:25 AM,I,11:00 AM,5:35,335,1:57,20-50,1465,O,02:07 PM,I,04:23 PM,2:16,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 1 SCHD: 5:35,--> O: 05:25 AM > I: 11:00 AM,RTE: 20-50 SCHD: 2:16,--> O: 02:07 PM > I: 04:23 PM,,,,,,,,,,,,,,,,,
Comlyweekday253,Comly,6-15-2026,weekday,02:40 PM,3Hrs 37Min,13020,253,2023-10-11 04:57 AM,,2023-10-11 4:53 PM,8:09,9.5,,1,1001,O,05:11 AM,CG,06:48 AM,1:37,97,,20-50,1001,CG,06:48 AM,I,11:03 AM,4:15,255,2:30,20-50,1469,O,02:40 PM,I,04:49 PM,2:09,129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 1 SCHD: 1:37,--> O: 05:11 AM > CG: 06:48 AM,RTE: 20-50 SCHD: 4:15,--> CG: 06:48 AM > I: 11:03 AM,RTE: 20-50 SCHD: 2:09,--> O: 02:40 PM > I: 04:49 PM,,,,,,,,,,,,,,,
Comlyweekday254,Comly,6-15-2026,weekday,12:15 PM,3Hrs 43Min,13380,254,2023-10-11 05:27 AM,,2023-10-11 5:23 PM,8:03,9.3,,1,1003,O,05:41 AM,CG,07:35 AM,1:54,114,,84,1003,CG,07:35 AM,I,08:32 AM,0:57,57,12:05,14,1064,O,12:15 PM,I,05:19 PM,5:04,304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 1 SCHD: 1:54,--> O: 05:41 AM > CG: 07:35 AM,RTE: 84 SCHD: 0:57,--> CG: 07:35 AM > I: 08:32 AM,RTE: 14 SCHD: 5:04,--> O: 12:15 PM > I: 05:19 PM,,,,,,,,,,,,,,,
Comlyweekday255,Comly,6-15-2026,weekday,03:25 PM,3Hrs 45Min,13500,255,2023-10-11 05:47 AM,,2023-10-11 6:12 PM,8:30,10.6,,1,1004,O,06:01 AM,CG,08:12 AM,2:11,131,,67,1004,CG,08:12 AM,I,11:40 AM,3:28,208,3:15,1,1009,O,03:25 PM,I,06:08 PM,2:43,163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 1 SCHD: 2:11,--> O: 06:01 AM > CG: 08:12 AM,RTE: 67 SCHD: 3:28,--> CG: 08:12 AM > I: 11:40 AM,RTE: 1 SCHD: 2:43,--> O: 03:25 PM > I: 06:08 PM,,,,,,,,,,,,,,,
Comlyweekday256,Comly,6-15-2026,weekday,,,,256,2023-10-11 10:55 AM,,2023-10-11 7:36 PM,8:31,8.8,,1,1006,O,11:09 AM,I,07:32 PM,8:23,503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 1 SCHD: 8:23,--> O: 11:09 AM > I: 07:32 PM,,,,,,,,,,,,,,,,,,,
Comlyweekday1,Comly,6-15-2026,weekday,,,,1,2023-10-11 01:48 AM,,2023-10-11 10:41 AM,8:43,9.1,,14,1051,O,02:02 AM,I,10:37 AM,8:35,515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 14 SCHD: 8:35,--> O: 02:02 AM > I: 10:37 AM,,,,,,,,,,,,,,,,,,,
Comlyweekday2,Comly,6-15-2026,weekday,,,,2,2023-10-11 02:48 AM,,2023-10-11 12:11 PM,9:13,9.8,,14,1052,O,03:02 AM,I,12:07 PM,9:05,545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 14 SCHD: 9:05,--> O: 03:02 AM > I: 12:07 PM,,,,,,,,,,,,,,,,,,,
Comlyweekday3,Comly,6-15-2026,weekday,,,,3,2023-10-11 03:52 AM,,2023-10-11 1:12 PM,9:10,9.8,,14,1053,O,04:06 AM,I,01:08 PM,9:02,542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 14 SCHD: 9:02,--> O: 04:06 AM > I: 01:08 PM,,,,,,,,,,,,,,,,,,,
Comlyweekday4,Comly,6-15-2026,weekday,,,,4,2023-10-11 03:54 AM,,2023-10-11 12:57 PM,8:53,9.3,,14,1054,O,04:08 AM,I,12:53 PM,8:45,525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 14 SCHD: 8:45,--> O: 04:08 AM > I: 12:53 PM,,,,,,,,,,,,,,,,,,,
