myid,depot,eff_date,day,pullout2,swingdur,swingdursec,runno,start,arrive,finish,worktime,pay,leave,r1,b1,potype1,pot1,pitype1,pit1,stime1,stimeint1,start22,r2,b2,potype2,pot2,pitype2,pit2,stime2,stimeint2,start23,r3,b3,potype3,pot3,pitype3,pit3,stime3,stimeint3,start24,r4,b4,potype4,pot4,pitype4,pit4,stime4,stimeint4,start25,r5,b5,potype5,pot5,pitype5,pit5,stime5,stimeint5,start26,r6,b6,potype6,pot6,pitype6,pit6,stime6,stimeint6,start27,r7,b7,potype7,pot7,pitype7,pit7,stime7,stimeint7,start28,r8,b8,potype8,pot8,pitype8,pit8,stime8,stimeint8,start29,r9,b9,potype9,pot9,pitype9,pit9,stime9,stimeint9,start210,r10,b10,potype10,pot10,pitype10,pit10,stime10,stimeint10,sum1, sum12,sum2, sum22,sum3, sum32,sum4, sum42,sum5, sum52,sum6, sum62,sum7, sum72,sum8, sum82,sum9, sum92,sum10, sum102,
ComlyWeekday251,Comly,2-23-2026,Weekday,,,,251,2023-10-11 06:07 AM,,2023-10-11 3:58 PM,9:41,10.5,,1,1005,O,06:21 AM,I,03:54 PM,9:33,573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 1 SCHD: 9:33,--> O: 06:21 AM > I: 03:54 PM,,,,,,,,,,,,,,,,,,,
ComlyWeekday252,Comly,2-23-2026,Weekday,02:06 PM,3Hrs 3Min,10980,252,2023-10-11 04:57 AM,,2023-10-11 4:03 PM,7:53,8.4,,1,1001,O,05:11 AM,CG,06:48 AM,1:37,97,,20-50,1001,CG,06:48 AM,I,11:03 AM,4:15,255,1:56,1,1008,O,02:06 PM,I,03:59 PM,1:53,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 1 SCHD: 1:37,--> O: 05:11 AM > CG: 06:48 AM,RTE: 20-50 SCHD: 4:15,--> CG: 06:48 AM > I: 11:03 AM,RTE: 1 SCHD: 1:53,--> O: 02:06 PM > I: 03:59 PM,,,,,,,,,,,,,,,
ComlyWeekday253,Comly,2-23-2026,Weekday,01:39 PM,2Hrs 39Min,9540,253,2023-10-11 05:11 AM,3:50,2023-10-11 3:50 PM,7:50,8.1,,1,1002,O,05:25 AM,I,11:00 AM,5:35,335,1:29,14,1074,O,01:39 PM,RS,03:38 PM,1:59,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 1 SCHD: 5:35,--> O: 05:25 AM > I: 11:00 AM,RTE: 14 SCHD: 1:59,--> O: 01:39 PM > RS: 03:38 PM,,,,,,,,,,,,,,,,,
ComlyWeekday254,Comly,2-23-2026,Weekday,02:07 PM,2Hrs 27Min,8820,254,2023-10-11 05:47 AM,,2023-10-11 4:27 PM,8:03,8.3,,1,1004,O,06:01 AM,CG,08:12 AM,2:11,131,,67,1004,CG,08:12 AM,I,11:40 AM,3:28,208,1:57,20-50,1469,O,02:07 PM,I,04:23 PM,2:16,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 1 SCHD: 2:11,--> O: 06:01 AM > CG: 08:12 AM,RTE: 67 SCHD: 3:28,--> CG: 08:12 AM > I: 11:40 AM,RTE: 20-50 SCHD: 2:16,--> O: 02:07 PM > I: 04:23 PM,,,,,,,,,,,,,,,
ComlyWeekday255,Comly,2-23-2026,Weekday,11:54 AM,3Hrs 31Min,12660,255,2023-10-11 05:27 AM,,2023-10-11 5:07 PM,7:59,9.0,,1,1003,O,05:41 AM,CG,07:38 AM,1:57,117,,WR3-4,1003,CG,07:38 AM,I,08:23 AM,0:45,45,11:44,1,1007,O,11:54 AM,CG,04:05 PM,4:11,251,,20-50,1007,CG,04:05 PM,I,05:03 PM,0:58,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 1 SCHD: 1:57,--> O: 05:41 AM > CG: 07:38 AM,RTE: WR3-4 SCHD: 0:45,--> CG: 07:38 AM > I: 08:23 AM,RTE: 1 SCHD: 4:11,--> O: 11:54 AM > CG: 04:05 PM,RTE: 20-50 SCHD: 0:58,--> CG: 04:05 PM > I: 05:03 PM,,,,,,,,,,,,,
ComlyWeekday256,Comly,2-23-2026,Weekday,,,,256,2023-10-11 10:55 AM,,2023-10-11 7:36 PM,8:31,8.8,,1,1006,O,11:09 AM,I,07:32 PM,8:23,503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 1 SCHD: 8:23,--> O: 11:09 AM > I: 07:32 PM,,,,,,,,,,,,,,,,,,,
ComlyWeekday1,Comly,2-23-2026,Weekday,,,,1,2023-10-11 01:48 AM,,2023-10-11 10:41 AM,8:43,9.1,,14,1051,O,02:02 AM,I,10:37 AM,8:35,515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 14 SCHD: 8:35,--> O: 02:02 AM > I: 10:37 AM,,,,,,,,,,,,,,,,,,,
ComlyWeekday2,Comly,2-23-2026,Weekday,,,,2,2023-10-11 02:48 AM,,2023-10-11 12:11 PM,9:13,9.8,,14,1052,O,03:02 AM,I,12:07 PM,9:05,545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 14 SCHD: 9:05,--> O: 03:02 AM > I: 12:07 PM,,,,,,,,,,,,,,,,,,,
ComlyWeekday3,Comly,2-23-2026,Weekday,,,,3,2023-10-11 03:52 AM,,2023-10-11 1:12 PM,9:10,9.8,,14,1053,O,04:06 AM,I,01:08 PM,9:02,542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 14 SCHD: 9:02,--> O: 04:06 AM > I: 01:08 PM,,,,,,,,,,,,,,,,,,,
ComlyWeekday4,Comly,2-23-2026,Weekday,,,,4,2023-10-11 04:08 AM,,2023-10-11 1:42 PM,9:24,10.1,,14,1055,O,04:22 AM,I,01:38 PM,9:16,556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 14 SCHD: 9:16,--> O: 04:22 AM > I: 01:38 PM,,,,,,,,,,,,,,,,,,,
