myid,depot,eff_date,day,pullout2,swingdur,swingdursec,runno,start,arrive,finish,worktime,pay,leave,r1,b1,potype1,pot1,pitype1,pit1,stime1,stimeint1,start22,r2,b2,potype2,pot2,pitype2,pit2,stime2,stimeint2,start23,r3,b3,potype3,pot3,pitype3,pit3,stime3,stimeint3,start24,r4,b4,potype4,pot4,pitype4,pit4,stime4,stimeint4,start25,r5,b5,potype5,pot5,pitype5,pit5,stime5,stimeint5,start26,r6,b6,potype6,pot6,pitype6,pit6,stime6,stimeint6,start27,r7,b7,potype7,pot7,pitype7,pit7,stime7,stimeint7,start28,r8,b8,potype8,pot8,pitype8,pit8,stime8,stimeint8,start29,r9,b9,potype9,pot9,pitype9,pit9,stime9,stimeint9,start210,r10,b10,potype10,pot10,pitype10,pit10,stime10,stimeint10,sum1, sum12,sum2, sum22,sum3, sum32,sum4, sum42,sum5, sum52,sum6, sum62,sum7, sum72,sum8, sum82,sum9, sum92,sum10, sum102,
Elmwoodsunday1,Elmwood,6-14-2026,sunday,,,,1,2023-10-11 04:24 AM,,2023-10-11 12:24 PM,7:50,8.0,,T2,8201,O,04:37 AM,I,12:22 PM,7:45,465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: T2 SCHD: 7:45,--> O: 04:37 AM > I: 12:22 PM,,,,,,,,,,,,,,,,,,,
Elmwoodsunday2,Elmwood,6-14-2026,sunday,,,,2,2023-10-11 04:55 AM,,2023-10-11 2:04 PM,8:59,9.5,,T2,8202,O,05:08 AM,I,02:02 PM,8:54,534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: T2 SCHD: 8:54,--> O: 05:08 AM > I: 02:02 PM,,,,,,,,,,,,,,,,,,,
Elmwoodsunday3,Elmwood,6-14-2026,sunday,,,,3,2023-10-11 08:16 AM,,2023-10-11 5:07 PM,8:41,9.0,,T2,8203,O,08:29 AM,I,05:05 PM,8:36,516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: T2 SCHD: 8:36,--> O: 08:29 AM > I: 05:05 PM,,,,,,,,,,,,,,,,,,,
Elmwoodsunday4,Elmwood,6-14-2026,sunday,,,,4,2023-10-11 09:48 AM,,2023-10-11 6:45 PM,8:47,9.2,,T2,8204,O,10:01 AM,I,06:43 PM,8:42,522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: T2 SCHD: 8:42,--> O: 10:01 AM > I: 06:43 PM,,,,,,,,,,,,,,,,,,,
Elmwoodsunday5,Elmwood,6-14-2026,sunday,,,,5,2023-10-11 11:24 AM,,2023-10-11 7:05 PM,7:31,8.0,,T2,8205,O,11:37 AM,I,07:03 PM,7:26,446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: T2 SCHD: 7:26,--> O: 11:37 AM > I: 07:03 PM,,,,,,,,,,,,,,,,,,,
Elmwoodsunday6,Elmwood,6-14-2026,sunday,,,,6,2023-10-11 01:08 PM,,2023-10-11 8:42 PM,7:24,8.0,,T2,8206,O,01:21 PM,I,08:40 PM,7:19,439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: T2 SCHD: 7:19,--> O: 01:21 PM > I: 08:40 PM,,,,,,,,,,,,,,,,,,,
Elmwoodsunday7,Elmwood,6-14-2026,sunday,,,,7,2023-10-11 04:06 PM,,2023-10-12 12:04 AM,7:48,8.0,,T2,8207,O,04:19 PM,I,12:02 AM,7:43,463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: T2 SCHD: 7:43,--> O: 04:19 PM > I: 12:02 AM,,,,,,,,,,,,,,,,,,,
Elmwoodsunday7,Elmwood,6-14-2026,sunday,,,,7,2023-10-11 04:06 PM,,2023-10-12 12:04 AM,7:48,8.0,,T2,8207,O,04:19 PM,I,12:02 AM,7:43,463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: T2 SCHD: 7:43,--> O: 04:19 PM > I: 12:02 AM,,,,,,,,,,,,,,,,,,,
Elmwoodsunday8,Elmwood,6-14-2026,sunday,,,,8,2023-10-11 06:08 PM,,2023-10-12 1:49 AM,7:31,8.0,,T2,8209,O,06:21 PM,I,01:47 AM,7:26,446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: T2 SCHD: 7:26,--> O: 06:21 PM > I: 01:47 AM,,,,,,,,,,,,,,,,,,,
Elmwoodsunday8,Elmwood,6-14-2026,sunday,,,,8,2023-10-11 06:08 PM,,2023-10-12 1:49 AM,7:31,8.0,,T2,8209,O,06:21 PM,I,01:47 AM,7:26,446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: T2 SCHD: 7:26,--> O: 06:21 PM > I: 01:47 AM,,,,,,,,,,,,,,,,,,,
