myid,depot,eff_date,day,pullout2,swingdur,swingdursec,runno,start,arrive,finish,worktime,pay,leave,r1,b1,potype1,pot1,pitype1,pit1,stime1,stimeint1,start22,r2,b2,potype2,pot2,pitype2,pit2,stime2,stimeint2,start23,r3,b3,potype3,pot3,pitype3,pit3,stime3,stimeint3,start24,r4,b4,potype4,pot4,pitype4,pit4,stime4,stimeint4,start25,r5,b5,potype5,pot5,pitype5,pit5,stime5,stimeint5,start26,r6,b6,potype6,pot6,pitype6,pit6,stime6,stimeint6,start27,r7,b7,potype7,pot7,pitype7,pit7,stime7,stimeint7,start28,r8,b8,potype8,pot8,pitype8,pit8,stime8,stimeint8,start29,r9,b9,potype9,pot9,pitype9,pit9,stime9,stimeint9,start210,r10,b10,potype10,pot10,pitype10,pit10,stime10,stimeint10,sum1, sum12,sum2, sum22,sum3, sum32,sum4, sum42,sum5, sum52,sum6, sum62,sum7, sum72,sum8, sum82,sum9, sum92,sum10, sum102,
Elmwoodweekday1,Elmwood,6-15-2026,weekday,,,,1,2023-10-11 04:19 AM,,2023-10-11 2:13 PM,9:44,10.6,,T2,8201,O,04:32 AM,I,02:10 PM,9:38,578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: T2 SCHD: 9:38,--> O: 04:32 AM > I: 02:10 PM,,,,,,,,,,,,,,,,,,,
Elmwoodweekday2,Elmwood,6-15-2026,weekday,,,,2,2023-10-11 04:42 AM,12:55,2023-10-11 12:55 PM,8:03,8.1,,T2,8202,O,04:55 AM,RW,12:20 PM,7:25,445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: T2 SCHD: 7:25,--> O: 04:55 AM > RW: 12:20 PM,,,,,,,,,,,,,,,,,,,
Elmwoodweekday3,Elmwood,6-15-2026,weekday,,,,3,2023-10-11 04:54 AM,3:55,2023-10-11 3:55 PM,10:51,12.3,,T2,8203,O,05:07 AM,RW,03:20 PM,10:13,613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: T2 SCHD: 10:13,--> O: 05:07 AM > RW: 03:20 PM,,,,,,,,,,,,,,,,,,,
Elmwoodweekday4,Elmwood,6-15-2026,weekday,,,,4,2023-10-11 05:09 AM,2:46,2023-10-11 2:46 PM,9:27,10.2,,T2,8204,O,05:22 AM,RW,02:11 PM,8:49,529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: T2 SCHD: 8:49,--> O: 05:22 AM > RW: 02:11 PM,,,,,,,,,,,,,,,,,,,
Elmwoodweekday5,Elmwood,6-15-2026,weekday,,,,5,2023-10-11 05:19 AM,1:35,2023-10-11 1:35 PM,8:06,8.2,,T2,8205,O,05:32 AM,RW,01:00 PM,7:28,448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: T2 SCHD: 7:28,--> O: 05:32 AM > RW: 01:00 PM,,,,,,,,,,,,,,,,,,,
Elmwoodweekday6,Elmwood,6-15-2026,weekday,,,,6,2023-10-11 05:53 AM,2:25,2023-10-11 2:25 PM,8:22,8.6,,T2,8207,O,06:06 AM,RW,01:50 PM,7:44,464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: T2 SCHD: 7:44,--> O: 06:06 AM > RW: 01:50 PM,,,,,,,,,,,,,,,,,,,
Elmwoodweekday7,Elmwood,6-15-2026,weekday,10:23 AM,1Hrs 14Min,4440,7,2023-10-11 05:41 AM,3:05,2023-10-11 3:05 PM,8:10,8.5,,T2,8206,O,05:54 AM,I,09:09 AM,3:15,195,10:13,T4,8109,RW,10:23 AM,RW,02:55 PM,4:32,272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: T2 SCHD: 3:15,--> O: 05:54 AM > I: 09:09 AM,RTE: T4 SCHD: 4:32,--> RW: 10:23 AM > RW: 02:55 PM,,,,,,,,,,,,,,,,,
Elmwoodweekday8,Elmwood,6-15-2026,weekday,01:21 PM,3Hrs 22Min,12120,8,2023-10-11 06:16 AM,5:33,2023-10-11 5:33 PM,7:45,8.4,,T2,8208,O,06:29 AM,I,09:59 AM,3:30,210,1:11,T2,8212,O,01:21 PM,RW,04:58 PM,3:37,217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: T2 SCHD: 3:30,--> O: 06:29 AM > I: 09:59 AM,RTE: T2 SCHD: 3:37,--> O: 01:21 PM > RW: 04:58 PM,,,,,,,,,,,,,,,,,
Elmwoodweekday9,Elmwood,6-15-2026,weekday,02:04 PM,3Hrs 13Min,11580,9,2023-10-11 06:55 AM,,2023-10-11 6:54 PM,8:36,10.2,,T2,8210,O,07:08 AM,RW,10:51 AM,3:43,223,,T3,8158,RW,02:04 PM,I,06:51 PM,4:47,287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: T2 SCHD: 3:43,--> O: 07:08 AM > RW: 10:51 AM,RTE: T3 SCHD: 4:47,--> RW: 02:04 PM > I: 06:51 PM,,,,,,,,,,,,,,,,,
Elmwoodweekday10,Elmwood,6-15-2026,weekday,03:56 PM,2Hrs 59Min,10740,10,2023-10-11 06:39 AM,,2023-10-11 7:14 PM,9:26,12.3,,T2,8209,O,06:52 AM,I,12:57 PM,6:05,365,3:46,T5,8273,O,03:56 PM,I,07:11 PM,3:15,195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: T2 SCHD: 6:05,--> O: 06:52 AM > I: 12:57 PM,RTE: T5 SCHD: 3:15,--> O: 03:56 PM > I: 07:11 PM,,,,,,,,,,,,,,,,,
Elmwoodweekday11,Elmwood,6-15-2026,weekday,,,,11,2023-10-11 10:13 AM,,2023-10-11 7:24 PM,9:11,9.8,,T2,8210,RW,10:51 AM,I,07:21 PM,8:30,510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: T2 SCHD: 8:30,--> RW: 10:51 AM > I: 07:21 PM,,,,,,,,,,,,,,,,,,,
Elmwoodweekday12,Elmwood,6-15-2026,weekday,,,,12,2023-10-11 11:42 AM,,2023-10-11 8:52 PM,9:10,9.8,,T2,8202,RW,12:20 PM,I,08:49 PM,8:29,509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: T2 SCHD: 8:29,--> RW: 12:20 PM > I: 08:49 PM,,,,,,,,,,,,,,,,,,,
