myid,depot,eff_date,day,pullout2,swingdur,swingdursec,runno,start,arrive,finish,worktime,pay,leave,r1,b1,potype1,pot1,pitype1,pit1,stime1,stimeint1,start22,r2,b2,potype2,pot2,pitype2,pit2,stime2,stimeint2,start23,r3,b3,potype3,pot3,pitype3,pit3,stime3,stimeint3,start24,r4,b4,potype4,pot4,pitype4,pit4,stime4,stimeint4,start25,r5,b5,potype5,pot5,pitype5,pit5,stime5,stimeint5,start26,r6,b6,potype6,pot6,pitype6,pit6,stime6,stimeint6,start27,r7,b7,potype7,pot7,pitype7,pit7,stime7,stimeint7,start28,r8,b8,potype8,pot8,pitype8,pit8,stime8,stimeint8,start29,r9,b9,potype9,pot9,pitype9,pit9,stime9,stimeint9,start210,r10,b10,potype10,pot10,pitype10,pit10,stime10,stimeint10,sum1, sum12,sum2, sum22,sum3, sum32,sum4, sum42,sum5, sum52,sum6, sum62,sum7, sum72,sum8, sum82,sum9, sum92,sum10, sum102,
FrankfordSaturday801,Frankford,2-28-2026,Saturday,,,,801,2023-10-11 04:23 AM,,2023-10-11 1:46 PM,9:13,9.8,,3,2201,O,04:38 AM,I,01:44 PM,9:06,546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 3 SCHD: 9:06,--> O: 04:38 AM > I: 01:44 PM,,,,,,,,,,,,,,,,,,,
FrankfordSaturday802,Frankford,2-28-2026,Saturday,,,,802,2023-10-11 04:46 AM,,2023-10-11 1:38 PM,8:42,9.1,,3,2202,O,05:01 AM,CG,06:27 AM,1:26,86,,25,2202,CG,06:27 AM,I,01:36 PM,7:09,429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 3 SCHD: 1:26,--> O: 05:01 AM > CG: 06:27 AM,RTE: 25 SCHD: 7:09,--> CG: 06:27 AM > I: 01:36 PM,,,,,,,,,,,,,,,,,
FrankfordSaturday803,Frankford,2-28-2026,Saturday,,,,803,2023-10-11 06:14 AM,,2023-10-11 3:39 PM,9:15,9.9,,3,2203,O,06:29 AM,CG,02:11 PM,7:42,462,,5,2203,CG,02:11 PM,I,03:37 PM,1:26,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 3 SCHD: 7:42,--> O: 06:29 AM > CG: 02:11 PM,RTE: 5 SCHD: 1:26,--> CG: 02:11 PM > I: 03:37 PM,,,,,,,,,,,,,,,,,
FrankfordSaturday804,Frankford,2-28-2026,Saturday,,,,804,2023-10-11 08:16 AM,,2023-10-11 5:05 PM,8:39,9.0,,3,2204,O,08:31 AM,I,05:03 PM,8:32,512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 3 SCHD: 8:32,--> O: 08:31 AM > I: 05:03 PM,,,,,,,,,,,,,,,,,,,
FrankfordSaturday805,Frankford,2-28-2026,Saturday,,,,805,2023-10-11 08:34 AM,,2023-10-11 5:20 PM,8:36,8.9,,3,2205,O,08:49 AM,I,05:18 PM,8:29,509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 3 SCHD: 8:29,--> O: 08:49 AM > I: 05:18 PM,,,,,,,,,,,,,,,,,,,
FrankfordSaturday806,Frankford,2-28-2026,Saturday,,,,806,2023-10-11 12:13 PM,,2023-10-11 8:33 PM,8:10,8.3,,3,2206,O,12:28 PM,I,08:31 PM,8:03,483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 3 SCHD: 8:03,--> O: 12:28 PM > I: 08:31 PM,,,,,,,,,,,,,,,,,,,
FrankfordSaturday807,Frankford,2-28-2026,Saturday,,,,807,2023-10-11 04:54 PM,,2023-10-12 2:06 AM,9:02,9.6,,3,2207,O,05:09 PM,I,02:04 AM,8:55,535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 3 SCHD: 8:55,--> O: 05:09 PM > I: 02:04 AM,,,,,,,,,,,,,,,,,,,
FrankfordSaturday808,Frankford,2-28-2026,Saturday,,,,808,2023-10-11 05:35 PM,,2023-10-12 2:51 AM,9:06,9.7,,3,2208,O,05:50 PM,CG,07:41 PM,1:51,111,,5,2208,CG,07:41 PM,CG,10:40 PM,2:59,179,,3,2208,CG,10:40 PM,CG,01:37 AM,2:57,177,,67,2208,CG,01:37 AM,I,02:49 AM,1:12,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 3 SCHD: 1:51,--> O: 05:50 PM > CG: 07:41 PM,RTE: 5 SCHD: 2:59,--> CG: 07:41 PM > CG: 10:40 PM,RTE: 3 SCHD: 2:57,--> CG: 10:40 PM > CG: 01:37 AM,RTE: 67 SCHD: 1:12,--> CG: 01:37 AM > I: 02:49 AM,,,,,,,,,,,,,
FrankfordSaturday101,Frankford,2-28-2026,Saturday,,,,101,2023-10-11 04:56 AM,,2023-10-11 12:39 PM,7:33,8.0,,5,2251,O,05:11 AM,I,12:37 PM,7:26,446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 5 SCHD: 7:26,--> O: 05:11 AM > I: 12:37 PM,,,,,,,,,,,,,,,,,,,
FrankfordSaturday102,Frankford,2-28-2026,Saturday,,,,102,2023-10-11 07:14 AM,,2023-10-11 4:41 PM,9:17,9.9,,5,2252,O,07:29 AM,CG,03:00 PM,7:31,451,,82,2252,CG,03:00 PM,I,04:39 PM,1:39,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 5 SCHD: 7:31,--> O: 07:29 AM > CG: 03:00 PM,RTE: 82 SCHD: 1:39,--> CG: 03:00 PM > I: 04:39 PM,,,,,,,,,,,,,,,,,
