myid,depot,eff_date,day,pullout2,swingdur,swingdursec,runno,start,arrive,finish,worktime,pay,leave,r1,b1,potype1,pot1,pitype1,pit1,stime1,stimeint1,start22,r2,b2,potype2,pot2,pitype2,pit2,stime2,stimeint2,start23,r3,b3,potype3,pot3,pitype3,pit3,stime3,stimeint3,start24,r4,b4,potype4,pot4,pitype4,pit4,stime4,stimeint4,start25,r5,b5,potype5,pot5,pitype5,pit5,stime5,stimeint5,start26,r6,b6,potype6,pot6,pitype6,pit6,stime6,stimeint6,start27,r7,b7,potype7,pot7,pitype7,pit7,stime7,stimeint7,start28,r8,b8,potype8,pot8,pitype8,pit8,stime8,stimeint8,start29,r9,b9,potype9,pot9,pitype9,pit9,stime9,stimeint9,start210,r10,b10,potype10,pot10,pitype10,pit10,stime10,stimeint10,sum1, sum12,sum2, sum22,sum3, sum32,sum4, sum42,sum5, sum52,sum6, sum62,sum7, sum72,sum8, sum82,sum9, sum92,sum10, sum102,
FrankfordWeekday551,Frankford,2-23-2026,Weekday,,,,551,2023-10-11 04:38 AM,,2023-10-11 2:44 PM,9:56,10.9,,1,2151,O,04:53 AM,I,02:41 PM,9:48,588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 1 SCHD: 9:48,--> O: 04:53 AM > I: 02:41 PM,,,,,,,,,,,,,,,,,,,
FrankfordWeekday552,Frankford,2-23-2026,Weekday,01:54 PM,2Hrs 28Min,8880,552,2023-10-11 04:55 AM,,2023-10-11 3:56 PM,8:23,9.0,,1,2152,O,05:10 AM,I,11:26 AM,6:16,376,1:44,1,2158,O,01:54 PM,I,03:53 PM,1:59,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 1 SCHD: 6:16,--> O: 05:10 AM > I: 11:26 AM,RTE: 1 SCHD: 1:59,--> O: 01:54 PM > I: 03:53 PM,,,,,,,,,,,,,,,,,
FrankfordWeekday553,Frankford,2-23-2026,Weekday,12:36 PM,3Hrs 17Min,11820,553,2023-10-11 05:08 AM,,2023-10-11 5:10 PM,8:38,10.3,,1,2153,O,05:23 AM,CG,07:30 AM,2:07,127,,82,2153,CG,07:30 AM,I,09:19 AM,1:49,109,12:33,25,2183,RS,12:36 PM,CG,03:30 PM,2:54,174,,5,2183,CG,03:30 PM,I,05:07 PM,1:37,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 1 SCHD: 2:07,--> O: 05:23 AM > CG: 07:30 AM,RTE: 82 SCHD: 1:49,--> CG: 07:30 AM > I: 09:19 AM,RTE: 25 SCHD: 2:54,--> RS: 12:36 PM > CG: 03:30 PM,RTE: 5 SCHD: 1:37,--> CG: 03:30 PM > I: 05:07 PM,,,,,,,,,,,,,
FrankfordWeekday554,Frankford,2-23-2026,Weekday,12:54 PM,2Hrs 40Min,9600,554,2023-10-11 05:21 AM,,2023-10-11 5:44 PM,9:33,12.1,,1,2154,O,05:36 AM,I,10:14 AM,4:38,278,12:44,K,2618,O,12:54 PM,I,05:41 PM,4:47,287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 1 SCHD: 4:38,--> O: 05:36 AM > I: 10:14 AM,RTE: K SCHD: 4:47,--> O: 12:54 PM > I: 05:41 PM,,,,,,,,,,,,,,,,,
FrankfordWeekday555,Frankford,2-23-2026,Weekday,01:56 PM,1Hrs 5Min,3900,555,2023-10-11 06:19 AM,,2023-10-11 5:48 PM,10:14,12.2,,1,2156,O,06:34 AM,I,12:51 PM,6:17,377,1:46,8,2308,O,01:56 PM,CG,04:10 PM,2:14,134,,5,2308,CG,04:10 PM,I,05:45 PM,1:35,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 1 SCHD: 6:17,--> O: 06:34 AM > I: 12:51 PM,RTE: 8 SCHD: 2:14,--> O: 01:56 PM > CG: 04:10 PM,RTE: 5 SCHD: 1:35,--> CG: 04:10 PM > I: 05:45 PM,,,,,,,,,,,,,,,
FrankfordWeekday556,Frankford,2-23-2026,Weekday,01:19 PM,3Hrs 57Min,14220,556,2023-10-11 05:37 AM,,2023-10-11 6:26 PM,8:45,11.6,,1,2155,O,05:52 AM,I,09:22 AM,3:30,210,1:16,5,2252,R,01:19 PM,I,06:23 PM,5:04,304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 1 SCHD: 3:30,--> O: 05:52 AM > I: 09:22 AM,RTE: 5 SCHD: 5:04,--> R: 01:19 PM > I: 06:23 PM,,,,,,,,,,,,,,,,,
FrankfordWeekday801,Frankford,2-23-2026,Weekday,,,,801,2023-10-11 04:15 AM,,2023-10-11 1:56 PM,9:31,10.3,,3,2201,O,04:30 AM,I,01:53 PM,9:23,563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 3 SCHD: 9:23,--> O: 04:30 AM > I: 01:53 PM,,,,,,,,,,,,,,,,,,,
FrankfordWeekday802,Frankford,2-23-2026,Weekday,,,,802,2023-10-11 04:21 AM,12:28,2023-10-11 12:28 PM,7:57,8.0,,3,2202,O,04:36 AM,R,12:25 PM,7:49,469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 3 SCHD: 7:49,--> O: 04:36 AM > R: 12:25 PM,,,,,,,,,,,,,,,,,,,
FrankfordWeekday803,Frankford,2-23-2026,Weekday,02:46 PM,2Hrs 8Min,7680,803,2023-10-11 04:58 AM,,2023-10-11 3:59 PM,8:43,9.5,,3,2204,O,05:13 AM,I,12:38 PM,7:25,445,2:36,WR3-4,2802,O,02:46 PM,I,03:56 PM,1:10,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 3 SCHD: 7:25,--> O: 05:13 AM > I: 12:38 PM,RTE: WR3-4 SCHD: 1:10,--> O: 02:46 PM > I: 03:56 PM,,,,,,,,,,,,,,,,,
FrankfordWeekday804,Frankford,2-23-2026,Weekday,02:31 PM,3Hrs 11Min,11460,804,2023-10-11 05:22 AM,,2023-10-11 4:15 PM,7:32,8.0,,3,2205,O,05:37 AM,I,11:20 AM,5:43,343,2:21,82,2718,O,02:31 PM,I,04:12 PM,1:41,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 3 SCHD: 5:43,--> O: 05:37 AM > I: 11:20 AM,RTE: 82 SCHD: 1:41,--> O: 02:31 PM > I: 04:12 PM,,,,,,,,,,,,,,,,,
