myid,depot,eff_date,day,pullout2,swingdur,swingdursec,runno,start,arrive,finish,worktime,pay,leave,r1,b1,potype1,pot1,pitype1,pit1,stime1,stimeint1,start22,r2,b2,potype2,pot2,pitype2,pit2,stime2,stimeint2,start23,r3,b3,potype3,pot3,pitype3,pit3,stime3,stimeint3,start24,r4,b4,potype4,pot4,pitype4,pit4,stime4,stimeint4,start25,r5,b5,potype5,pot5,pitype5,pit5,stime5,stimeint5,start26,r6,b6,potype6,pot6,pitype6,pit6,stime6,stimeint6,start27,r7,b7,potype7,pot7,pitype7,pit7,stime7,stimeint7,start28,r8,b8,potype8,pot8,pitype8,pit8,stime8,stimeint8,start29,r9,b9,potype9,pot9,pitype9,pit9,stime9,stimeint9,start210,r10,b10,potype10,pot10,pitype10,pit10,stime10,stimeint10,sum1, sum12,sum2, sum22,sum3, sum32,sum4, sum42,sum5, sum52,sum6, sum62,sum7, sum72,sum8, sum82,sum9, sum92,sum10, sum102,
Frankford Railsunday701,Frankford Rail,8-23-2026,sunday,,,,701,2023-10-11 03:47 AM,,2023-10-11 12:03 PM,8:06,8.2,,59,2001,O,04:02 AM,I,12:01 PM,7:59,479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 59 SCHD: 7:59,--> O: 04:02 AM > I: 12:01 PM,,,,,,,,,,,,,,,,,,,
Frankford Railsunday702,Frankford Rail,8-23-2026,sunday,,,,702,2023-10-11 05:06 AM,,2023-10-11 1:33 PM,8:17,8.4,,59,2002,O,05:21 AM,I,01:31 PM,8:10,490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 59 SCHD: 8:10,--> O: 05:21 AM > I: 01:31 PM,,,,,,,,,,,,,,,,,,,
Frankford Railsunday703,Frankford Rail,8-23-2026,sunday,,,,703,2023-10-11 01:05 PM,,2023-10-11 9:52 PM,8:37,8.9,,59,2003,O,01:20 PM,I,09:50 PM,8:30,510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 59 SCHD: 8:30,--> O: 01:20 PM > I: 09:50 PM,,,,,,,,,,,,,,,,,,,
Frankford Railsunday704,Frankford Rail,8-23-2026,sunday,,,,704,2023-10-11 05:36 PM,,2023-10-12 1:58 AM,8:12,8.3,,59,2004,O,05:51 PM,I,01:56 AM,8:05,485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 59 SCHD: 8:05,--> O: 05:51 PM > I: 01:56 AM,,,,,,,,,,,,,,,,,,,
Frankford Railsunday501,Frankford Rail,8-23-2026,sunday,,,,501,2023-10-11 12:18 AM,,2023-10-11 9:45 AM,9:17,9.9,,66,2051,O,12:33 AM,I,09:43 AM,9:10,550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 66 SCHD: 9:10,--> O: 12:33 AM > I: 09:43 AM,,,,,,,,,,,,,,,,,,,
Frankford Railsunday502,Frankford Rail,8-23-2026,sunday,,,,502,2023-10-11 12:53 AM,,2023-10-11 9:30 AM,8:27,8.7,,66,2052,O,01:08 AM,I,09:28 AM,8:20,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 66 SCHD: 8:20,--> O: 01:08 AM > I: 09:28 AM,,,,,,,,,,,,,,,,,,,
Frankford Railsunday503,Frankford Rail,8-23-2026,sunday,,,,503,2023-10-11 04:58 AM,,2023-10-11 2:31 PM,9:23,10.1,,66,2053,O,05:13 AM,I,02:29 PM,9:16,556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 66 SCHD: 9:16,--> O: 05:13 AM > I: 02:29 PM,,,,,,,,,,,,,,,,,,,
Frankford Railsunday504,Frankford Rail,8-23-2026,sunday,,,,504,2023-10-11 05:52 AM,,2023-10-11 3:46 PM,9:44,10.6,,66,2054,O,06:07 AM,I,03:44 PM,9:37,577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 66 SCHD: 9:37,--> O: 06:07 AM > I: 03:44 PM,,,,,,,,,,,,,,,,,,,
Frankford Railsunday505,Frankford Rail,8-23-2026,sunday,,,,505,2023-10-11 06:22 AM,,2023-10-11 5:16 PM,10:44,12.1,,66,2055,O,06:37 AM,I,05:14 PM,10:37,637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 66 SCHD: 10:37,--> O: 06:37 AM > I: 05:14 PM,,,,,,,,,,,,,,,,,,,
Frankford Railsunday506,Frankford Rail,8-23-2026,sunday,,,,506,2023-10-11 08:52 AM,,2023-10-11 6:03 PM,9:01,9.5,,66,2056,O,09:07 AM,CG,11:58 AM,2:51,171,,59,2056,CG,11:58 AM,I,06:01 PM,6:03,363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 66 SCHD: 2:51,--> O: 09:07 AM > CG: 11:58 AM,RTE: 59 SCHD: 6:03,--> CG: 11:58 AM > I: 06:01 PM,,,,,,,,,,,,,,,,,
Frankford Railsunday507,Frankford Rail,8-23-2026,sunday,,,,507,2023-10-11 09:22 AM,,2023-10-11 6:58 PM,9:26,10.2,,66,2057,O,09:37 AM,I,06:56 PM,9:19,559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 66 SCHD: 9:19,--> O: 09:37 AM > I: 06:56 PM,,,,,,,,,,,,,,,,,,,
Frankford Railsunday508,Frankford Rail,8-23-2026,sunday,,,,508,2023-10-11 10:52 AM,,2023-10-11 8:17 PM,9:15,9.9,,66,2058,O,11:07 AM,I,08:15 PM,9:08,548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 66 SCHD: 9:08,--> O: 11:07 AM > I: 08:15 PM,,,,,,,,,,,,,,,,,,,
Frankford Railsunday509,Frankford Rail,8-23-2026,sunday,,,,509,2023-10-11 12:22 PM,,2023-10-11 10:14 PM,9:42,10.6,,66,2059,O,12:37 PM,I,10:12 PM,9:35,575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 66 SCHD: 9:35,--> O: 12:37 PM > I: 10:12 PM,,,,,,,,,,,,,,,,,,,
Frankford Railsunday510,Frankford Rail,8-23-2026,sunday,,,,510,2023-10-11 02:37 PM,,2023-10-12 12:42 AM,9:55,10.9,,66,2060,O,02:52 PM,I,12:40 AM,9:48,588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 66 SCHD: 9:48,--> O: 02:52 PM > I: 12:40 AM,,,,,,,,,,,,,,,,,,,
