myid,depot,eff_date,day,pullout2,swingdur,swingdursec,runno,start,arrive,finish,worktime,pay,leave,r1,b1,potype1,pot1,pitype1,pit1,stime1,stimeint1,start22,r2,b2,potype2,pot2,pitype2,pit2,stime2,stimeint2,start23,r3,b3,potype3,pot3,pitype3,pit3,stime3,stimeint3,start24,r4,b4,potype4,pot4,pitype4,pit4,stime4,stimeint4,start25,r5,b5,potype5,pot5,pitype5,pit5,stime5,stimeint5,start26,r6,b6,potype6,pot6,pitype6,pit6,stime6,stimeint6,start27,r7,b7,potype7,pot7,pitype7,pit7,stime7,stimeint7,start28,r8,b8,potype8,pot8,pitype8,pit8,stime8,stimeint8,start29,r9,b9,potype9,pot9,pitype9,pit9,stime9,stimeint9,start210,r10,b10,potype10,pot10,pitype10,pit10,stime10,stimeint10,sum1, sum12,sum2, sum22,sum3, sum32,sum4, sum42,sum5, sum52,sum6, sum62,sum7, sum72,sum8, sum82,sum9, sum92,sum10, sum102,
Frankford Railweekday701,Frankford Rail,6-15-2026,weekday,,,,701,2023-10-11 03:47 AM,,2023-10-11 1:41 PM,9:44,10.6,,59,2001,O,04:02 AM,I,01:38 PM,9:36,576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 59 SCHD: 9:36,--> O: 04:02 AM > I: 01:38 PM,,,,,,,,,,,,,,,,,,,
Frankford Railweekday702,Frankford Rail,6-15-2026,weekday,,,,702,2023-10-11 05:28 AM,,2023-10-11 2:01 PM,8:23,8.6,,59,2004,O,05:43 AM,I,01:58 PM,8:15,495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 59 SCHD: 8:15,--> O: 05:43 AM > I: 01:58 PM,,,,,,,,,,,,,,,,,,,
Frankford Railweekday703,Frankford Rail,6-15-2026,weekday,01:47 PM,3Hrs 10Min,11400,703,2023-10-11 04:48 AM,,2023-10-11 4:29 PM,8:21,9.5,,59,2002,O,05:03 AM,I,10:37 AM,5:34,334,1:37,75,2106,O,01:47 PM,I,04:26 PM,2:39,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 59 SCHD: 5:34,--> O: 05:03 AM > I: 10:37 AM,RTE: 75 SCHD: 2:39,--> O: 01:47 PM > I: 04:26 PM,,,,,,,,,,,,,,,,,
Frankford Railweekday704,Frankford Rail,6-15-2026,weekday,01:53 PM,4Hrs 21Min,15660,704,2023-10-11 05:03 AM,,2023-10-11 5:31 PM,7:57,9.9,,59,2003,O,05:18 AM,I,09:32 AM,4:14,254,1:43,59,2009,O,01:53 PM,I,05:28 PM,3:35,215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 59 SCHD: 4:14,--> O: 05:18 AM > I: 09:32 AM,RTE: 59 SCHD: 3:35,--> O: 01:53 PM > I: 05:28 PM,,,,,,,,,,,,,,,,,
Frankford Railweekday705,Frankford Rail,6-15-2026,weekday,02:13 PM,3Hrs 56Min,14160,705,2023-10-11 05:38 AM,,2023-10-11 6:38 PM,8:54,12.1,,59,2005,O,05:53 AM,I,10:17 AM,4:24,264,2:03,66,2071,O,02:13 PM,I,06:35 PM,4:22,262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 59 SCHD: 4:24,--> O: 05:53 AM > I: 10:17 AM,RTE: 66 SCHD: 4:22,--> O: 02:13 PM > I: 06:35 PM,,,,,,,,,,,,,,,,,
Frankford Railweekday706,Frankford Rail,6-15-2026,weekday,,,,706,2023-10-11 10:03 AM,,2023-10-11 7:15 PM,9:02,9.6,,59,2006,O,10:18 AM,I,07:12 PM,8:54,534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 59 SCHD: 8:54,--> O: 10:18 AM > I: 07:12 PM,,,,,,,,,,,,,,,,,,,
Frankford Railweekday707,Frankford Rail,6-15-2026,weekday,,,,707,2023-10-11 01:23 PM,,2023-10-11 9:57 PM,8:24,8.6,,59,2008,O,01:38 PM,I,09:54 PM,8:16,496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 59 SCHD: 8:16,--> O: 01:38 PM > I: 09:54 PM,,,,,,,,,,,,,,,,,,,
Frankford Railweekday708,Frankford Rail,6-15-2026,weekday,,,,708,2023-10-11 04:42 PM,,2023-10-12 1:59 AM,9:07,9.7,,59,2012,O,04:57 PM,I,01:56 AM,8:59,539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 59 SCHD: 8:59,--> O: 04:57 PM > I: 01:56 AM,,,,,,,,,,,,,,,,,,,
Frankford Railweekday501,Frankford Rail,6-15-2026,weekday,,,,501,2023-10-11 12:18 AM,,2023-10-11 8:45 AM,8:17,8.4,,66,2051,O,12:33 AM,I,08:42 AM,8:09,489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 66 SCHD: 8:09,--> O: 12:33 AM > I: 08:42 AM,,,,,,,,,,,,,,,,,,,
Frankford Railweekday502,Frankford Rail,6-15-2026,weekday,,,,502,2023-10-11 12:53 AM,,2023-10-11 9:09 AM,8:06,8.2,,66,2052,O,01:08 AM,I,09:06 AM,7:58,478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 66 SCHD: 7:58,--> O: 01:08 AM > I: 09:06 AM,,,,,,,,,,,,,,,,,,,
