myid,runno,depot,page_1,page,day,moblink,pclink,Trip Sheet
Frankford railWeekday501,501,Frankford rail,1 of 2,1,Weekday,https://www4.septa.org/picking/pdf/spring-a-2026/frankford/rail/paddles/weekday-paddles.pdf#page=1,https://www4.septa.org/picking/pdf/spring-a-2026/frankford/rail/paddles/weekday-paddles#page=1.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/frankford/rail/trip-sheets/weekday-trip-sheets.pdf
Frankford railWeekday502,502,Frankford rail,1 of 2,3,Weekday,https://www4.septa.org/picking/pdf/spring-a-2026/frankford/rail/paddles/weekday-paddles.pdf#page=3,https://www4.septa.org/picking/pdf/spring-a-2026/frankford/rail/paddles/weekday-paddles#page=3.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/frankford/rail/trip-sheets/weekday-trip-sheets.pdf
Frankford railWeekday503,503,Frankford rail,1 of 2,5,Weekday,https://www4.septa.org/picking/pdf/spring-a-2026/frankford/rail/paddles/weekday-paddles.pdf#page=5,https://www4.septa.org/picking/pdf/spring-a-2026/frankford/rail/paddles/weekday-paddles#page=5.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/frankford/rail/trip-sheets/weekday-trip-sheets.pdf
Frankford railWeekday504,504,Frankford rail,1 of 2,7,Weekday,https://www4.septa.org/picking/pdf/spring-a-2026/frankford/rail/paddles/weekday-paddles.pdf#page=7,https://www4.septa.org/picking/pdf/spring-a-2026/frankford/rail/paddles/weekday-paddles#page=7.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/frankford/rail/trip-sheets/weekday-trip-sheets.pdf
Frankford railWeekday505,505,Frankford rail,1 of 2,9,Weekday,https://www4.septa.org/picking/pdf/spring-a-2026/frankford/rail/paddles/weekday-paddles.pdf#page=9,https://www4.septa.org/picking/pdf/spring-a-2026/frankford/rail/paddles/weekday-paddles#page=9.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/frankford/rail/trip-sheets/weekday-trip-sheets.pdf
Frankford railWeekday506,506,Frankford rail,1 of 2,11,Weekday,https://www4.septa.org/picking/pdf/spring-a-2026/frankford/rail/paddles/weekday-paddles.pdf#page=11,https://www4.septa.org/picking/pdf/spring-a-2026/frankford/rail/paddles/weekday-paddles#page=11.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/frankford/rail/trip-sheets/weekday-trip-sheets.pdf
Frankford railWeekday507,507,Frankford rail,1 of 2,13,Weekday,https://www4.septa.org/picking/pdf/spring-a-2026/frankford/rail/paddles/weekday-paddles.pdf#page=13,https://www4.septa.org/picking/pdf/spring-a-2026/frankford/rail/paddles/weekday-paddles#page=13.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/frankford/rail/trip-sheets/weekday-trip-sheets.pdf
Frankford railWeekday508,508,Frankford rail,1 of 2,15,Weekday,https://www4.septa.org/picking/pdf/spring-a-2026/frankford/rail/paddles/weekday-paddles.pdf#page=15,https://www4.septa.org/picking/pdf/spring-a-2026/frankford/rail/paddles/weekday-paddles#page=15.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/frankford/rail/trip-sheets/weekday-trip-sheets.pdf
Frankford railWeekday509,509,Frankford rail,1 of 2,17,Weekday,https://www4.septa.org/picking/pdf/spring-a-2026/frankford/rail/paddles/weekday-paddles.pdf#page=17,https://www4.septa.org/picking/pdf/spring-a-2026/frankford/rail/paddles/weekday-paddles#page=17.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/frankford/rail/trip-sheets/weekday-trip-sheets.pdf
Frankford railWeekday510,510,Frankford rail,1 of 2,19,Weekday,https://www4.septa.org/picking/pdf/spring-a-2026/frankford/rail/paddles/weekday-paddles.pdf#page=19,https://www4.septa.org/picking/pdf/spring-a-2026/frankford/rail/paddles/weekday-paddles#page=19.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/frankford/rail/trip-sheets/weekday-trip-sheets.pdf
