myid,runno,depot,page_1,page,day,moblink,pclink,Trip Sheet
FrankfordWeekday1,1,Frankford,1 of 2,1,Weekday,https://www4.septa.org/picking/pdf/fall-a-2026/frankford/bus/paddles/weekday-paddles.pdf#page=1,https://www4.septa.org/picking/pdf/fall-a-2026/frankford/bus/paddles/weekday-paddles#page=1.pdf,https://www4.septa.org/picking/pdf/fall-a-2026/frankford/bus/trip-sheets/weekday-trip-sheets.pdf
FrankfordWeekday2,2,Frankford,1 of 2,3,Weekday,https://www4.septa.org/picking/pdf/fall-a-2026/frankford/bus/paddles/weekday-paddles.pdf#page=3,https://www4.septa.org/picking/pdf/fall-a-2026/frankford/bus/paddles/weekday-paddles#page=3.pdf,https://www4.septa.org/picking/pdf/fall-a-2026/frankford/bus/trip-sheets/weekday-trip-sheets.pdf
FrankfordWeekday3,3,Frankford,1 of 4,5,Weekday,https://www4.septa.org/picking/pdf/fall-a-2026/frankford/bus/paddles/weekday-paddles.pdf#page=5,https://www4.septa.org/picking/pdf/fall-a-2026/frankford/bus/paddles/weekday-paddles#page=5.pdf,https://www4.septa.org/picking/pdf/fall-a-2026/frankford/bus/trip-sheets/weekday-trip-sheets.pdf
FrankfordWeekday4,4,Frankford,1 of 5,9,Weekday,https://www4.septa.org/picking/pdf/fall-a-2026/frankford/bus/paddles/weekday-paddles.pdf#page=9,https://www4.septa.org/picking/pdf/fall-a-2026/frankford/bus/paddles/weekday-paddles#page=9.pdf,https://www4.septa.org/picking/pdf/fall-a-2026/frankford/bus/trip-sheets/weekday-trip-sheets.pdf
FrankfordWeekday101,101,Frankford,1 of 2,14,Weekday,https://www4.septa.org/picking/pdf/fall-a-2026/frankford/bus/paddles/weekday-paddles.pdf#page=14,https://www4.septa.org/picking/pdf/fall-a-2026/frankford/bus/paddles/weekday-paddles#page=14.pdf,https://www4.septa.org/picking/pdf/fall-a-2026/frankford/bus/trip-sheets/weekday-trip-sheets.pdf
FrankfordWeekday102,102,Frankford,1 of 2,16,Weekday,https://www4.septa.org/picking/pdf/fall-a-2026/frankford/bus/paddles/weekday-paddles.pdf#page=16,https://www4.septa.org/picking/pdf/fall-a-2026/frankford/bus/paddles/weekday-paddles#page=16.pdf,https://www4.septa.org/picking/pdf/fall-a-2026/frankford/bus/trip-sheets/weekday-trip-sheets.pdf
FrankfordWeekday103,103,Frankford,1 of 2,18,Weekday,https://www4.septa.org/picking/pdf/fall-a-2026/frankford/bus/paddles/weekday-paddles.pdf#page=18,https://www4.septa.org/picking/pdf/fall-a-2026/frankford/bus/paddles/weekday-paddles#page=18.pdf,https://www4.septa.org/picking/pdf/fall-a-2026/frankford/bus/trip-sheets/weekday-trip-sheets.pdf
FrankfordWeekday104,104,Frankford,1 of 3,20,Weekday,https://www4.septa.org/picking/pdf/fall-a-2026/frankford/bus/paddles/weekday-paddles.pdf#page=20,https://www4.septa.org/picking/pdf/fall-a-2026/frankford/bus/paddles/weekday-paddles#page=20.pdf,https://www4.septa.org/picking/pdf/fall-a-2026/frankford/bus/trip-sheets/weekday-trip-sheets.pdf
FrankfordWeekday105,105,Frankford,1 of 2,23,Weekday,https://www4.septa.org/picking/pdf/fall-a-2026/frankford/bus/paddles/weekday-paddles.pdf#page=23,https://www4.septa.org/picking/pdf/fall-a-2026/frankford/bus/paddles/weekday-paddles#page=23.pdf,https://www4.septa.org/picking/pdf/fall-a-2026/frankford/bus/trip-sheets/weekday-trip-sheets.pdf
FrankfordWeekday106,106,Frankford,1 of 2,25,Weekday,https://www4.septa.org/picking/pdf/fall-a-2026/frankford/bus/paddles/weekday-paddles.pdf#page=25,https://www4.septa.org/picking/pdf/fall-a-2026/frankford/bus/paddles/weekday-paddles#page=25.pdf,https://www4.septa.org/picking/pdf/fall-a-2026/frankford/bus/trip-sheets/weekday-trip-sheets.pdf
