myid,depot,eff_date,day,pullout2,swingdur,swingdursec,runno,start,arrive,finish,worktime,pay,leave,r1,b1,potype1,pot1,pitype1,pit1,stime1,stimeint1,start22,r2,b2,potype2,pot2,pitype2,pit2,stime2,stimeint2,start23,r3,b3,potype3,pot3,pitype3,pit3,stime3,stimeint3,start24,r4,b4,potype4,pot4,pitype4,pit4,stime4,stimeint4,start25,r5,b5,potype5,pot5,pitype5,pit5,stime5,stimeint5,start26,r6,b6,potype6,pot6,pitype6,pit6,stime6,stimeint6,start27,r7,b7,potype7,pot7,pitype7,pit7,stime7,stimeint7,start28,r8,b8,potype8,pot8,pitype8,pit8,stime8,stimeint8,start29,r9,b9,potype9,pot9,pitype9,pit9,stime9,stimeint9,start210,r10,b10,potype10,pot10,pitype10,pit10,stime10,stimeint10,sum1, sum12,sum2, sum22,sum3, sum32,sum4, sum42,sum5, sum52,sum6, sum62,sum7, sum72,sum8, sum82,sum9, sum92,sum10, sum102,
Frankfordsaturday801,Frankford,8-29-2026,saturday,,,,801,2023-10-11 04:21 AM,,2023-10-11 1:46 PM,9:15,9.9,,3,2201,O,04:36 AM,I,01:44 PM,9:08,548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 3 SCHD: 9:08,--> O: 04:36 AM > I: 01:44 PM,,,,,,,,,,,,,,,,,,,
Frankfordsaturday802,Frankford,8-29-2026,saturday,,,,802,2023-10-11 04:43 AM,,2023-10-11 1:58 PM,9:05,9.6,,3,2202,O,04:58 AM,CG,10:50 AM,5:52,352,,82,2202,CG,10:50 AM,CG,01:00 PM,2:10,130,,73,2202,CG,01:00 PM,I,01:56 PM,0:56,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 3 SCHD: 5:52,--> O: 04:58 AM > CG: 10:50 AM,RTE: 82 SCHD: 2:10,--> CG: 10:50 AM > CG: 01:00 PM,RTE: 73 SCHD: 0:56,--> CG: 01:00 PM > I: 01:56 PM,,,,,,,,,,,,,,,
Frankfordsaturday803,Frankford,8-29-2026,saturday,,,,803,2023-10-11 07:53 AM,,2023-10-11 5:53 PM,9:50,10.8,,3,2203,O,08:08 AM,CG,10:15 AM,2:07,127,,5,2203,CG,10:15 AM,CG,02:05 PM,3:50,230,,25,2203,CG,02:05 PM,I,05:51 PM,3:46,226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 3 SCHD: 2:07,--> O: 08:08 AM > CG: 10:15 AM,RTE: 5 SCHD: 3:50,--> CG: 10:15 AM > CG: 02:05 PM,RTE: 25 SCHD: 3:46,--> CG: 02:05 PM > I: 05:51 PM,,,,,,,,,,,,,,,
Frankfordsaturday804,Frankford,8-29-2026,saturday,,,,804,2023-10-11 08:31 AM,,2023-10-11 5:24 PM,8:43,9.1,,3,2204,O,08:46 AM,I,05:22 PM,8:36,516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 3 SCHD: 8:36,--> O: 08:46 AM > I: 05:22 PM,,,,,,,,,,,,,,,,,,,
Frankfordsaturday805,Frankford,8-29-2026,saturday,,,,805,2023-10-11 09:52 AM,,2023-10-11 7:28 PM,9:26,10.2,,3,2205,O,10:07 AM,CG,05:00 PM,6:53,413,,73,2205,CG,05:00 PM,I,07:26 PM,2:26,146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 3 SCHD: 6:53,--> O: 10:07 AM > CG: 05:00 PM,RTE: 73 SCHD: 2:26,--> CG: 05:00 PM > I: 07:26 PM,,,,,,,,,,,,,,,,,
Frankfordsaturday806,Frankford,8-29-2026,saturday,,,,806,2023-10-11 01:49 PM,,2023-10-11 11:11 PM,9:12,9.8,,3,2206,O,02:04 PM,CG,04:19 PM,2:15,135,,82,2206,CG,04:19 PM,I,11:09 PM,6:50,410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 3 SCHD: 2:15,--> O: 02:04 PM > CG: 04:19 PM,RTE: 82 SCHD: 6:50,--> CG: 04:19 PM > I: 11:09 PM,,,,,,,,,,,,,,,,,
Frankfordsaturday807,Frankford,8-29-2026,saturday,,,,807,2023-10-11 03:31 PM,,2023-10-11 11:44 PM,8:03,8.1,,3,2207,O,03:46 PM,CG,06:05 PM,2:19,139,,25,2207,CG,06:05 PM,I,11:42 PM,5:37,337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 3 SCHD: 2:19,--> O: 03:46 PM > CG: 06:05 PM,RTE: 25 SCHD: 5:37,--> CG: 06:05 PM > I: 11:42 PM,,,,,,,,,,,,,,,,,
Frankfordsaturday808,Frankford,8-29-2026,saturday,,,,808,2023-10-11 04:11 PM,,2023-10-12 1:32 AM,9:11,9.8,,3,2208,O,04:26 PM,CG,10:38 PM,6:12,372,,25,2208,CG,10:38 PM,CG,12:24 AM,1:46,106,,5,2208,CG,12:24 AM,I,01:30 AM,1:06,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 3 SCHD: 6:12,--> O: 04:26 PM > CG: 10:38 PM,RTE: 25 SCHD: 1:46,--> CG: 10:38 PM > CG: 12:24 AM,RTE: 5 SCHD: 1:06,--> CG: 12:24 AM > I: 01:30 AM,,,,,,,,,,,,,,,
Frankfordsaturday809,Frankford,8-29-2026,saturday,,,,809,2023-10-11 04:51 PM,,2023-10-12 2:06 AM,9:05,9.6,,3,2209,O,05:06 PM,I,02:04 AM,8:58,538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 3 SCHD: 8:58,--> O: 05:06 PM > I: 02:04 AM,,,,,,,,,,,,,,,,,,,
Frankfordsaturday251,Frankford,8-29-2026,saturday,,,,251,2023-10-10 11:49 PM,,2023-10-11 9:47 AM,9:48,10.7,,25,2175,O,12:04 AM,I,09:45 AM,9:41,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 25 SCHD: 9:41,--> O: 12:04 AM > I: 09:45 AM,,,,,,,,,,,,,,,,,,,
