myid,depot,eff_date,day,pullout2,swingdur,swingdursec,runno,start,arrive,finish,worktime,pay,leave,r1,b1,potype1,pot1,pitype1,pit1,stime1,stimeint1,start22,r2,b2,potype2,pot2,pitype2,pit2,stime2,stimeint2,start23,r3,b3,potype3,pot3,pitype3,pit3,stime3,stimeint3,start24,r4,b4,potype4,pot4,pitype4,pit4,stime4,stimeint4,start25,r5,b5,potype5,pot5,pitype5,pit5,stime5,stimeint5,start26,r6,b6,potype6,pot6,pitype6,pit6,stime6,stimeint6,start27,r7,b7,potype7,pot7,pitype7,pit7,stime7,stimeint7,start28,r8,b8,potype8,pot8,pitype8,pit8,stime8,stimeint8,start29,r9,b9,potype9,pot9,pitype9,pit9,stime9,stimeint9,start210,r10,b10,potype10,pot10,pitype10,pit10,stime10,stimeint10,sum1, sum12,sum2, sum22,sum3, sum32,sum4, sum42,sum5, sum52,sum6, sum62,sum7, sum72,sum8, sum82,sum9, sum92,sum10, sum102,
Frankfordsunday801,Frankford,8-23-2026,sunday,,,,801,2023-10-11 04:51 AM,,2023-10-11 3:09 PM,10:08,11.2,,3,2201,O,05:06 AM,CG,10:14 AM,5:08,308,,5,2201,CG,10:14 AM,CG,01:37 PM,3:23,203,,72,2201,CG,01:37 PM,I,03:07 PM,1:30,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 3 SCHD: 5:08,--> O: 05:06 AM > CG: 10:14 AM,RTE: 5 SCHD: 3:23,--> CG: 10:14 AM > CG: 01:37 PM,RTE: 72 SCHD: 1:30,--> CG: 01:37 PM > I: 03:07 PM,,,,,,,,,,,,,,,
Frankfordsunday802,Frankford,8-23-2026,sunday,,,,802,2023-10-11 05:44 AM,,2023-10-11 2:58 PM,9:04,9.6,,3,2202,O,05:59 AM,CG,11:38 AM,5:39,339,,88,2202,CG,11:38 AM,CG,01:00 PM,1:22,82,,73,2202,CG,01:00 PM,I,02:56 PM,1:56,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 3 SCHD: 5:39,--> O: 05:59 AM > CG: 11:38 AM,RTE: 88 SCHD: 1:22,--> CG: 11:38 AM > CG: 01:00 PM,RTE: 73 SCHD: 1:56,--> CG: 01:00 PM > I: 02:56 PM,,,,,,,,,,,,,,,
Frankfordsunday803,Frankford,8-23-2026,sunday,,,,803,2023-10-11 09:01 AM,,2023-10-11 5:00 PM,7:49,8.0,,3,2203,O,09:16 AM,I,04:58 PM,7:42,462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 3 SCHD: 7:42,--> O: 09:16 AM > I: 04:58 PM,,,,,,,,,,,,,,,,,,,
Frankfordsunday804,Frankford,8-23-2026,sunday,,,,804,2023-10-11 09:51 AM,,2023-10-11 6:09 PM,8:08,8.2,,3,2204,O,10:06 AM,CG,02:23 PM,4:17,257,,82,2204,CG,02:23 PM,CG,04:28 PM,2:05,125,,25,2204,CG,04:28 PM,I,06:07 PM,1:39,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 3 SCHD: 4:17,--> O: 10:06 AM > CG: 02:23 PM,RTE: 82 SCHD: 2:05,--> CG: 02:23 PM > CG: 04:28 PM,RTE: 25 SCHD: 1:39,--> CG: 04:28 PM > I: 06:07 PM,,,,,,,,,,,,,,,
Frankfordsunday805,Frankford,8-23-2026,sunday,,,,805,2023-10-11 10:16 AM,,2023-10-11 8:16 PM,9:50,10.8,,3,2205,O,10:31 AM,I,08:14 PM,9:43,583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 3 SCHD: 9:43,--> O: 10:31 AM > I: 08:14 PM,,,,,,,,,,,,,,,,,,,
Frankfordsunday806,Frankford,8-23-2026,sunday,,,,806,2023-10-11 01:56 PM,,2023-10-11 11:41 PM,9:35,10.4,,3,2206,O,02:11 PM,CG,10:08 PM,7:57,477,,25,2206,CG,10:08 PM,I,11:39 PM,1:31,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 3 SCHD: 7:57,--> O: 02:11 PM > CG: 10:08 PM,RTE: 25 SCHD: 1:31,--> CG: 10:08 PM > I: 11:39 PM,,,,,,,,,,,,,,,,,
Frankfordsunday807,Frankford,8-23-2026,sunday,,,,807,2023-10-11 05:37 PM,,2023-10-12 2:07 AM,8:20,8.5,,3,2208,O,05:52 PM,CG,08:00 PM,2:08,128,,73,2208,CG,08:00 PM,CG,11:09 PM,3:09,189,,3,2208,CG,11:09 PM,I,02:05 AM,2:56,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 3 SCHD: 2:08,--> O: 05:52 PM > CG: 08:00 PM,RTE: 73 SCHD: 3:09,--> CG: 08:00 PM > CG: 11:09 PM,RTE: 3 SCHD: 2:56,--> CG: 11:09 PM > I: 02:05 AM,,,,,,,,,,,,,,,
Frankfordsunday808,Frankford,8-23-2026,sunday,,,,808,2023-10-11 04:37 PM,,2023-10-12 2:37 AM,9:50,10.8,,3,2207,O,04:52 PM,CG,10:19 PM,5:27,327,,5,2207,CG,10:19 PM,CG,11:39 PM,1:20,80,,3,2207,CG,11:39 PM,I,02:35 AM,2:56,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 3 SCHD: 5:27,--> O: 04:52 PM > CG: 10:19 PM,RTE: 5 SCHD: 1:20,--> CG: 10:19 PM > CG: 11:39 PM,RTE: 3 SCHD: 2:56,--> CG: 11:39 PM > I: 02:35 AM,,,,,,,,,,,,,,,
Frankfordsunday101,Frankford,8-23-2026,sunday,,,,101,2023-10-11 04:55 AM,,2023-10-11 12:42 PM,7:37,8.0,,5,2251,O,05:10 AM,I,12:40 PM,7:30,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 5 SCHD: 7:30,--> O: 05:10 AM > I: 12:40 PM,,,,,,,,,,,,,,,,,,,
Frankfordsunday102,Frankford,8-23-2026,sunday,,,,102,2023-10-11 07:12 AM,,2023-10-11 3:44 PM,8:22,8.6,,5,2252,O,07:27 AM,I,03:42 PM,8:15,495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 5 SCHD: 8:15,--> O: 07:27 AM > I: 03:42 PM,,,,,,,,,,,,,,,,,,,
