myid,depot,eff_date,day,pullout2,swingdur,swingdursec,runno,start,arrive,finish,worktime,pay,leave,r1,b1,potype1,pot1,pitype1,pit1,stime1,stimeint1,start22,r2,b2,potype2,pot2,pitype2,pit2,stime2,stimeint2,start23,r3,b3,potype3,pot3,pitype3,pit3,stime3,stimeint3,start24,r4,b4,potype4,pot4,pitype4,pit4,stime4,stimeint4,start25,r5,b5,potype5,pot5,pitype5,pit5,stime5,stimeint5,start26,r6,b6,potype6,pot6,pitype6,pit6,stime6,stimeint6,start27,r7,b7,potype7,pot7,pitype7,pit7,stime7,stimeint7,start28,r8,b8,potype8,pot8,pitype8,pit8,stime8,stimeint8,start29,r9,b9,potype9,pot9,pitype9,pit9,stime9,stimeint9,start210,r10,b10,potype10,pot10,pitype10,pit10,stime10,stimeint10,sum1, sum12,sum2, sum22,sum3, sum32,sum4, sum42,sum5, sum52,sum6, sum62,sum7, sum72,sum8, sum82,sum9, sum92,sum10, sum102,
Frankfordweekday551,Frankford,8-24-2026,weekday,,,,551,2023-10-11 06:10 AM,,2023-10-11 3:57 PM,9:37,10.4,,1,2155,O,06:25 AM,I,03:54 PM,9:29,569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 1 SCHD: 9:29,--> O: 06:25 AM > I: 03:54 PM,,,,,,,,,,,,,,,,,,,
Frankfordweekday552,Frankford,8-24-2026,weekday,01:54 PM,2Hrs 28Min,8880,552,2023-10-11 04:55 AM,,2023-10-11 3:56 PM,8:23,9.0,,1,2151,O,05:10 AM,I,11:26 AM,6:16,376,1:44,1,2158,O,01:54 PM,I,03:53 PM,1:59,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 1 SCHD: 6:16,--> O: 05:10 AM > I: 11:26 AM,RTE: 1 SCHD: 1:59,--> O: 01:54 PM > I: 03:53 PM,,,,,,,,,,,,,,,,,
Frankfordweekday553,Frankford,8-24-2026,weekday,01:58 PM,2Hrs 36Min,9360,553,2023-10-11 05:08 AM,,2023-10-11 4:06 PM,8:12,8.7,,1,2152,O,05:23 AM,CG,07:18 AM,1:55,115,,8,2152,CG,07:18 AM,I,11:22 AM,4:04,244,1:48,67,2413,O,01:58 PM,I,04:03 PM,2:05,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 1 SCHD: 1:55,--> O: 05:23 AM > CG: 07:18 AM,RTE: 8 SCHD: 4:04,--> CG: 07:18 AM > I: 11:22 AM,RTE: 67 SCHD: 2:05,--> O: 01:58 PM > I: 04:03 PM,,,,,,,,,,,,,,,
Frankfordweekday554,Frankford,8-24-2026,weekday,01:56 PM,3Hrs 42Min,13320,554,2023-10-11 05:21 AM,,2023-10-11 5:02 PM,7:49,8.8,,1,2153,O,05:36 AM,I,10:14 AM,4:38,278,1:46,73,2456,O,01:56 PM,I,04:59 PM,3:03,183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 1 SCHD: 4:38,--> O: 05:36 AM > I: 10:14 AM,RTE: 73 SCHD: 3:03,--> O: 01:56 PM > I: 04:59 PM,,,,,,,,,,,,,,,,,
Frankfordweekday555,Frankford,8-24-2026,weekday,01:56 PM,1Hrs 5Min,3900,555,2023-10-11 06:19 AM,,2023-10-11 5:51 PM,10:17,12.3,,1,2156,O,06:34 AM,I,12:51 PM,6:17,377,1:46,8,2308,O,01:56 PM,CG,04:07 PM,2:11,131,,5,2308,CG,04:07 PM,I,05:48 PM,1:41,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 1 SCHD: 6:17,--> O: 06:34 AM > I: 12:51 PM,RTE: 8 SCHD: 2:11,--> O: 01:56 PM > CG: 04:07 PM,RTE: 5 SCHD: 1:41,--> CG: 04:07 PM > I: 05:48 PM,,,,,,,,,,,,,,,
Frankfordweekday556,Frankford,8-24-2026,weekday,01:54 PM,4Hrs 32Min,16320,556,2023-10-11 05:37 AM,,2023-10-11 6:10 PM,7:51,9.9,,1,2154,O,05:52 AM,I,09:22 AM,3:30,210,1:44,3,2219,O,01:54 PM,I,06:07 PM,4:13,253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 1 SCHD: 3:30,--> O: 05:52 AM > I: 09:22 AM,RTE: 3 SCHD: 4:13,--> O: 01:54 PM > I: 06:07 PM,,,,,,,,,,,,,,,,,
Frankfordweekday801,Frankford,8-24-2026,weekday,,,,801,2023-10-11 04:13 AM,,2023-10-11 1:57 PM,9:34,10.4,,3,2201,O,04:28 AM,I,01:54 PM,9:26,566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 3 SCHD: 9:26,--> O: 04:28 AM > I: 01:54 PM,,,,,,,,,,,,,,,,,,,
Frankfordweekday802,Frankford,8-24-2026,weekday,,,,802,2023-10-11 04:21 AM,2:30,2023-10-11 2:30 PM,9:59,11.0,,3,2202,O,04:36 AM,R,02:27 PM,9:51,591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 3 SCHD: 9:51,--> O: 04:36 AM > R: 02:27 PM,,,,,,,,,,,,,,,,,,,
Frankfordweekday803,Frankford,8-24-2026,weekday,12:53 PM,1Hrs 32Min,5520,803,2023-10-11 05:16 AM,2:57,2023-10-11 2:57 PM,7:59,8.2,,3,2205,O,05:31 AM,I,11:21 AM,5:50,350,12:43,3,2217,O,12:53 PM,R,02:54 PM,2:01,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 3 SCHD: 5:50,--> O: 05:31 AM > I: 11:21 AM,RTE: 3 SCHD: 2:01,--> O: 12:53 PM > R: 02:54 PM,,,,,,,,,,,,,,,,,
Frankfordweekday804,Frankford,8-24-2026,weekday,11:24 AM,2Hrs 53Min,10380,804,2023-10-11 04:47 AM,,2023-10-11 3:43 PM,7:53,8.3,,3,2203,O,05:02 AM,I,08:31 AM,3:29,209,11:14,3,2213,O,11:24 AM,I,03:40 PM,4:16,256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 3 SCHD: 3:29,--> O: 05:02 AM > I: 08:31 AM,RTE: 3 SCHD: 4:16,--> O: 11:24 AM > I: 03:40 PM,,,,,,,,,,,,,,,,,
