myid,runno,depot,page_1,page,day,moblink,pclink,Trip Sheet
FrankfordWeekday1,1,Frankford,1 of 2,1,Weekday,https://www4.septa.org/picking/pdf/summer-a-2026/frankford/bus/paddles/weekday-paddles.pdf#page=1,https://www4.septa.org/picking/pdf/summer-a-2026/frankford/bus/paddles/weekday-paddles#page=1.pdf,https://www4.septa.org/picking/pdf/summer-a-2026/frankford/bus/trip-sheets/weekday-trip-sheets.pdf
FrankfordWeekday2,2,Frankford,1 of 2,3,Weekday,https://www4.septa.org/picking/pdf/summer-a-2026/frankford/bus/paddles/weekday-paddles.pdf#page=3,https://www4.septa.org/picking/pdf/summer-a-2026/frankford/bus/paddles/weekday-paddles#page=3.pdf,https://www4.septa.org/picking/pdf/summer-a-2026/frankford/bus/trip-sheets/weekday-trip-sheets.pdf
FrankfordWeekday3,3,Frankford,1 of 2,5,Weekday,https://www4.septa.org/picking/pdf/summer-a-2026/frankford/bus/paddles/weekday-paddles.pdf#page=5,https://www4.septa.org/picking/pdf/summer-a-2026/frankford/bus/paddles/weekday-paddles#page=5.pdf,https://www4.septa.org/picking/pdf/summer-a-2026/frankford/bus/trip-sheets/weekday-trip-sheets.pdf
FrankfordWeekday4,4,Frankford,1 of 3,7,Weekday,https://www4.septa.org/picking/pdf/summer-a-2026/frankford/bus/paddles/weekday-paddles.pdf#page=7,https://www4.septa.org/picking/pdf/summer-a-2026/frankford/bus/paddles/weekday-paddles#page=7.pdf,https://www4.septa.org/picking/pdf/summer-a-2026/frankford/bus/trip-sheets/weekday-trip-sheets.pdf
FrankfordWeekday5,5,Frankford,1 of 2,10,Weekday,https://www4.septa.org/picking/pdf/summer-a-2026/frankford/bus/paddles/weekday-paddles.pdf#page=10,https://www4.septa.org/picking/pdf/summer-a-2026/frankford/bus/paddles/weekday-paddles#page=10.pdf,https://www4.septa.org/picking/pdf/summer-a-2026/frankford/bus/trip-sheets/weekday-trip-sheets.pdf
FrankfordWeekday6,6,Frankford,1 of 2,12,Weekday,https://www4.septa.org/picking/pdf/summer-a-2026/frankford/bus/paddles/weekday-paddles.pdf#page=12,https://www4.septa.org/picking/pdf/summer-a-2026/frankford/bus/paddles/weekday-paddles#page=12.pdf,https://www4.septa.org/picking/pdf/summer-a-2026/frankford/bus/trip-sheets/weekday-trip-sheets.pdf
FrankfordWeekday7,7,Frankford,1 of 2,14,Weekday,https://www4.septa.org/picking/pdf/summer-a-2026/frankford/bus/paddles/weekday-paddles.pdf#page=14,https://www4.septa.org/picking/pdf/summer-a-2026/frankford/bus/paddles/weekday-paddles#page=14.pdf,https://www4.septa.org/picking/pdf/summer-a-2026/frankford/bus/trip-sheets/weekday-trip-sheets.pdf
FrankfordWeekday8,8,Frankford,1 of 2,16,Weekday,https://www4.septa.org/picking/pdf/summer-a-2026/frankford/bus/paddles/weekday-paddles.pdf#page=16,https://www4.septa.org/picking/pdf/summer-a-2026/frankford/bus/paddles/weekday-paddles#page=16.pdf,https://www4.septa.org/picking/pdf/summer-a-2026/frankford/bus/trip-sheets/weekday-trip-sheets.pdf
FrankfordWeekday101,101,Frankford,1 of 2,18,Weekday,https://www4.septa.org/picking/pdf/summer-a-2026/frankford/bus/paddles/weekday-paddles.pdf#page=18,https://www4.septa.org/picking/pdf/summer-a-2026/frankford/bus/paddles/weekday-paddles#page=18.pdf,https://www4.septa.org/picking/pdf/summer-a-2026/frankford/bus/trip-sheets/weekday-trip-sheets.pdf
FrankfordWeekday102,102,Frankford,1 of 2,20,Weekday,https://www4.septa.org/picking/pdf/summer-a-2026/frankford/bus/paddles/weekday-paddles.pdf#page=20,https://www4.septa.org/picking/pdf/summer-a-2026/frankford/bus/paddles/weekday-paddles#page=20.pdf,https://www4.septa.org/picking/pdf/summer-a-2026/frankford/bus/trip-sheets/weekday-trip-sheets.pdf
FrankfordWeekday103,103,Frankford,1 of 2,22,Weekday,https://www4.septa.org/picking/pdf/summer-a-2026/frankford/bus/paddles/weekday-paddles.pdf#page=22,https://www4.septa.org/picking/pdf/summer-a-2026/frankford/bus/paddles/weekday-paddles#page=22.pdf,https://www4.septa.org/picking/pdf/summer-a-2026/frankford/bus/trip-sheets/weekday-trip-sheets.pdf
FrankfordWeekday104,104,Frankford,1 of 2,24,Weekday,https://www4.septa.org/picking/pdf/summer-a-2026/frankford/bus/paddles/weekday-paddles.pdf#page=24,https://www4.septa.org/picking/pdf/summer-a-2026/frankford/bus/paddles/weekday-paddles#page=24.pdf,https://www4.septa.org/picking/pdf/summer-a-2026/frankford/bus/trip-sheets/weekday-trip-sheets.pdf
FrankfordWeekday105,105,Frankford,1 of 2,26,Weekday,https://www4.septa.org/picking/pdf/summer-a-2026/frankford/bus/paddles/weekday-paddles.pdf#page=26,https://www4.septa.org/picking/pdf/summer-a-2026/frankford/bus/paddles/weekday-paddles#page=26.pdf,https://www4.septa.org/picking/pdf/summer-a-2026/frankford/bus/trip-sheets/weekday-trip-sheets.pdf
FrankfordWeekday106,106,Frankford,1 of 3,28,Weekday,https://www4.septa.org/picking/pdf/summer-a-2026/frankford/bus/paddles/weekday-paddles.pdf#page=28,https://www4.septa.org/picking/pdf/summer-a-2026/frankford/bus/paddles/weekday-paddles#page=28.pdf,https://www4.septa.org/picking/pdf/summer-a-2026/frankford/bus/trip-sheets/weekday-trip-sheets.pdf
FrankfordWeekday107,107,Frankford,1 of 2,31,Weekday,https://www4.septa.org/picking/pdf/summer-a-2026/frankford/bus/paddles/weekday-paddles.pdf#page=31,https://www4.septa.org/picking/pdf/summer-a-2026/frankford/bus/paddles/weekday-paddles#page=31.pdf,https://www4.septa.org/picking/pdf/summer-a-2026/frankford/bus/trip-sheets/weekday-trip-sheets.pdf
