myid,depot,eff_date,day,pullout2,swingdur,swingdursec,runno,start,arrive,finish,worktime,pay,leave,r1,b1,potype1,pot1,pitype1,pit1,stime1,stimeint1,start22,r2,b2,potype2,pot2,pitype2,pit2,stime2,stimeint2,start23,r3,b3,potype3,pot3,pitype3,pit3,stime3,stimeint3,start24,r4,b4,potype4,pot4,pitype4,pit4,stime4,stimeint4,start25,r5,b5,potype5,pot5,pitype5,pit5,stime5,stimeint5,start26,r6,b6,potype6,pot6,pitype6,pit6,stime6,stimeint6,start27,r7,b7,potype7,pot7,pitype7,pit7,stime7,stimeint7,start28,r8,b8,potype8,pot8,pitype8,pit8,stime8,stimeint8,start29,r9,b9,potype9,pot9,pitype9,pit9,stime9,stimeint9,start210,r10,b10,potype10,pot10,pitype10,pit10,stime10,stimeint10,sum1, sum12,sum2, sum22,sum3, sum32,sum4, sum42,sum5, sum52,sum6, sum62,sum7, sum72,sum8, sum82,sum9, sum92,sum10, sum102,
Frankfordsaturday801,Frankford,6-20-2026,saturday,,,,801,2023-10-11 04:21 AM,,2023-10-11 1:46 PM,9:15,9.9,,3,2201,O,04:36 AM,I,01:44 PM,9:08,548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 3 SCHD: 9:08,--> O: 04:36 AM > I: 01:44 PM,,,,,,,,,,,,,,,,,,,
Frankfordsaturday802,Frankford,6-20-2026,saturday,,,,802,2023-10-11 04:46 AM,,2023-10-11 1:38 PM,8:42,9.1,,3,2202,O,05:01 AM,CG,06:29 AM,1:28,88,,25,2202,CG,06:29 AM,I,01:36 PM,7:07,427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 3 SCHD: 1:28,--> O: 05:01 AM > CG: 06:29 AM,RTE: 25 SCHD: 7:07,--> CG: 06:29 AM > I: 01:36 PM,,,,,,,,,,,,,,,,,
Frankfordsaturday803,Frankford,6-20-2026,saturday,,,,803,2023-10-11 06:18 AM,,2023-10-11 4:38 PM,10:10,11.3,,3,2203,O,06:33 AM,CG,10:15 AM,3:42,222,,5,2203,CG,10:15 AM,CG,01:47 PM,3:32,212,,25,2203,CG,01:47 PM,I,04:36 PM,2:49,169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 3 SCHD: 3:42,--> O: 06:33 AM > CG: 10:15 AM,RTE: 5 SCHD: 3:32,--> CG: 10:15 AM > CG: 01:47 PM,RTE: 25 SCHD: 2:49,--> CG: 01:47 PM > I: 04:36 PM,,,,,,,,,,,,,,,
Frankfordsaturday804,Frankford,6-20-2026,saturday,,,,804,2023-10-11 08:16 AM,,2023-10-11 5:05 PM,8:39,9.0,,3,2204,O,08:31 AM,I,05:03 PM,8:32,512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 3 SCHD: 8:32,--> O: 08:31 AM > I: 05:03 PM,,,,,,,,,,,,,,,,,,,
Frankfordsaturday805,Frankford,6-20-2026,saturday,,,,805,2023-10-11 08:34 AM,,2023-10-11 5:20 PM,8:36,8.9,,3,2205,O,08:49 AM,I,05:18 PM,8:29,509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 3 SCHD: 8:29,--> O: 08:49 AM > I: 05:18 PM,,,,,,,,,,,,,,,,,,,
Frankfordsaturday806,Frankford,6-20-2026,saturday,,,,806,2023-10-11 12:13 PM,,2023-10-11 8:33 PM,8:10,8.3,,3,2206,O,12:28 PM,I,08:31 PM,8:03,483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 3 SCHD: 8:03,--> O: 12:28 PM > I: 08:31 PM,,,,,,,,,,,,,,,,,,,
Frankfordsaturday807,Frankford,6-20-2026,saturday,,,,807,2023-10-11 04:14 PM,,2023-10-12 12:24 AM,8:00,8.0,,3,2207,O,04:29 PM,CG,10:30 PM,6:01,361,,25,2207,CG,10:30 PM,I,12:22 AM,1:52,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 3 SCHD: 6:01,--> O: 04:29 PM > CG: 10:30 PM,RTE: 25 SCHD: 1:52,--> CG: 10:30 PM > I: 12:22 AM,,,,,,,,,,,,,,,,,
Frankfordsaturday808,Frankford,6-20-2026,saturday,,,,808,2023-10-11 04:54 PM,,2023-10-12 2:06 AM,9:02,9.6,,3,2208,O,05:09 PM,I,02:04 AM,8:55,535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 3 SCHD: 8:55,--> O: 05:09 PM > I: 02:04 AM,,,,,,,,,,,,,,,,,,,
Frankfordsaturday809,Frankford,6-20-2026,saturday,,,,809,2023-10-11 05:14 PM,,2023-10-12 2:43 AM,9:19,10.0,,3,2209,O,05:29 PM,CG,07:27 PM,1:58,118,,K,2209,CG,07:27 PM,I,02:41 AM,7:14,434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 3 SCHD: 1:58,--> O: 05:29 PM > CG: 07:27 PM,RTE: K SCHD: 7:14,--> CG: 07:27 PM > I: 02:41 AM,,,,,,,,,,,,,,,,,
Frankfordsaturday101,Frankford,6-20-2026,saturday,,,,101,2023-10-11 04:54 AM,,2023-10-11 3:20 PM,10:16,11.4,,5,2251,O,05:09 AM,CG,01:12 PM,8:03,483,,K,2251,CG,01:12 PM,I,03:18 PM,2:06,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 5 SCHD: 8:03,--> O: 05:09 AM > CG: 01:12 PM,RTE: K SCHD: 2:06,--> CG: 01:12 PM > I: 03:18 PM,,,,,,,,,,,,,,,,,
Frankfordsaturday102,Frankford,6-20-2026,saturday,,,,102,2023-10-11 07:12 AM,,2023-10-11 4:04 PM,8:42,9.1,,5,2252,O,07:27 AM,CG,10:37 AM,3:10,190,,88,2252,CG,10:37 AM,CG,02:21 PM,3:44,224,,82,2252,CG,02:21 PM,I,04:02 PM,1:41,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 5 SCHD: 3:10,--> O: 07:27 AM > CG: 10:37 AM,RTE: 88 SCHD: 3:44,--> CG: 10:37 AM > CG: 02:21 PM,RTE: 82 SCHD: 1:41,--> CG: 02:21 PM > I: 04:02 PM,,,,,,,,,,,,,,,
Frankfordsaturday103,Frankford,6-20-2026,saturday,,,,103,2023-10-11 11:24 AM,,2023-10-11 9:20 PM,9:46,10.7,,5,2253,O,11:39 AM,CG,01:18 PM,1:39,99,,25,2253,CG,01:18 PM,CG,07:26 PM,6:08,368,,73,2253,CG,07:26 PM,I,09:18 PM,1:52,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 5 SCHD: 1:39,--> O: 11:39 AM > CG: 01:18 PM,RTE: 25 SCHD: 6:08,--> CG: 01:18 PM > CG: 07:26 PM,RTE: 73 SCHD: 1:52,--> CG: 07:26 PM > I: 09:18 PM,,,,,,,,,,,,,,,
Frankfordsaturday104,Frankford,6-20-2026,saturday,,,,104,2023-10-11 12:22 PM,,2023-10-11 10:31 PM,9:59,11.0,,5,2254,O,12:37 PM,CG,08:07 PM,7:30,450,,25,2254,CG,08:07 PM,I,10:29 PM,2:22,142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 5 SCHD: 7:30,--> O: 12:37 PM > CG: 08:07 PM,RTE: 25 SCHD: 2:22,--> CG: 08:07 PM > I: 10:29 PM,,,,,,,,,,,,,,,,,
Frankfordsaturday105,Frankford,6-20-2026,saturday,,,,105,2023-10-11 03:48 PM,,2023-10-12 12:35 AM,8:37,8.9,,5,2255,O,04:03 PM,CG,05:54 PM,1:51,111,,3,2255,CG,05:54 PM,CG,11:22 PM,5:28,328,,5,2255,CG,11:22 PM,I,12:33 AM,1:11,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 5 SCHD: 1:51,--> O: 04:03 PM > CG: 05:54 PM,RTE: 3 SCHD: 5:28,--> CG: 05:54 PM > CG: 11:22 PM,RTE: 5 SCHD: 1:11,--> CG: 11:22 PM > I: 12:33 AM,,,,,,,,,,,,,,,
Frankfordsaturday106,Frankford,6-20-2026,saturday,,,,106,2023-10-11 05:18 PM,,2023-10-12 2:39 AM,9:11,9.8,,5,2256,O,05:33 PM,CG,07:23 PM,1:50,110,,82,2256,CG,07:23 PM,CG,01:31 AM,6:08,368,,5,2256,CG,01:31 AM,I,02:37 AM,1:06,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 5 SCHD: 1:50,--> O: 05:33 PM > CG: 07:23 PM,RTE: 82 SCHD: 6:08,--> CG: 07:23 PM > CG: 01:31 AM,RTE: 5 SCHD: 1:06,--> CG: 01:31 AM > I: 02:37 AM,,,,,,,,,,,,,,,
Frankfordsaturday251,Frankford,6-20-2026,saturday,,,,251,2023-10-11 05:38 AM,,2023-10-11 4:06 PM,10:18,11.5,,25,2175,O,05:53 AM,CG,10:14 AM,4:21,261,,3,2175,CG,10:14 AM,I,04:04 PM,5:50,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 25 SCHD: 4:21,--> O: 05:53 AM > CG: 10:14 AM,RTE: 3 SCHD: 5:50,--> CG: 10:14 AM > I: 04:04 PM,,,,,,,,,,,,,,,,,
Frankfordsaturday252,Frankford,6-20-2026,saturday,,,,252,2023-10-11 06:36 AM,,2023-10-11 4:26 PM,9:40,10.5,,25,2176,O,06:51 AM,CG,02:31 PM,7:40,460,,3,2176,CG,02:31 PM,I,04:24 PM,1:53,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 25 SCHD: 7:40,--> O: 06:51 AM > CG: 02:31 PM,RTE: 3 SCHD: 1:53,--> CG: 02:31 PM > I: 04:24 PM,,,,,,,,,,,,,,,,,
Frankfordsaturday253,Frankford,6-20-2026,saturday,,,,253,2023-10-11 07:06 AM,,2023-10-11 4:19 PM,9:03,9.6,,25,2177,O,07:21 AM,CG,09:31 AM,2:10,130,,K,2177,CG,09:31 AM,I,04:17 PM,6:46,406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 25 SCHD: 2:10,--> O: 07:21 AM > CG: 09:31 AM,RTE: K SCHD: 6:46,--> CG: 09:31 AM > I: 04:17 PM,,,,,,,,,,,,,,,,,
