myid,depot,eff_date,day,pullout2,swingdur,swingdursec,runno,start,arrive,finish,worktime,pay,leave,r1,b1,potype1,pot1,pitype1,pit1,stime1,stimeint1,start22,r2,b2,potype2,pot2,pitype2,pit2,stime2,stimeint2,start23,r3,b3,potype3,pot3,pitype3,pit3,stime3,stimeint3,start24,r4,b4,potype4,pot4,pitype4,pit4,stime4,stimeint4,start25,r5,b5,potype5,pot5,pitype5,pit5,stime5,stimeint5,start26,r6,b6,potype6,pot6,pitype6,pit6,stime6,stimeint6,start27,r7,b7,potype7,pot7,pitype7,pit7,stime7,stimeint7,start28,r8,b8,potype8,pot8,pitype8,pit8,stime8,stimeint8,start29,r9,b9,potype9,pot9,pitype9,pit9,stime9,stimeint9,start210,r10,b10,potype10,pot10,pitype10,pit10,stime10,stimeint10,sum1, sum12,sum2, sum22,sum3, sum32,sum4, sum42,sum5, sum52,sum6, sum62,sum7, sum72,sum8, sum82,sum9, sum92,sum10, sum102,
Frankfordweekday551,Frankford,6-15-2026,weekday,,,,551,2023-10-11 04:38 AM,,2023-10-11 2:44 PM,9:56,10.9,,1,2151,O,04:53 AM,I,02:41 PM,9:48,588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 1 SCHD: 9:48,--> O: 04:53 AM > I: 02:41 PM,,,,,,,,,,,,,,,,,,,
Frankfordweekday552,Frankford,6-15-2026,weekday,11:33 AM,2Hrs 19Min,8340,552,2023-10-11 05:08 AM,,2023-10-11 4:09 PM,8:32,9.2,,1,2153,O,05:23 AM,CG,07:24 AM,2:01,121,,82,2153,CG,07:24 AM,I,09:14 AM,1:50,110,11:23,K,2614,O,11:33 AM,I,04:06 PM,4:33,273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 1 SCHD: 2:01,--> O: 05:23 AM > CG: 07:24 AM,RTE: 82 SCHD: 1:50,--> CG: 07:24 AM > I: 09:14 AM,RTE: K SCHD: 4:33,--> O: 11:33 AM > I: 04:06 PM,,,,,,,,,,,,,,,
Frankfordweekday553,Frankford,6-15-2026,weekday,12:59 PM,1Hrs 33Min,5580,553,2023-10-11 04:55 AM,,2023-10-11 4:35 PM,9:57,11.9,,1,2152,O,05:10 AM,I,11:26 AM,6:16,376,12:49,5,2257,O,12:59 PM,CG,02:58 PM,1:59,119,,82,2257,CG,02:58 PM,I,04:32 PM,1:34,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 1 SCHD: 6:16,--> O: 05:10 AM > I: 11:26 AM,RTE: 5 SCHD: 1:59,--> O: 12:59 PM > CG: 02:58 PM,RTE: 82 SCHD: 1:34,--> CG: 02:58 PM > I: 04:32 PM,,,,,,,,,,,,,,,
Frankfordweekday554,Frankford,6-15-2026,weekday,02:13 PM,1Hrs 22Min,4920,554,2023-10-11 06:19 AM,,2023-10-11 6:05 PM,10:17,12.5,,1,2156,O,06:34 AM,I,12:51 PM,6:17,377,2:10,73,2407,RS,02:13 PM,CG,03:15 PM,1:02,62,,25,2407,CG,03:15 PM,I,06:02 PM,2:47,167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 1 SCHD: 6:17,--> O: 06:34 AM > I: 12:51 PM,RTE: 73 SCHD: 1:02,--> RS: 02:13 PM > CG: 03:15 PM,RTE: 25 SCHD: 2:47,--> CG: 03:15 PM > I: 06:02 PM,,,,,,,,,,,,,,,
Frankfordweekday555,Frankford,6-15-2026,weekday,01:56 PM,3Hrs 42Min,13320,555,2023-10-11 05:21 AM,,2023-10-11 6:10 PM,8:57,11.9,,1,2154,O,05:36 AM,I,10:14 AM,4:38,278,1:46,3,2219,O,01:56 PM,I,06:07 PM,4:11,251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 1 SCHD: 4:38,--> O: 05:36 AM > I: 10:14 AM,RTE: 3 SCHD: 4:11,--> O: 01:56 PM > I: 06:07 PM,,,,,,,,,,,,,,,,,
Frankfordweekday556,Frankford,6-15-2026,weekday,02:08 PM,4Hrs 46Min,17160,556,2023-10-11 05:37 AM,,2023-10-11 6:22 PM,7:49,10.2,,1,2155,O,05:52 AM,I,09:22 AM,3:30,210,1:58,3,2220,O,02:08 PM,I,06:19 PM,4:11,251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 1 SCHD: 3:30,--> O: 05:52 AM > I: 09:22 AM,RTE: 3 SCHD: 4:11,--> O: 02:08 PM > I: 06:19 PM,,,,,,,,,,,,,,,,,
Frankfordweekday801,Frankford,6-15-2026,weekday,,,,801,2023-10-11 04:13 AM,,2023-10-11 2:00 PM,9:37,10.4,,3,2201,O,04:28 AM,I,01:57 PM,9:29,569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 3 SCHD: 9:29,--> O: 04:28 AM > I: 01:57 PM,,,,,,,,,,,,,,,,,,,
Frankfordweekday802,Frankford,6-15-2026,weekday,,,,802,2023-10-11 04:21 AM,,2023-10-11 12:30 PM,7:59,8.0,,3,2202,O,04:36 AM,I,12:27 PM,7:51,471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 3 SCHD: 7:51,--> O: 04:36 AM > I: 12:27 PM,,,,,,,,,,,,,,,,,,,
Frankfordweekday803,Frankford,6-15-2026,weekday,,,,803,2023-10-11 04:56 AM,,2023-10-11 12:45 PM,7:39,8.0,,3,2204,O,05:11 AM,I,12:42 PM,7:31,451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 3 SCHD: 7:31,--> O: 05:11 AM > I: 12:42 PM,,,,,,,,,,,,,,,,,,,
Frankfordweekday804,Frankford,6-15-2026,weekday,11:13 AM,2Hrs 38Min,9480,804,2023-10-11 04:47 AM,,2023-10-11 3:54 PM,8:19,8.9,,3,2203,O,05:02 AM,I,08:35 AM,3:33,213,11:03,K,2613,O,11:13 AM,I,03:51 PM,4:38,278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 3 SCHD: 3:33,--> O: 05:02 AM > I: 08:35 AM,RTE: K SCHD: 4:38,--> O: 11:13 AM > I: 03:51 PM,,,,,,,,,,,,,,,,,
