myid,runno,depot,page_1,page,day,moblink,pclink,Trip Sheet
FrontierWeekday1,1,Frontier,1 of 3,1,Weekday,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/paddles/weekday-paddles.pdf#page=1,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/paddles/weekday-paddles#page=1.pdf,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/trip-sheets/weekday-trip-sheets.pdf
FrontierWeekday2,2,Frontier,1 of 3,4,Weekday,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/paddles/weekday-paddles.pdf#page=4,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/paddles/weekday-paddles#page=4.pdf,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/trip-sheets/weekday-trip-sheets.pdf
FrontierWeekday3,3,Frontier,1 of 3,7,Weekday,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/paddles/weekday-paddles.pdf#page=7,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/paddles/weekday-paddles#page=7.pdf,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/trip-sheets/weekday-trip-sheets.pdf
FrontierWeekday4,4,Frontier,1 of 3,10,Weekday,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/paddles/weekday-paddles.pdf#page=10,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/paddles/weekday-paddles#page=10.pdf,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/trip-sheets/weekday-trip-sheets.pdf
FrontierWeekday5,5,Frontier,1 of 4,13,Weekday,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/paddles/weekday-paddles.pdf#page=13,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/paddles/weekday-paddles#page=13.pdf,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/trip-sheets/weekday-trip-sheets.pdf
FrontierWeekday6,6,Frontier,1 of 3,17,Weekday,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/paddles/weekday-paddles.pdf#page=17,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/paddles/weekday-paddles#page=17.pdf,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/trip-sheets/weekday-trip-sheets.pdf
FrontierWeekday7,7,Frontier,1 of 3,20,Weekday,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/paddles/weekday-paddles.pdf#page=20,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/paddles/weekday-paddles#page=20.pdf,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/trip-sheets/weekday-trip-sheets.pdf
FrontierWeekday8,8,Frontier,1 of 5,23,Weekday,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/paddles/weekday-paddles.pdf#page=23,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/paddles/weekday-paddles#page=23.pdf,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/trip-sheets/weekday-trip-sheets.pdf
FrontierWeekday23,23,Frontier,1 of 3,28,Weekday,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/paddles/weekday-paddles.pdf#page=28,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/paddles/weekday-paddles#page=28.pdf,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/trip-sheets/weekday-trip-sheets.pdf
FrontierWeekday24,24,Frontier,1 of 2,31,Weekday,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/paddles/weekday-paddles.pdf#page=31,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/paddles/weekday-paddles#page=31.pdf,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/trip-sheets/weekday-trip-sheets.pdf
