myid,runno,depot,page_1,page,day,moblink,pclink,Trip Sheet
FrontierWeekday1,1,Frontier,1 of 3,1,Weekday,https://www4.septa.org/picking/pdf/summer-a-2026/frontier/paddles/weekday-paddles.pdf#page=1,https://www4.septa.org/picking/pdf/summer-a-2026/frontier/paddles/weekday-paddles#page=1.pdf,https://www4.septa.org/picking/pdf/summer-a-2026/frontier/trip-sheets/weekday-trip-sheets.pdf
FrontierWeekday2,2,Frontier,1 of 3,4,Weekday,https://www4.septa.org/picking/pdf/summer-a-2026/frontier/paddles/weekday-paddles.pdf#page=4,https://www4.septa.org/picking/pdf/summer-a-2026/frontier/paddles/weekday-paddles#page=4.pdf,https://www4.septa.org/picking/pdf/summer-a-2026/frontier/trip-sheets/weekday-trip-sheets.pdf
FrontierWeekday3,3,Frontier,1 of 3,7,Weekday,https://www4.septa.org/picking/pdf/summer-a-2026/frontier/paddles/weekday-paddles.pdf#page=7,https://www4.septa.org/picking/pdf/summer-a-2026/frontier/paddles/weekday-paddles#page=7.pdf,https://www4.septa.org/picking/pdf/summer-a-2026/frontier/trip-sheets/weekday-trip-sheets.pdf
FrontierWeekday4,4,Frontier,1 of 4,10,Weekday,https://www4.septa.org/picking/pdf/summer-a-2026/frontier/paddles/weekday-paddles.pdf#page=10,https://www4.septa.org/picking/pdf/summer-a-2026/frontier/paddles/weekday-paddles#page=10.pdf,https://www4.septa.org/picking/pdf/summer-a-2026/frontier/trip-sheets/weekday-trip-sheets.pdf
FrontierWeekday5,5,Frontier,1 of 4,14,Weekday,https://www4.septa.org/picking/pdf/summer-a-2026/frontier/paddles/weekday-paddles.pdf#page=14,https://www4.septa.org/picking/pdf/summer-a-2026/frontier/paddles/weekday-paddles#page=14.pdf,https://www4.septa.org/picking/pdf/summer-a-2026/frontier/trip-sheets/weekday-trip-sheets.pdf
FrontierWeekday6,6,Frontier,1 of 5,18,Weekday,https://www4.septa.org/picking/pdf/summer-a-2026/frontier/paddles/weekday-paddles.pdf#page=18,https://www4.septa.org/picking/pdf/summer-a-2026/frontier/paddles/weekday-paddles#page=18.pdf,https://www4.septa.org/picking/pdf/summer-a-2026/frontier/trip-sheets/weekday-trip-sheets.pdf
FrontierWeekday7,7,Frontier,1 of 3,23,Weekday,https://www4.septa.org/picking/pdf/summer-a-2026/frontier/paddles/weekday-paddles.pdf#page=23,https://www4.septa.org/picking/pdf/summer-a-2026/frontier/paddles/weekday-paddles#page=23.pdf,https://www4.septa.org/picking/pdf/summer-a-2026/frontier/trip-sheets/weekday-trip-sheets.pdf
FrontierWeekday8,8,Frontier,1 of 3,26,Weekday,https://www4.septa.org/picking/pdf/summer-a-2026/frontier/paddles/weekday-paddles.pdf#page=26,https://www4.septa.org/picking/pdf/summer-a-2026/frontier/paddles/weekday-paddles#page=26.pdf,https://www4.septa.org/picking/pdf/summer-a-2026/frontier/trip-sheets/weekday-trip-sheets.pdf
FrontierWeekday9,9,Frontier,1 of 5,29,Weekday,https://www4.septa.org/picking/pdf/summer-a-2026/frontier/paddles/weekday-paddles.pdf#page=29,https://www4.septa.org/picking/pdf/summer-a-2026/frontier/paddles/weekday-paddles#page=29.pdf,https://www4.septa.org/picking/pdf/summer-a-2026/frontier/trip-sheets/weekday-trip-sheets.pdf
FrontierWeekday23,23,Frontier,1 of 2,34,Weekday,https://www4.septa.org/picking/pdf/summer-a-2026/frontier/paddles/weekday-paddles.pdf#page=34,https://www4.septa.org/picking/pdf/summer-a-2026/frontier/paddles/weekday-paddles#page=34.pdf,https://www4.septa.org/picking/pdf/summer-a-2026/frontier/trip-sheets/weekday-trip-sheets.pdf
