myid,runno,depot,page_1,page,day,moblink,pclink,Trip Sheet
FrontierWeekday1,1,Frontier,1 of 3,1,Weekday,https://www4.septa.org/picking/pdf/spring-a-2026/frontier/paddles/weekday-paddles#page1.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/frontier/paddles/weekday-paddles#page=1.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/frontier/trip-sheets/weekday-trip-sheets.pdf
FrontierWeekday2,2,Frontier,1 of 3,4,Weekday,https://www4.septa.org/picking/pdf/spring-a-2026/frontier/paddles/weekday-paddles#page4.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/frontier/paddles/weekday-paddles#page=4.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/frontier/trip-sheets/weekday-trip-sheets.pdf
FrontierWeekday3,3,Frontier,1 of 3,7,Weekday,https://www4.septa.org/picking/pdf/spring-a-2026/frontier/paddles/weekday-paddles#page7.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/frontier/paddles/weekday-paddles#page=7.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/frontier/trip-sheets/weekday-trip-sheets.pdf
FrontierWeekday4,4,Frontier,1 of 3,10,Weekday,https://www4.septa.org/picking/pdf/spring-a-2026/frontier/paddles/weekday-paddles#page10.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/frontier/paddles/weekday-paddles#page=10.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/frontier/trip-sheets/weekday-trip-sheets.pdf
FrontierWeekday5,5,Frontier,1 of 4,13,Weekday,https://www4.septa.org/picking/pdf/spring-a-2026/frontier/paddles/weekday-paddles#page13.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/frontier/paddles/weekday-paddles#page=13.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/frontier/trip-sheets/weekday-trip-sheets.pdf
FrontierWeekday6,6,Frontier,1 of 4,17,Weekday,https://www4.septa.org/picking/pdf/spring-a-2026/frontier/paddles/weekday-paddles#page17.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/frontier/paddles/weekday-paddles#page=17.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/frontier/trip-sheets/weekday-trip-sheets.pdf
FrontierWeekday7,7,Frontier,1 of 3,21,Weekday,https://www4.septa.org/picking/pdf/spring-a-2026/frontier/paddles/weekday-paddles#page21.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/frontier/paddles/weekday-paddles#page=21.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/frontier/trip-sheets/weekday-trip-sheets.pdf
FrontierWeekday8,8,Frontier,1 of 3,24,Weekday,https://www4.septa.org/picking/pdf/spring-a-2026/frontier/paddles/weekday-paddles#page24.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/frontier/paddles/weekday-paddles#page=24.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/frontier/trip-sheets/weekday-trip-sheets.pdf
FrontierWeekday9,9,Frontier,1 of 5,27,Weekday,https://www4.septa.org/picking/pdf/spring-a-2026/frontier/paddles/weekday-paddles#page27.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/frontier/paddles/weekday-paddles#page=27.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/frontier/trip-sheets/weekday-trip-sheets.pdf
FrontierWeekday23,23,Frontier,1 of 3,32,Weekday,https://www4.septa.org/picking/pdf/spring-a-2026/frontier/paddles/weekday-paddles#page32.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/frontier/paddles/weekday-paddles#page=32.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/frontier/trip-sheets/weekday-trip-sheets.pdf
