myid,depot,eff_date,day,pullout2,swingdur,swingdursec,runno,start,arrive,finish,worktime,pay,leave,r1,b1,potype1,pot1,pitype1,pit1,stime1,stimeint1,start22,r2,b2,potype2,pot2,pitype2,pit2,stime2,stimeint2,start23,r3,b3,potype3,pot3,pitype3,pit3,stime3,stimeint3,start24,r4,b4,potype4,pot4,pitype4,pit4,stime4,stimeint4,start25,r5,b5,potype5,pot5,pitype5,pit5,stime5,stimeint5,start26,r6,b6,potype6,pot6,pitype6,pit6,stime6,stimeint6,start27,r7,b7,potype7,pot7,pitype7,pit7,stime7,stimeint7,start28,r8,b8,potype8,pot8,pitype8,pit8,stime8,stimeint8,start29,r9,b9,potype9,pot9,pitype9,pit9,stime9,stimeint9,start210,r10,b10,potype10,pot10,pitype10,pit10,stime10,stimeint10,sum1, sum12,sum2, sum22,sum3, sum32,sum4, sum42,sum5, sum52,sum6, sum62,sum7, sum72,sum8, sum82,sum9, sum92,sum10, sum102,
Frontiersaturday1,Frontier,2-28-2026,saturday,,,,1,2023-10-11 05:43 AM,,2023-10-11 2:54 PM,8.4,8.4,,90,6701,O,05:57 AM,CG,08:30 AM,2:33,153,,98,6701,CG,08:30 AM,CG,09:25 AM,0:55,55,,131,6701,CG,09:25 AM,L,10:35 AM,1:10,70,,131,6701,L,11:15 AM,CG,11:15 AM,0:00,0,,98,6701,CG,11:15 AM,CG,12:00 PM,0:45,45,,90,6701,CG,12:00 PM,CG,01:25 PM,1:25,85,,131,6701,CG,01:25 PM,I,02:50 PM,1:25,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 90 SCHD: 2:33,--> O: 05:57 AM > CG: 08:30 AM,RTE: 98 SCHD: 0:55,--> CG: 08:30 AM > CG: 09:25 AM,RTE: 131 SCHD: 1:10,--> CG: 09:25 AM > L: 10:35 AM,RTE: 131 SCHD: 0:00,--> L: 11:15 AM > CG: 11:15 AM,RTE: 98 SCHD: 0:45,--> CG: 11:15 AM > CG: 12:00 PM,RTE: 90 SCHD: 1:25,--> CG: 12:00 PM > CG: 01:25 PM,RTE: 131 SCHD: 1:25,--> CG: 01:25 PM > I: 02:50 PM,,,,,,,
Frontiersaturday2,Frontier,2-28-2026,saturday,,,,2,2023-10-11 05:46 AM,4:30,2023-10-11 4:30 PM,9.9,9.9,,90,6702,O,06:00 AM,CG,07:32 AM,1:32,92,,98,6702,CG,07:32 AM,CG,09:00 AM,1:28,88,,90,6702,CG,09:00 AM,CG,10:25 AM,1:25,85,,131,6702,CG,10:25 AM,L,11:35 AM,1:10,70,,131,6702,L,12:15 PM,CG,12:15 PM,0:00,0,,98,6702,CG,12:15 PM,CG,01:00 PM,0:45,45,,90,6702,CG,01:00 PM,CG,02:25 PM,1:25,85,,131,6702,CG,02:25 PM,R,04:11 PM,1:46,106,,,,,,,,,,,,,,,,,,,RTE: 90 SCHD: 1:32,--> O: 06:00 AM > CG: 07:32 AM,RTE: 98 SCHD: 1:28,--> CG: 07:32 AM > CG: 09:00 AM,RTE: 90 SCHD: 1:25,--> CG: 09:00 AM > CG: 10:25 AM,RTE: 131 SCHD: 1:10,--> CG: 10:25 AM > L: 11:35 AM,RTE: 131 SCHD: 0:00,--> L: 12:15 PM > CG: 12:15 PM,RTE: 98 SCHD: 0:45,--> CG: 12:15 PM > CG: 01:00 PM,RTE: 90 SCHD: 1:25,--> CG: 01:00 PM > CG: 02:25 PM,RTE: 131 SCHD: 1:46,--> CG: 02:25 PM > R: 04:11 PM,,,,,
Frontiersaturday3,Frontier,2-28-2026,saturday,,,,3,2023-10-11 02:34 PM,,2023-10-11 10:56 PM,7.9,8.0,2:38,90,6122,R,03:11 PM,CG,04:28 PM,1:17,77,,98,6122,CG,04:28 PM,CG,06:00 PM,1:32,92,,90,6122,CG,06:00 PM,L,06:45 PM,0:45,45,,90,6122,L,07:15 PM,CG,08:41 PM,1:26,86,,98,6122,CG,08:41 PM,CG,09:15 PM,0:34,34,,90,6122,CG,09:15 PM,I,10:52 PM,1:37,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 90 SCHD: 1:17,--> R: 03:11 PM > CG: 04:28 PM,RTE: 98 SCHD: 1:32,--> CG: 04:28 PM > CG: 06:00 PM,RTE: 90 SCHD: 0:45,--> CG: 06:00 PM > L: 06:45 PM,RTE: 90 SCHD: 1:26,--> L: 07:15 PM > CG: 08:41 PM,RTE: 98 SCHD: 0:34,--> CG: 08:41 PM > CG: 09:15 PM,RTE: 90 SCHD: 1:37,--> CG: 09:15 PM > I: 10:52 PM,,,,,,,,,
Frontiersaturday23,Frontier,2-28-2026,saturday,,,,23,2023-10-11 06:02 AM,,2023-10-11 3:47 PM,9.1,9.1,,92,6015,O,06:16 AM,L,10:30 AM,4:14,254,,92,6015,L,11:00 AM,I,03:43 PM,4:43,283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 92 SCHD: 4:14,--> O: 06:16 AM > L: 10:30 AM,RTE: 92 SCHD: 4:43,--> L: 11:00 AM > I: 03:43 PM,,,,,,,,,,,,,,,,,
Frontiersaturday24,Frontier,2-28-2026,saturday,02:15 PM,2Hrs 14Min,8040,24,2023-10-11 07:06 AM,,2023-10-11 8:33 PM,11.1,11.7,,92,6016,O,07:20 AM,I,12:01 PM,4:41,281,2:05,127,6202,O,02:15 PM,I,08:29 PM,6:14,374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 92 SCHD: 4:41,--> O: 07:20 AM > I: 12:01 PM,RTE: 127 SCHD: 6:14,--> O: 02:15 PM > I: 08:29 PM,,,,,,,,,,,,,,,,,
Frontiersaturday25,Frontier,2-28-2026,saturday,,,,25,2023-10-11 11:21 AM,,2023-10-11 10:07 PM,10.3,10.3,,92,6017,O,11:35 AM,CG,01:15 PM,1:40,100,,135,6017,CG,01:15 PM,L,04:56 PM,3:41,221,,135,6017,L,05:15 PM,I,10:03 PM,4:48,288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 92 SCHD: 1:40,--> O: 11:35 AM > CG: 01:15 PM,RTE: 135 SCHD: 3:41,--> CG: 01:15 PM > L: 04:56 PM,RTE: 135 SCHD: 4:48,--> L: 05:15 PM > I: 10:03 PM,,,,,,,,,,,,,,,
Frontiersaturday26,Frontier,2-28-2026,saturday,,,,26,2023-10-11 02:06 PM,,2023-10-12 12:33 AM,9.9,9.9,,92,6018,O,02:20 PM,L,07:08 PM,4:48,288,,92,6018,L,07:33 PM,CG,11:08 PM,3:35,215,,124,6018,CG,11:08 PM,I,12:29 AM,1:21,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 92 SCHD: 4:48,--> O: 02:20 PM > L: 07:08 PM,RTE: 92 SCHD: 3:35,--> L: 07:33 PM > CG: 11:08 PM,RTE: 124 SCHD: 1:21,--> CG: 11:08 PM > I: 12:29 AM,,,,,,,,,,,,,,,
Frontiersaturday27,Frontier,2-28-2026,saturday,,,,27,2023-10-11 03:17 PM,,2023-10-11 10:39 PM,6.5,8.0,,92,6019,O,03:31 PM,L,05:49 PM,2:18,138,,92,6019,L,06:30 PM,I,10:35 PM,4:05,245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 92 SCHD: 2:18,--> O: 03:31 PM > L: 05:49 PM,RTE: 92 SCHD: 4:05,--> L: 06:30 PM > I: 10:35 PM,,,,,,,,,,,,,,,,,
Frontiersaturday36,Frontier,2-28-2026,saturday,,,,36,2023-10-11 05:01 AM,,2023-10-11 2:14 PM,8.7,8.7,,93,6031,O,05:15 AM,L,10:52 AM,5:37,337,,93,6031,L,11:15 AM,I,02:10 PM,2:55,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 93 SCHD: 5:37,--> O: 05:15 AM > L: 10:52 AM,RTE: 93 SCHD: 2:55,--> L: 11:15 AM > I: 02:10 PM,,,,,,,,,,,,,,,,,
Frontiersaturday37,Frontier,2-28-2026,saturday,,,,37,2023-10-11 05:46 AM,4:30,2023-10-11 4:30 PM,10.3,10.3,,93,6032,O,06:00 AM,CG,09:40 AM,3:40,220,,99,6032,CG,09:40 AM,L,11:23 AM,1:43,103,,99,6032,L,11:40 AM,CG,02:15 PM,2:35,155,,90,6032,CG,02:15 PM,CG,03:26 PM,1:11,71,,98,6032,CG,03:26 PM,R,04:11 PM,0:45,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 93 SCHD: 3:40,--> O: 06:00 AM > CG: 09:40 AM,RTE: 99 SCHD: 1:43,--> CG: 09:40 AM > L: 11:23 AM,RTE: 99 SCHD: 2:35,--> L: 11:40 AM > CG: 02:15 PM,RTE: 90 SCHD: 1:11,--> CG: 02:15 PM > CG: 03:26 PM,RTE: 98 SCHD: 0:45,--> CG: 03:26 PM > R: 04:11 PM,,,,,,,,,,,
