myid,depot,eff_date,day,pullout2,swingdur,swingdursec,runno,start,arrive,finish,worktime,pay,leave,r1,b1,potype1,pot1,pitype1,pit1,stime1,stimeint1,start22,r2,b2,potype2,pot2,pitype2,pit2,stime2,stimeint2,start23,r3,b3,potype3,pot3,pitype3,pit3,stime3,stimeint3,start24,r4,b4,potype4,pot4,pitype4,pit4,stime4,stimeint4,start25,r5,b5,potype5,pot5,pitype5,pit5,stime5,stimeint5,start26,r6,b6,potype6,pot6,pitype6,pit6,stime6,stimeint6,start27,r7,b7,potype7,pot7,pitype7,pit7,stime7,stimeint7,start28,r8,b8,potype8,pot8,pitype8,pit8,stime8,stimeint8,start29,r9,b9,potype9,pot9,pitype9,pit9,stime9,stimeint9,start210,r10,b10,potype10,pot10,pitype10,pit10,stime10,stimeint10,sum1, sum12,sum2, sum22,sum3, sum32,sum4, sum42,sum5, sum52,sum6, sum62,sum7, sum72,sum8, sum82,sum9, sum92,sum10, sum102,
Frontiersunday36,Frontier,2-22-2026,sunday,,,,36,2023-10-11 05:31 AM,,2023-10-11 1:57 PM,7.7,8.0,,93,6031,O,05:45 AM,L,10:42 AM,4:57,297,,93,6031,L,11:15 AM,I,01:53 PM,2:38,158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 93 SCHD: 4:57,--> O: 05:45 AM > L: 10:42 AM,RTE: 93 SCHD: 2:38,--> L: 11:15 AM > I: 01:53 PM,,,,,,,,,,,,,,,,,
Frontiersunday37,Frontier,2-22-2026,sunday,,,,37,2023-10-11 09:46 AM,,2023-10-11 8:48 PM,10.3,10.3,,93,6032,O,10:00 AM,CG,01:15 PM,3:15,195,,98,6032,CG,01:15 PM,CG,02:25 PM,1:10,70,,131,6032,CG,02:25 PM,L,03:40 PM,1:15,75,,131,6032,L,04:15 PM,CG,04:15 PM,0:00,0,,98,6032,CG,04:15 PM,CG,05:25 PM,1:10,70,,131,6032,CG,05:25 PM,CG,07:16 PM,1:51,111,,124,6032,CG,07:16 PM,I,08:44 PM,1:28,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 93 SCHD: 3:15,--> O: 10:00 AM > CG: 01:15 PM,RTE: 98 SCHD: 1:10,--> CG: 01:15 PM > CG: 02:25 PM,RTE: 131 SCHD: 1:15,--> CG: 02:25 PM > L: 03:40 PM,RTE: 131 SCHD: 0:00,--> L: 04:15 PM > CG: 04:15 PM,RTE: 98 SCHD: 1:10,--> CG: 04:15 PM > CG: 05:25 PM,RTE: 131 SCHD: 1:51,--> CG: 05:25 PM > CG: 07:16 PM,RTE: 124 SCHD: 1:28,--> CG: 07:16 PM > I: 08:44 PM,,,,,,,
Frontiersunday38,Frontier,2-22-2026,sunday,,,,38,2023-10-11 12:46 PM,,2023-10-11 11:31 PM,10.0,10.0,,93,6033,O,01:00 PM,L,06:40 PM,5:40,340,,93,6033,L,07:15 PM,I,11:27 PM,4:12,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 93 SCHD: 5:40,--> O: 01:00 PM > L: 06:40 PM,RTE: 93 SCHD: 4:12,--> L: 07:15 PM > I: 11:27 PM,,,,,,,,,,,,,,,,,
Frontiersunday39,Frontier,2-22-2026,sunday,,,,39,2023-10-11 01:46 PM,,2023-10-11 11:54 PM,9.1,9.1,,93,6034,O,02:00 PM,L,07:39 PM,5:39,339,,93,6034,L,08:30 PM,CG,10:43 PM,2:13,133,,131,6034,CG,10:43 PM,I,11:50 PM,1:07,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 93 SCHD: 5:39,--> O: 02:00 PM > L: 07:39 PM,RTE: 93 SCHD: 2:13,--> L: 08:30 PM > CG: 10:43 PM,RTE: 131 SCHD: 1:07,--> CG: 10:43 PM > I: 11:50 PM,,,,,,,,,,,,,,,
Frontiersunday56,Frontier,2-22-2026,sunday,01:00 PM,0Hrs 47Min,2820,56,2023-10-11 07:29 AM,,2023-10-11 7:29 PM,11.1,11.1,,94,6045,O,07:43 AM,CG,09:05 AM,1:22,82,,132,6045,CG,09:05 AM,CG,11:05 AM,2:00,120,,94,6045,CG,11:05 AM,I,12:13 PM,1:08,68,12:50,96,6083,O,01:00 PM,CG,03:15 PM,2:15,135,,98,6083,CG,03:15 PM,CG,04:25 PM,1:10,70,,131,6083,CG,04:25 PM,CG,06:15 PM,1:50,110,,98,6083,CG,06:15 PM,I,07:25 PM,1:10,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 94 SCHD: 1:22,--> O: 07:43 AM > CG: 09:05 AM,RTE: 132 SCHD: 2:00,--> CG: 09:05 AM > CG: 11:05 AM,RTE: 94 SCHD: 1:08,--> CG: 11:05 AM > I: 12:13 PM,RTE: 96 SCHD: 2:15,--> O: 01:00 PM > CG: 03:15 PM,RTE: 98 SCHD: 1:10,--> CG: 03:15 PM > CG: 04:25 PM,RTE: 131 SCHD: 1:50,--> CG: 04:25 PM > CG: 06:15 PM,RTE: 98 SCHD: 1:10,--> CG: 06:15 PM > I: 07:25 PM,,,,,,,
Frontiersunday57,Frontier,2-22-2026,sunday,,,,57,2023-10-11 09:24 AM,,2023-10-11 7:48 PM,9.9,9.9,,94,6046,O,09:38 AM,CG,11:00 AM,1:22,82,,132,6046,CG,11:00 AM,CG,01:05 PM,2:05,125,,94,6046,CG,01:05 PM,L,02:51 PM,1:46,106,,94,6046,L,03:10 PM,CG,03:10 PM,0:00,0,,132,6046,CG,03:10 PM,CG,05:10 PM,2:00,120,,94,6046,CG,05:10 PM,I,07:44 PM,2:34,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 94 SCHD: 1:22,--> O: 09:38 AM > CG: 11:00 AM,RTE: 132 SCHD: 2:05,--> CG: 11:00 AM > CG: 01:05 PM,RTE: 94 SCHD: 1:46,--> CG: 01:05 PM > L: 02:51 PM,RTE: 94 SCHD: 0:00,--> L: 03:10 PM > CG: 03:10 PM,RTE: 132 SCHD: 2:00,--> CG: 03:10 PM > CG: 05:10 PM,RTE: 94 SCHD: 2:34,--> CG: 05:10 PM > I: 07:44 PM,,,,,,,,,
Frontiersunday101,Frontier,2-22-2026,sunday,,,,101,2023-10-11 05:31 AM,,2023-10-11 1:59 PM,8.1,8.1,,96,6081,O,05:45 AM,L,10:00 AM,4:15,255,,96,6081,L,10:15 AM,CG,12:25 PM,2:10,130,,131,6081,CG,12:25 PM,I,01:55 PM,1:30,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 96 SCHD: 4:15,--> O: 05:45 AM > L: 10:00 AM,RTE: 96 SCHD: 2:10,--> L: 10:15 AM > CG: 12:25 PM,RTE: 131 SCHD: 1:30,--> CG: 12:25 PM > I: 01:55 PM,,,,,,,,,,,,,,,
Frontiersunday102,Frontier,2-22-2026,sunday,,,,102,2023-10-11 06:46 AM,,2023-10-11 2:59 PM,7.8,8.0,,96,6082,O,07:00 AM,L,09:00 AM,2:00,120,,96,6082,L,09:15 AM,CG,01:25 PM,4:10,250,,131,6082,CG,01:25 PM,I,02:55 PM,1:30,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 96 SCHD: 2:00,--> O: 07:00 AM > L: 09:00 AM,RTE: 96 SCHD: 4:10,--> L: 09:15 AM > CG: 01:25 PM,RTE: 131 SCHD: 1:30,--> CG: 01:25 PM > I: 02:55 PM,,,,,,,,,,,,,,,
Frontiersunday103,Frontier,2-22-2026,sunday,,,,103,2023-10-11 01:46 PM,,2023-10-12 12:09 AM,9.9,9.9,,96,6084,O,02:00 PM,L,08:11 PM,6:11,371,,96,6084,L,08:30 PM,CG,10:30 PM,2:00,120,,99,6084,CG,10:30 PM,I,12:05 AM,1:35,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 96 SCHD: 6:11,--> O: 02:00 PM > L: 08:11 PM,RTE: 96 SCHD: 2:00,--> L: 08:30 PM > CG: 10:30 PM,RTE: 99 SCHD: 1:35,--> CG: 10:30 PM > I: 12:05 AM,,,,,,,,,,,,,,,
Frontiersunday104,Frontier,2-22-2026,sunday,,,,104,2023-10-11 02:46 PM,,2023-10-11 11:26 PM,8.2,8.2,,96,6085,O,03:00 PM,L,09:11 PM,6:11,371,,96,6085,L,09:30 PM,I,11:22 PM,1:52,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 96 SCHD: 6:11,--> O: 03:00 PM > L: 09:11 PM,RTE: 96 SCHD: 1:52,--> L: 09:30 PM > I: 11:22 PM,,,,,,,,,,,,,,,,,
