myid,depot,eff_date,day,pullout2,swingdur,swingdursec,runno,start,arrive,finish,worktime,pay,leave,r1,b1,potype1,pot1,pitype1,pit1,stime1,stimeint1,start22,r2,b2,potype2,pot2,pitype2,pit2,stime2,stimeint2,start23,r3,b3,potype3,pot3,pitype3,pit3,stime3,stimeint3,start24,r4,b4,potype4,pot4,pitype4,pit4,stime4,stimeint4,start25,r5,b5,potype5,pot5,pitype5,pit5,stime5,stimeint5,start26,r6,b6,potype6,pot6,pitype6,pit6,stime6,stimeint6,start27,r7,b7,potype7,pot7,pitype7,pit7,stime7,stimeint7,start28,r8,b8,potype8,pot8,pitype8,pit8,stime8,stimeint8,start29,r9,b9,potype9,pot9,pitype9,pit9,stime9,stimeint9,start210,r10,b10,potype10,pot10,pitype10,pit10,stime10,stimeint10,sum1, sum12,sum2, sum22,sum3, sum32,sum4, sum42,sum5, sum52,sum6, sum62,sum7, sum72,sum8, sum82,sum9, sum92,sum10, sum102,
Frontierweekday1,Frontier,02-23-2026,weekday,12:56 PM,3Hrs 0Min,10800,1,2023-10-11 05:31 AM,5:37,2023-10-11 5:37 PM,8.9,8.9,,90,6701,O,05:45 AM,CG,08:35 AM,2:50,170,,99,6701,CG,08:35 AM,R,09:56 AM,1:21,81,,97,6102,R,12:56 PM,CG,02:30 PM,1:34,94,,94,6102,CG,02:30 PM,CG,04:50 PM,2:20,140,,97,6102,CG,04:50 PM,R,05:30 PM,0:40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 90 SCHD: 2:50,--> O: 05:45 AM > CG: 08:35 AM,RTE: 99 SCHD: 1:21,--> CG: 08:35 AM > R: 09:56 AM,RTE: 97 SCHD: 1:34,--> R: 12:56 PM > CG: 02:30 PM,RTE: 94 SCHD: 2:20,--> CG: 02:30 PM > CG: 04:50 PM,RTE: 97 SCHD: 0:40,--> CG: 04:50 PM > R: 05:30 PM,,,,,,,,,,,
Frontierweekday2,Frontier,02-23-2026,weekday,01:31 PM,3Hrs 38Min,13080,2,2023-10-11 05:34 AM,,2023-10-11 7:06 PM,9.9,10.5,,90,6702,O,05:48 AM,CG,07:00 AM,1:12,72,,131,6702,CG,07:00 AM,I,09:53 AM,2:53,173,1:24,97,6104,R,01:31 PM,CG,03:30 PM,1:59,119,,94,6104,CG,03:30 PM,CG,06:00 PM,2:30,150,,97,6104,CG,06:00 PM,I,07:02 PM,1:02,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 90 SCHD: 1:12,--> O: 05:48 AM > CG: 07:00 AM,RTE: 131 SCHD: 2:53,--> CG: 07:00 AM > I: 09:53 AM,RTE: 97 SCHD: 1:59,--> R: 01:31 PM > CG: 03:30 PM,RTE: 94 SCHD: 2:30,--> CG: 03:30 PM > CG: 06:00 PM,RTE: 97 SCHD: 1:02,--> CG: 06:00 PM > I: 07:02 PM,,,,,,,,,,,
Frontierweekday3,Frontier,02-23-2026,weekday,04:20 PM,4Hrs 45Min,17100,3,2023-10-11 06:31 AM,,2023-10-11 8:00 PM,8.6,9.2,,90,6703,O,06:45 AM,CG,09:00 AM,2:15,135,,96,6703,CG,09:00 AM,I,11:35 AM,2:35,155,4:10,127,6205,O,04:20 PM,I,07:56 PM,3:36,216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 90 SCHD: 2:15,--> O: 06:45 AM > CG: 09:00 AM,RTE: 96 SCHD: 2:35,--> CG: 09:00 AM > I: 11:35 AM,RTE: 127 SCHD: 3:36,--> O: 04:20 PM > I: 07:56 PM,,,,,,,,,,,,,,,
Frontierweekday4,Frontier,02-23-2026,weekday,03:20 PM,2Hrs 3Min,7380,4,2023-10-11 07:36 AM,,2023-10-11 9:01 PM,11.2,11.8,,90,6704,O,07:50 AM,CG,09:00 AM,1:10,70,,99,6704,CG,09:00 AM,CG,12:00 PM,3:00,180,,131,6704,CG,12:00 PM,I,01:17 PM,1:17,77,3:10,96,6087,O,03:20 PM,I,08:57 PM,5:37,337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 90 SCHD: 1:10,--> O: 07:50 AM > CG: 09:00 AM,RTE: 99 SCHD: 3:00,--> CG: 09:00 AM > CG: 12:00 PM,RTE: 131 SCHD: 1:17,--> CG: 12:00 PM > I: 01:17 PM,RTE: 96 SCHD: 5:37,--> O: 03:20 PM > I: 08:57 PM,,,,,,,,,,,,,
Frontierweekday5,Frontier,02-23-2026,weekday,,,,5,2023-10-11 09:31 AM,,2023-10-11 7:20 PM,9.1,9.1,,90,6705,O,09:45 AM,CG,11:15 AM,1:30,90,,150,6705,CG,11:15 AM,CG,12:25 PM,1:10,70,,130,6705,CG,12:25 PM,L,01:45 PM,1:20,80,,130,6705,L,02:17 PM,CG,04:37 PM,2:20,140,,133,6705,CG,04:37 PM,CG,06:30 PM,1:53,113,,150,6705,CG,06:30 PM,I,07:16 PM,0:46,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 90 SCHD: 1:30,--> O: 09:45 AM > CG: 11:15 AM,RTE: 150 SCHD: 1:10,--> CG: 11:15 AM > CG: 12:25 PM,RTE: 130 SCHD: 1:20,--> CG: 12:25 PM > L: 01:45 PM,RTE: 130 SCHD: 2:20,--> L: 02:17 PM > CG: 04:37 PM,RTE: 133 SCHD: 1:53,--> CG: 04:37 PM > CG: 06:30 PM,RTE: 150 SCHD: 0:46,--> CG: 06:30 PM > I: 07:16 PM,,,,,,,,,
Frontierweekday6,Frontier,02-23-2026,weekday,,,,6,2023-10-11 10:31 AM,,2023-10-11 9:34 PM,10.5,10.5,,90,6706,O,10:45 AM,CG,01:15 PM,2:30,150,,150,6706,CG,01:15 PM,CG,02:42 PM,1:27,87,,128,6706,CG,02:42 PM,L,04:19 PM,1:37,97,,128,6706,L,04:42 PM,CG,08:45 PM,4:03,243,,150,6706,CG,08:45 PM,I,09:30 PM,0:45,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 90 SCHD: 2:30,--> O: 10:45 AM > CG: 01:15 PM,RTE: 150 SCHD: 1:27,--> CG: 01:15 PM > CG: 02:42 PM,RTE: 128 SCHD: 1:37,--> CG: 02:42 PM > L: 04:19 PM,RTE: 128 SCHD: 4:03,--> L: 04:42 PM > CG: 08:45 PM,RTE: 150 SCHD: 0:45,--> CG: 08:45 PM > I: 09:30 PM,,,,,,,,,,,
Frontierweekday7,Frontier,02-23-2026,weekday,,,,7,2023-10-11 11:30 AM,,2023-10-11 11:30 PM,11.6,11.6,,90,6707,O,11:44 AM,CG,01:00 PM,1:16,76,,131,6707,CG,01:00 PM,L,05:45 PM,4:45,285,,131,6707,L,06:00 PM,CG,07:15 PM,1:15,75,,97,6707,CG,07:15 PM,I,11:26 PM,4:11,251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 90 SCHD: 1:16,--> O: 11:44 AM > CG: 01:00 PM,RTE: 131 SCHD: 4:45,--> CG: 01:00 PM > L: 05:45 PM,RTE: 131 SCHD: 1:15,--> L: 06:00 PM > CG: 07:15 PM,RTE: 97 SCHD: 4:11,--> CG: 07:15 PM > I: 11:26 PM,,,,,,,,,,,,,
Frontierweekday8,Frontier,02-23-2026,weekday,,,,8,2023-10-11 12:31 PM,,2023-10-11 10:39 PM,9.3,9.3,,90,6708,O,12:45 PM,CG,02:30 PM,1:45,105,,150,6708,CG,02:30 PM,CG,03:50 PM,1:20,80,,129,6708,CG,03:50 PM,L,05:17 PM,1:27,87,,129,6708,L,06:00 PM,CG,09:50 PM,3:50,230,,150,6708,CG,09:50 PM,I,10:35 PM,0:45,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 90 SCHD: 1:45,--> O: 12:45 PM > CG: 02:30 PM,RTE: 150 SCHD: 1:20,--> CG: 02:30 PM > CG: 03:50 PM,RTE: 129 SCHD: 1:27,--> CG: 03:50 PM > L: 05:17 PM,RTE: 129 SCHD: 3:50,--> L: 06:00 PM > CG: 09:50 PM,RTE: 150 SCHD: 0:45,--> CG: 09:50 PM > I: 10:35 PM,,,,,,,,,,,
Frontierweekday9,Frontier,02-23-2026,weekday,,,,9,2023-10-11 01:31 PM,,2023-10-12 12:09 AM,10.1,10.1,,90,6709,O,01:45 PM,CG,03:10 PM,1:25,85,,150,6709,CG,03:10 PM,CG,04:14 PM,1:04,64,,130,6709,CG,04:14 PM,L,07:35 PM,3:21,201,,130,6709,L,08:00 PM,CG,08:00 PM,0:00,0,,129,6709,CG,08:00 PM,CG,11:20 PM,3:20,200,,150,6709,CG,11:20 PM,I,12:05 AM,0:45,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 90 SCHD: 1:25,--> O: 01:45 PM > CG: 03:10 PM,RTE: 150 SCHD: 1:04,--> CG: 03:10 PM > CG: 04:14 PM,RTE: 130 SCHD: 3:21,--> CG: 04:14 PM > L: 07:35 PM,RTE: 130 SCHD: 0:00,--> L: 08:00 PM > CG: 08:00 PM,RTE: 129 SCHD: 3:20,--> CG: 08:00 PM > CG: 11:20 PM,RTE: 150 SCHD: 0:45,--> CG: 11:20 PM > I: 12:05 AM,,,,,,,,,
Frontierweekday23,Frontier,02-23-2026,weekday,,,,23,2023-10-11 05:03 AM,,2023-10-11 5:00 PM,11.3,11.3,,92,6015,O,05:17 AM,L,12:28 PM,7:11,431,,92,6015,L,01:00 PM,CG,01:00 PM,0:00,0,,96,6015,CG,01:00 PM,CG,03:35 PM,2:35,155,,131,6015,CG,03:35 PM,I,04:56 PM,1:21,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 92 SCHD: 7:11,--> O: 05:17 AM > L: 12:28 PM,RTE: 92 SCHD: 0:00,--> L: 01:00 PM > CG: 01:00 PM,RTE: 96 SCHD: 2:35,--> CG: 01:00 PM > CG: 03:35 PM,RTE: 131 SCHD: 1:21,--> CG: 03:35 PM > I: 04:56 PM,,,,,,,,,,,,,
Frontierweekday24,Frontier,02-23-2026,weekday,,,,24,2023-10-11 05:32 AM,,2023-10-11 1:42 PM,7.7,8.0,,92,6016,O,05:46 AM,L,10:47 AM,5:01,301,,92,6016,L,11:05 AM,I,01:38 PM,2:33,153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 92 SCHD: 5:01,--> O: 05:46 AM > L: 10:47 AM,RTE: 92 SCHD: 2:33,--> L: 11:05 AM > I: 01:38 PM,,,,,,,,,,,,,,,,,
Frontierweekday25,Frontier,02-23-2026,weekday,,,,25,2023-10-11 12:56 PM,,2023-10-11 10:42 PM,9.0,9.0,,92,6018,O,01:10 PM,L,06:33 PM,5:23,323,,92,6018,L,07:08 PM,I,10:38 PM,3:30,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 92 SCHD: 5:23,--> O: 01:10 PM > L: 06:33 PM,RTE: 92 SCHD: 3:30,--> L: 07:08 PM > I: 10:38 PM,,,,,,,,,,,,,,,,,
