myid,depot,eff_date,day,pullout2,swingdur,swingdursec,runno,start,arrive,finish,worktime,pay,leave,r1,b1,potype1,pot1,pitype1,pit1,stime1,stimeint1,start22,r2,b2,potype2,pot2,pitype2,pit2,stime2,stimeint2,start23,r3,b3,potype3,pot3,pitype3,pit3,stime3,stimeint3,start24,r4,b4,potype4,pot4,pitype4,pit4,stime4,stimeint4,start25,r5,b5,potype5,pot5,pitype5,pit5,stime5,stimeint5,start26,r6,b6,potype6,pot6,pitype6,pit6,stime6,stimeint6,start27,r7,b7,potype7,pot7,pitype7,pit7,stime7,stimeint7,start28,r8,b8,potype8,pot8,pitype8,pit8,stime8,stimeint8,start29,r9,b9,potype9,pot9,pitype9,pit9,stime9,stimeint9,start210,r10,b10,potype10,pot10,pitype10,pit10,stime10,stimeint10,sum1, sum12,sum2, sum22,sum3, sum32,sum4, sum42,sum5, sum52,sum6, sum62,sum7, sum72,sum8, sum82,sum9, sum92,sum10, sum102,
Midvalesaturday1,Midvale,8-29-2026,saturday,,,,1,2023-10-11 02:35 AM,,2023-10-11 11:08 AM,8:23,8.6,,18,3001,O,02:50 AM,I,11:06 AM,8:16,496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 18 SCHD: 8:16,--> O: 02:50 AM > I: 11:06 AM,,,,,,,,,,,,,,,,,,,
Midvalesaturday2,Midvale,8-29-2026,saturday,,,,2,2023-10-11 03:35 AM,,2023-10-11 11:34 AM,7:49,8.0,,18,3002,O,03:50 AM,I,11:32 AM,7:42,462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 18 SCHD: 7:42,--> O: 03:50 AM > I: 11:32 AM,,,,,,,,,,,,,,,,,,,
Midvalesaturday3,Midvale,8-29-2026,saturday,,,,3,2023-10-11 04:00 AM,,2023-10-11 1:33 PM,9:23,10.1,,18,3003,O,04:15 AM,I,01:31 PM,9:16,556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 18 SCHD: 9:16,--> O: 04:15 AM > I: 01:31 PM,,,,,,,,,,,,,,,,,,,
Midvalesaturday4,Midvale,8-29-2026,saturday,,,,4,2023-10-11 04:58 AM,,2023-10-11 2:47 PM,9:39,10.5,,18,3004,O,05:13 AM,I,02:45 PM,9:32,572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 18 SCHD: 9:32,--> O: 05:13 AM > I: 02:45 PM,,,,,,,,,,,,,,,,,,,
Midvalesaturday5,Midvale,8-29-2026,saturday,,,,5,2023-10-11 05:39 AM,,2023-10-11 2:16 PM,8:27,8.7,,18,3005,O,05:54 AM,I,02:14 PM,8:20,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 18 SCHD: 8:20,--> O: 05:54 AM > I: 02:14 PM,,,,,,,,,,,,,,,,,,,
Midvalesaturday6,Midvale,8-29-2026,saturday,,,,6,2023-10-11 05:58 AM,,2023-10-11 3:45 PM,9:37,10.4,,18,3006,O,06:13 AM,I,03:43 PM,9:30,570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 18 SCHD: 9:30,--> O: 06:13 AM > I: 03:43 PM,,,,,,,,,,,,,,,,,,,
Midvalesaturday7,Midvale,8-29-2026,saturday,,,,7,2023-10-11 06:38 AM,,2023-10-11 5:00 PM,10:12,11.3,,18,3007,O,06:53 AM,I,04:58 PM,10:05,605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 18 SCHD: 10:05,--> O: 06:53 AM > I: 04:58 PM,,,,,,,,,,,,,,,,,,,
Midvalesaturday8,Midvale,8-29-2026,saturday,,,,8,2023-10-11 07:12 AM,,2023-10-11 5:38 PM,10:16,11.4,,18,3008,O,07:27 AM,I,05:36 PM,10:09,609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 18 SCHD: 10:09,--> O: 07:27 AM > I: 05:36 PM,,,,,,,,,,,,,,,,,,,
Midvalesaturday9,Midvale,8-29-2026,saturday,,,,9,2023-10-11 07:23 AM,,2023-10-11 5:44 PM,10:11,11.3,,18,3009,O,07:38 AM,I,05:42 PM,10:04,604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 18 SCHD: 10:04,--> O: 07:38 AM > I: 05:42 PM,,,,,,,,,,,,,,,,,,,
Midvalesaturday10,Midvale,8-29-2026,saturday,,,,10,2023-10-11 08:52 AM,,2023-10-11 5:53 PM,8:51,9.3,,18,3010,O,09:07 AM,I,05:51 PM,8:44,524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 18 SCHD: 8:44,--> O: 09:07 AM > I: 05:51 PM,,,,,,,,,,,,,,,,,,,
Midvalesaturday11,Midvale,8-29-2026,saturday,,,,11,2023-10-11 09:33 AM,,2023-10-11 6:45 PM,9:02,9.6,,18,3011,O,09:48 AM,I,06:43 PM,8:55,535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 18 SCHD: 8:55,--> O: 09:48 AM > I: 06:43 PM,,,,,,,,,,,,,,,,,,,
