myid,depot,eff_date,day,pullout2,swingdur,swingdursec,runno,start,arrive,finish,worktime,pay,leave,r1,b1,potype1,pot1,pitype1,pit1,stime1,stimeint1,start22,r2,b2,potype2,pot2,pitype2,pit2,stime2,stimeint2,start23,r3,b3,potype3,pot3,pitype3,pit3,stime3,stimeint3,start24,r4,b4,potype4,pot4,pitype4,pit4,stime4,stimeint4,start25,r5,b5,potype5,pot5,pitype5,pit5,stime5,stimeint5,start26,r6,b6,potype6,pot6,pitype6,pit6,stime6,stimeint6,start27,r7,b7,potype7,pot7,pitype7,pit7,stime7,stimeint7,start28,r8,b8,potype8,pot8,pitype8,pit8,stime8,stimeint8,start29,r9,b9,potype9,pot9,pitype9,pit9,stime9,stimeint9,start210,r10,b10,potype10,pot10,pitype10,pit10,stime10,stimeint10,sum1, sum12,sum2, sum22,sum3, sum32,sum4, sum42,sum5, sum52,sum6, sum62,sum7, sum72,sum8, sum82,sum9, sum92,sum10, sum102,
Midvalesunday101,Midvale,8-23-2026,sunday,,,,101,2023-10-11 05:32 AM,,2023-10-11 4:20 PM,10:38,12.0,,2,3475,O,05:47 AM,CG,08:18 AM,2:31,151,,57,3475,CG,08:18 AM,I,04:18 PM,8:00,480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 2 SCHD: 2:31,--> O: 05:47 AM > CG: 08:18 AM,RTE: 57 SCHD: 8:00,--> CG: 08:18 AM > I: 04:18 PM,,,,,,,,,,,,,,,,,
Midvalesunday102,Midvale,8-23-2026,sunday,,,,102,2023-10-11 07:29 AM,,2023-10-11 5:56 PM,10:17,11.4,,2,3476,O,07:44 AM,CG,10:00 AM,2:16,136,,56,3476,CG,10:00 AM,I,05:54 PM,7:54,474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 2 SCHD: 2:16,--> O: 07:44 AM > CG: 10:00 AM,RTE: 56 SCHD: 7:54,--> CG: 10:00 AM > I: 05:54 PM,,,,,,,,,,,,,,,,,
Midvalesunday103,Midvale,8-23-2026,sunday,,,,103,2023-10-11 07:59 AM,,2023-10-11 4:13 PM,8:04,8.1,,2,3477,O,08:14 AM,CG,01:42 PM,5:28,328,,53,3477,CG,01:42 PM,I,04:11 PM,2:29,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 2 SCHD: 5:28,--> O: 08:14 AM > CG: 01:42 PM,RTE: 53 SCHD: 2:29,--> CG: 01:42 PM > I: 04:11 PM,,,,,,,,,,,,,,,,,
Midvalesunday104,Midvale,8-23-2026,sunday,,,,104,2023-10-11 09:59 AM,,2023-10-11 7:57 PM,9:48,10.7,,2,3478,O,10:14 AM,I,07:55 PM,9:41,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 2 SCHD: 9:41,--> O: 10:14 AM > I: 07:55 PM,,,,,,,,,,,,,,,,,,,
Midvalesunday105,Midvale,8-23-2026,sunday,,,,105,2023-10-11 12:57 PM,,2023-10-11 10:27 PM,9:20,10.0,,2,3479,O,01:12 PM,I,10:25 PM,9:13,553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 2 SCHD: 9:13,--> O: 01:12 PM > I: 10:25 PM,,,,,,,,,,,,,,,,,,,
Midvalesunday501,Midvale,8-23-2026,sunday,,,,501,2023-10-11 04:41 AM,,2023-10-11 1:30 PM,8:39,9.0,,4-16,3801,O,04:56 AM,I,01:28 PM,8:32,512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 4-16 SCHD: 8:32,--> O: 04:56 AM > I: 01:28 PM,,,,,,,,,,,,,,,,,,,
Midvalesunday502,Midvale,8-23-2026,sunday,,,,502,2023-10-11 05:10 AM,,2023-10-11 2:01 PM,8:41,9.0,,4-16,3802,O,05:25 AM,I,01:59 PM,8:34,514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 4-16 SCHD: 8:34,--> O: 05:25 AM > I: 01:59 PM,,,,,,,,,,,,,,,,,,,
Midvalesunday503,Midvale,8-23-2026,sunday,,,,503,2023-10-11 05:40 AM,,2023-10-11 2:31 PM,8:41,9.0,,4-16,3803,O,05:55 AM,I,02:29 PM,8:34,514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 4-16 SCHD: 8:34,--> O: 05:55 AM > I: 02:29 PM,,,,,,,,,,,,,,,,,,,
Midvalesunday504,Midvale,8-23-2026,sunday,,,,504,2023-10-11 07:42 AM,,2023-10-11 6:15 PM,10:23,11.6,,4-16,3804,O,07:57 AM,CG,10:59 AM,3:02,182,,55,3804,CG,10:59 AM,I,06:13 PM,7:14,434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 4-16 SCHD: 3:02,--> O: 07:57 AM > CG: 10:59 AM,RTE: 55 SCHD: 7:14,--> CG: 10:59 AM > I: 06:13 PM,,,,,,,,,,,,,,,,,
Midvalesunday505,Midvale,8-23-2026,sunday,,,,505,2023-10-11 08:04 AM,,2023-10-11 5:27 PM,9:13,9.8,,4-16,3805,O,08:19 AM,I,05:25 PM,9:06,546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 4-16 SCHD: 9:06,--> O: 08:19 AM > I: 05:25 PM,,,,,,,,,,,,,,,,,,,
