myid,depot,eff_date,day,pullout2,swingdur,swingdursec,runno,start,arrive,finish,worktime,pay,leave,r1,b1,potype1,pot1,pitype1,pit1,stime1,stimeint1,start22,r2,b2,potype2,pot2,pitype2,pit2,stime2,stimeint2,start23,r3,b3,potype3,pot3,pitype3,pit3,stime3,stimeint3,start24,r4,b4,potype4,pot4,pitype4,pit4,stime4,stimeint4,start25,r5,b5,potype5,pot5,pitype5,pit5,stime5,stimeint5,start26,r6,b6,potype6,pot6,pitype6,pit6,stime6,stimeint6,start27,r7,b7,potype7,pot7,pitype7,pit7,stime7,stimeint7,start28,r8,b8,potype8,pot8,pitype8,pit8,stime8,stimeint8,start29,r9,b9,potype9,pot9,pitype9,pit9,stime9,stimeint9,start210,r10,b10,potype10,pot10,pitype10,pit10,stime10,stimeint10,sum1, sum12,sum2, sum22,sum3, sum32,sum4, sum42,sum5, sum52,sum6, sum62,sum7, sum72,sum8, sum82,sum9, sum92,sum10, sum102,
Midvalesaturday101,Midvale,6-20-2026,saturday,,,,101,2023-10-11 05:33 AM,,2023-10-11 2:29 PM,8:46,9.2,,2,3475,O,05:48 AM,I,02:27 PM,8:39,519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 2 SCHD: 8:39,--> O: 05:48 AM > I: 02:27 PM,,,,,,,,,,,,,,,,,,,
Midvalesaturday102,Midvale,6-20-2026,saturday,,,,102,2023-10-11 08:01 AM,,2023-10-11 4:06 PM,7:55,8.0,,2,3476,O,08:16 AM,CG,01:21 PM,5:05,305,,57,3476,CG,01:21 PM,I,04:04 PM,2:43,163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 2 SCHD: 5:05,--> O: 08:16 AM > CG: 01:21 PM,RTE: 57 SCHD: 2:43,--> CG: 01:21 PM > I: 04:04 PM,,,,,,,,,,,,,,,,,
Midvalesaturday103,Midvale,6-20-2026,saturday,,,,103,2023-10-11 02:27 PM,,2023-10-11 10:45 PM,8:08,8.2,,2,3477,O,02:42 PM,CG,05:10 PM,2:28,148,,56,3477,CG,05:10 PM,I,10:43 PM,5:33,333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 2 SCHD: 2:28,--> O: 02:42 PM > CG: 05:10 PM,RTE: 56 SCHD: 5:33,--> CG: 05:10 PM > I: 10:43 PM,,,,,,,,,,,,,,,,,
Midvalesaturday104,Midvale,6-20-2026,saturday,,,,104,2023-10-11 04:57 PM,,2023-10-12 2:15 AM,9:08,9.7,,2,3478,O,05:12 PM,I,02:13 AM,9:01,541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 2 SCHD: 9:01,--> O: 05:12 PM > I: 02:13 AM,,,,,,,,,,,,,,,,,,,
Midvalesaturday105,Midvale,6-20-2026,saturday,,,,105,2023-10-11 05:27 PM,,2023-10-12 3:20 AM,9:43,10.6,,2,3479,O,05:42 PM,CG,08:47 PM,3:05,185,,23-45,3479,CG,08:47 PM,I,03:18 AM,6:31,391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 2 SCHD: 3:05,--> O: 05:42 PM > CG: 08:47 PM,RTE: 23-45 SCHD: 6:31,--> CG: 08:47 PM > I: 03:18 AM,,,,,,,,,,,,,,,,,
Midvalesaturday501,Midvale,6-20-2026,saturday,,,,501,2023-10-11 04:44 AM,,2023-10-11 2:15 PM,9:21,10.0,,4-16,3801,O,04:59 AM,I,02:13 PM,9:14,554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 4-16 SCHD: 9:14,--> O: 04:59 AM > I: 02:13 PM,,,,,,,,,,,,,,,,,,,
Midvalesaturday502,Midvale,6-20-2026,saturday,,,,502,2023-10-11 05:09 AM,,2023-10-11 2:59 PM,9:40,10.5,,4-16,3802,O,05:24 AM,I,02:57 PM,9:33,573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 4-16 SCHD: 9:33,--> O: 05:24 AM > I: 02:57 PM,,,,,,,,,,,,,,,,,,,
Midvalesaturday503,Midvale,6-20-2026,saturday,,,,503,2023-10-11 05:39 AM,,2023-10-11 3:42 PM,9:53,10.8,,4-16,3803,O,05:54 AM,I,03:40 PM,9:46,586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 4-16 SCHD: 9:46,--> O: 05:54 AM > I: 03:40 PM,,,,,,,,,,,,,,,,,,,
Midvalesaturday504,Midvale,6-20-2026,saturday,,,,504,2023-10-11 05:40 AM,,2023-10-11 2:01 PM,8:11,8.3,,4-16,3804,O,05:55 AM,I,01:59 PM,8:04,484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 4-16 SCHD: 8:04,--> O: 05:55 AM > I: 01:59 PM,,,,,,,,,,,,,,,,,,,
Midvalesaturday505,Midvale,6-20-2026,saturday,,,,505,2023-10-11 06:08 AM,,2023-10-11 4:26 PM,10:08,11.2,,4-16,3805,O,06:23 AM,I,04:24 PM,10:01,601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 4-16 SCHD: 10:01,--> O: 06:23 AM > I: 04:24 PM,,,,,,,,,,,,,,,,,,,
