myid,runno,depot,page_1,page,day,moblink,pclink,Trip Sheet
ComlyWeekday1,1,Comly,1 of 2,1,Weekday,https://www4.septa.org/picking/pdf/spring-a-2026/comly/paddles/weekday-paddles.pdf#page=1,https://www4.septa.org/picking/pdf/spring-a-2026/comly/paddles/weekday-paddles#page=1.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/comly/trip-sheets/weekday-trip-sheets.pdf
ComlyWeekday2,2,Comly,1 of 3,3,Weekday,https://www4.septa.org/picking/pdf/spring-a-2026/comly/paddles/weekday-paddles.pdf#page=3,https://www4.septa.org/picking/pdf/spring-a-2026/comly/paddles/weekday-paddles#page=3.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/comly/trip-sheets/weekday-trip-sheets.pdf
ComlyWeekday3,3,Comly,1 of 3,6,Weekday,https://www4.septa.org/picking/pdf/spring-a-2026/comly/paddles/weekday-paddles.pdf#page=6,https://www4.septa.org/picking/pdf/spring-a-2026/comly/paddles/weekday-paddles#page=6.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/comly/trip-sheets/weekday-trip-sheets.pdf
ComlyWeekday4,4,Comly,1 of 3,9,Weekday,https://www4.septa.org/picking/pdf/spring-a-2026/comly/paddles/weekday-paddles.pdf#page=9,https://www4.septa.org/picking/pdf/spring-a-2026/comly/paddles/weekday-paddles#page=9.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/comly/trip-sheets/weekday-trip-sheets.pdf
ComlyWeekday5,5,Comly,1 of 3,12,Weekday,https://www4.septa.org/picking/pdf/spring-a-2026/comly/paddles/weekday-paddles.pdf#page=12,https://www4.septa.org/picking/pdf/spring-a-2026/comly/paddles/weekday-paddles#page=12.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/comly/trip-sheets/weekday-trip-sheets.pdf
ComlyWeekday6,6,Comly,1 of 3,15,Weekday,https://www4.septa.org/picking/pdf/spring-a-2026/comly/paddles/weekday-paddles.pdf#page=15,https://www4.septa.org/picking/pdf/spring-a-2026/comly/paddles/weekday-paddles#page=15.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/comly/trip-sheets/weekday-trip-sheets.pdf
ComlyWeekday7,7,Comly,1 of 3,18,Weekday,https://www4.septa.org/picking/pdf/spring-a-2026/comly/paddles/weekday-paddles.pdf#page=18,https://www4.septa.org/picking/pdf/spring-a-2026/comly/paddles/weekday-paddles#page=18.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/comly/trip-sheets/weekday-trip-sheets.pdf
ComlyWeekday8,8,Comly,1 of 3,21,Weekday,https://www4.septa.org/picking/pdf/spring-a-2026/comly/paddles/weekday-paddles.pdf#page=21,https://www4.septa.org/picking/pdf/spring-a-2026/comly/paddles/weekday-paddles#page=21.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/comly/trip-sheets/weekday-trip-sheets.pdf
ComlyWeekday9,9,Comly,1 of 3,24,Weekday,https://www4.septa.org/picking/pdf/spring-a-2026/comly/paddles/weekday-paddles.pdf#page=24,https://www4.septa.org/picking/pdf/spring-a-2026/comly/paddles/weekday-paddles#page=24.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/comly/trip-sheets/weekday-trip-sheets.pdf
ComlyWeekday10,10,Comly,1 of 3,27,Weekday,https://www4.septa.org/picking/pdf/spring-a-2026/comly/paddles/weekday-paddles.pdf#page=27,https://www4.septa.org/picking/pdf/spring-a-2026/comly/paddles/weekday-paddles#page=27.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/comly/trip-sheets/weekday-trip-sheets.pdf
