myid,depot,eff_date,day,pullout2,swingdur,swingdursec,runno,start,arrive,finish,worktime,pay,leave,r1,b1,potype1,pot1,pitype1,pit1,stime1,stimeint1,start22,r2,b2,potype2,pot2,pitype2,pit2,stime2,stimeint2,start23,r3,b3,potype3,pot3,pitype3,pit3,stime3,stimeint3,start24,r4,b4,potype4,pot4,pitype4,pit4,stime4,stimeint4,start25,r5,b5,potype5,pot5,pitype5,pit5,stime5,stimeint5,start26,r6,b6,potype6,pot6,pitype6,pit6,stime6,stimeint6,start27,r7,b7,potype7,pot7,pitype7,pit7,stime7,stimeint7,start28,r8,b8,potype8,pot8,pitype8,pit8,stime8,stimeint8,start29,r9,b9,potype9,pot9,pitype9,pit9,stime9,stimeint9,start210,r10,b10,potype10,pot10,pitype10,pit10,stime10,stimeint10,sum1, sum12,sum2, sum22,sum3, sum32,sum4, sum42,sum5, sum52,sum6, sum62,sum7, sum72,sum8, sum82,sum9, sum92,sum10, sum102,
FrankfordSunday801,Frankford,2-22-2026,Sunday,,,,801,2023-10-11 04:53 AM,,2023-10-11 2:03 PM,9:00,9.5,,3,2201,O,05:08 AM,I,02:01 PM,8:53,533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 3 SCHD: 8:53,--> O: 05:08 AM > I: 02:01 PM,,,,,,,,,,,,,,,,,,,
FrankfordSunday802,Frankford,2-22-2026,Sunday,,,,802,2023-10-11 05:46 AM,,2023-10-11 2:51 PM,8:55,9.4,,3,2202,O,06:01 AM,CG,11:38 AM,5:37,337,,88,2202,CG,11:38 AM,CG,12:56 PM,1:18,78,,73,2202,CG,12:56 PM,I,02:49 PM,1:53,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 3 SCHD: 5:37,--> O: 06:01 AM > CG: 11:38 AM,RTE: 88 SCHD: 1:18,--> CG: 11:38 AM > CG: 12:56 PM,RTE: 73 SCHD: 1:53,--> CG: 12:56 PM > I: 02:49 PM,,,,,,,,,,,,,,,
FrankfordSunday803,Frankford,2-22-2026,Sunday,,,,803,2023-10-11 09:03 AM,,2023-10-11 5:00 PM,7:47,8.0,,3,2203,O,09:18 AM,I,04:58 PM,7:40,460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 3 SCHD: 7:40,--> O: 09:18 AM > I: 04:58 PM,,,,,,,,,,,,,,,,,,,
FrankfordSunday804,Frankford,2-22-2026,Sunday,,,,804,2023-10-11 10:18 AM,,2023-10-11 8:16 PM,9:48,10.7,,3,2204,O,10:33 AM,I,08:14 PM,9:41,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 3 SCHD: 9:41,--> O: 10:33 AM > I: 08:14 PM,,,,,,,,,,,,,,,,,,,
FrankfordSunday805,Frankford,2-22-2026,Sunday,,,,805,2023-10-11 01:58 PM,,2023-10-11 9:48 PM,7:40,8.0,,3,2205,O,02:13 PM,I,09:46 PM,7:33,453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 3 SCHD: 7:33,--> O: 02:13 PM > I: 09:46 PM,,,,,,,,,,,,,,,,,,,
FrankfordSunday806,Frankford,2-22-2026,Sunday,,,,806,2023-10-11 05:39 PM,,2023-10-12 2:07 AM,8:18,8.5,,3,2207,O,05:54 PM,CG,08:03 PM,2:09,129,,82,2207,CG,08:03 PM,CG,11:10 PM,3:07,187,,3,2207,CG,11:10 PM,I,02:05 AM,2:55,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 3 SCHD: 2:09,--> O: 05:54 PM > CG: 08:03 PM,RTE: 82 SCHD: 3:07,--> CG: 08:03 PM > CG: 11:10 PM,RTE: 3 SCHD: 2:55,--> CG: 11:10 PM > I: 02:05 AM,,,,,,,,,,,,,,,
FrankfordSunday807,Frankford,2-22-2026,Sunday,,,,807,2023-10-11 04:39 PM,,2023-10-12 2:37 AM,9:48,10.7,,3,2206,O,04:54 PM,CG,10:19 PM,5:25,325,,5,2206,CG,10:19 PM,CG,11:40 PM,1:21,81,,3,2206,CG,11:40 PM,I,02:35 AM,2:55,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 3 SCHD: 5:25,--> O: 04:54 PM > CG: 10:19 PM,RTE: 5 SCHD: 1:21,--> CG: 10:19 PM > CG: 11:40 PM,RTE: 3 SCHD: 2:55,--> CG: 11:40 PM > I: 02:35 AM,,,,,,,,,,,,,,,
FrankfordSunday101,Frankford,2-22-2026,Sunday,,,,101,2023-10-11 04:57 AM,,2023-10-11 2:57 PM,9:50,10.8,,5,2251,O,05:12 AM,CG,12:57 PM,7:45,465,,K,2251,CG,12:57 PM,I,02:55 PM,1:58,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 5 SCHD: 7:45,--> O: 05:12 AM > CG: 12:57 PM,RTE: K SCHD: 1:58,--> CG: 12:57 PM > I: 02:55 PM,,,,,,,,,,,,,,,,,
FrankfordSunday102,Frankford,2-22-2026,Sunday,,,,102,2023-10-11 08:58 AM,,2023-10-11 6:08 PM,9:00,9.5,,5,2252,O,09:13 AM,I,06:06 PM,8:53,533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 5 SCHD: 8:53,--> O: 09:13 AM > I: 06:06 PM,,,,,,,,,,,,,,,,,,,
FrankfordSunday103,Frankford,2-22-2026,Sunday,,,,103,2023-10-11 01:56 PM,,2023-10-11 11:49 PM,9:43,10.6,,5,2253,O,02:11 PM,CG,04:02 PM,1:51,111,,25,2253,CG,04:02 PM,I,11:47 PM,7:45,465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 5 SCHD: 1:51,--> O: 02:11 PM > CG: 04:02 PM,RTE: 25 SCHD: 7:45,--> CG: 04:02 PM > I: 11:47 PM,,,,,,,,,,,,,,,,,
