myid,depot,eff_date,day,pullout2,swingdur,swingdursec,runno,start,arrive,finish,worktime,pay,leave,r1,b1,potype1,pot1,pitype1,pit1,stime1,stimeint1,start22,r2,b2,potype2,pot2,pitype2,pit2,stime2,stimeint2,start23,r3,b3,potype3,pot3,pitype3,pit3,stime3,stimeint3,start24,r4,b4,potype4,pot4,pitype4,pit4,stime4,stimeint4,start25,r5,b5,potype5,pot5,pitype5,pit5,stime5,stimeint5,start26,r6,b6,potype6,pot6,pitype6,pit6,stime6,stimeint6,start27,r7,b7,potype7,pot7,pitype7,pit7,stime7,stimeint7,start28,r8,b8,potype8,pot8,pitype8,pit8,stime8,stimeint8,start29,r9,b9,potype9,pot9,pitype9,pit9,stime9,stimeint9,start210,r10,b10,potype10,pot10,pitype10,pit10,stime10,stimeint10,sum1, sum12,sum2, sum22,sum3, sum32,sum4, sum42,sum5, sum52,sum6, sum62,sum7, sum72,sum8, sum82,sum9, sum92,sum10, sum102,
Frankford RailSaturday701,Frankford Rail,2-28-2026,Saturday,,,,701,2023-10-11 03:47 AM,,2023-10-11 12:32 PM,8:35,8.9,,59,2001,O,04:02 AM,I,12:30 PM,8:28,508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 59 SCHD: 8:28,--> O: 04:02 AM > I: 12:30 PM,,,,,,,,,,,,,,,,,,,
Frankford RailSaturday702,Frankford Rail,2-28-2026,Saturday,,,,702,2023-10-11 04:58 AM,,2023-10-11 2:32 PM,9:24,10.1,,59,2002,O,05:13 AM,I,02:30 PM,9:17,557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 59 SCHD: 9:17,--> O: 05:13 AM > I: 02:30 PM,,,,,,,,,,,,,,,,,,,
Frankford RailSaturday703,Frankford Rail,2-28-2026,Saturday,,,,703,2023-10-11 01:44 PM,,2023-10-11 9:56 PM,8:02,8.1,,59,2004,O,01:59 PM,I,09:54 PM,7:55,475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 59 SCHD: 7:55,--> O: 01:59 PM > I: 09:54 PM,,,,,,,,,,,,,,,,,,,
Frankford RailSaturday704,Frankford Rail,2-28-2026,Saturday,,,,704,2023-10-11 01:24 PM,,2023-10-11 11:17 PM,9:43,10.6,,59,2003,O,01:39 PM,CG,06:03 PM,4:24,264,,66,2003,CG,06:03 PM,I,11:15 PM,5:12,312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 59 SCHD: 4:24,--> O: 01:39 PM > CG: 06:03 PM,RTE: 66 SCHD: 5:12,--> CG: 06:03 PM > I: 11:15 PM,,,,,,,,,,,,,,,,,
Frankford RailSaturday705,Frankford Rail,2-28-2026,Saturday,,,,705,2023-10-11 04:45 PM,,2023-10-12 2:12 AM,9:17,9.9,,59,2005,O,05:00 PM,CG,09:23 PM,4:23,263,,75,2005,CG,09:23 PM,I,02:10 AM,4:47,287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 59 SCHD: 4:23,--> O: 05:00 PM > CG: 09:23 PM,RTE: 75 SCHD: 4:47,--> CG: 09:23 PM > I: 02:10 AM,,,,,,,,,,,,,,,,,
Frankford RailSaturday501,Frankford Rail,2-28-2026,Saturday,,,,501,2023-10-11 12:18 AM,,2023-10-11 10:10 AM,9:42,10.6,,66,2051,O,12:33 AM,I,10:08 AM,9:35,575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 66 SCHD: 9:35,--> O: 12:33 AM > I: 10:08 AM,,,,,,,,,,,,,,,,,,,
Frankford RailSaturday502,Frankford Rail,2-28-2026,Saturday,,,,502,2023-10-11 12:53 AM,,2023-10-11 10:58 AM,9:55,10.9,,66,2052,O,01:08 AM,I,10:56 AM,9:48,588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 66 SCHD: 9:48,--> O: 01:08 AM > I: 10:56 AM,,,,,,,,,,,,,,,,,,,
Frankford RailSaturday503,Frankford Rail,2-28-2026,Saturday,,,,503,2023-10-11 05:03 AM,,2023-10-11 2:47 PM,9:34,10.4,,66,2053,O,05:18 AM,I,02:45 PM,9:27,567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 66 SCHD: 9:27,--> O: 05:18 AM > I: 02:45 PM,,,,,,,,,,,,,,,,,,,
Frankford RailSaturday504,Frankford Rail,2-28-2026,Saturday,,,,504,2023-10-11 06:22 AM,,2023-10-11 4:39 PM,10:07,11.2,,66,2054,O,06:37 AM,I,04:37 PM,10:00,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 66 SCHD: 10:00,--> O: 06:37 AM > I: 04:37 PM,,,,,,,,,,,,,,,,,,,
Frankford RailSaturday505,Frankford Rail,2-28-2026,Saturday,,,,505,2023-10-11 06:51 AM,,2023-10-11 3:44 PM,8:43,9.1,,66,2055,O,07:06 AM,I,03:42 PM,8:36,516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 66 SCHD: 8:36,--> O: 07:06 AM > I: 03:42 PM,,,,,,,,,,,,,,,,,,,
