myid,depot,eff_date,day,pullout2,swingdur,swingdursec,runno,start,arrive,finish,worktime,pay,leave,r1,b1,potype1,pot1,pitype1,pit1,stime1,stimeint1,start22,r2,b2,potype2,pot2,pitype2,pit2,stime2,stimeint2,start23,r3,b3,potype3,pot3,pitype3,pit3,stime3,stimeint3,start24,r4,b4,potype4,pot4,pitype4,pit4,stime4,stimeint4,start25,r5,b5,potype5,pot5,pitype5,pit5,stime5,stimeint5,start26,r6,b6,potype6,pot6,pitype6,pit6,stime6,stimeint6,start27,r7,b7,potype7,pot7,pitype7,pit7,stime7,stimeint7,start28,r8,b8,potype8,pot8,pitype8,pit8,stime8,stimeint8,start29,r9,b9,potype9,pot9,pitype9,pit9,stime9,stimeint9,start210,r10,b10,potype10,pot10,pitype10,pit10,stime10,stimeint10,sum1, sum12,sum2, sum22,sum3, sum32,sum4, sum42,sum5, sum52,sum6, sum62,sum7, sum72,sum8, sum82,sum9, sum92,sum10, sum102,
Frankford RailWeekday701,Frankford Rail,2-23-2026,Weekday,,,,701,2023-10-11 03:47 AM,,2023-10-11 2:01 PM,10:04,11.1,,59,2001,O,04:02 AM,I,01:58 PM,9:56,596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 59 SCHD: 9:56,--> O: 04:02 AM > I: 01:58 PM,,,,,,,,,,,,,,,,,,,
Frankford RailWeekday702,Frankford Rail,2-23-2026,Weekday,02:18 PM,0Hrs 40Min,2400,702,2023-10-11 05:03 AM,,2023-10-11 3:29 PM,9:36,10.7,,59,2003,O,05:18 AM,I,01:38 PM,8:20,500,2:08,59,2012,O,02:18 PM,I,03:26 PM,1:08,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 59 SCHD: 8:20,--> O: 05:18 AM > I: 01:38 PM,RTE: 59 SCHD: 1:08,--> O: 02:18 PM > I: 03:26 PM,,,,,,,,,,,,,,,,,
Frankford RailWeekday703,Frankford Rail,2-23-2026,Weekday,01:38 PM,3Hrs 1Min,10860,703,2023-10-11 04:48 AM,,2023-10-11 4:05 PM,8:06,8.8,,59,2002,O,05:03 AM,I,10:37 AM,5:34,334,1:28,59,2009,O,01:38 PM,I,04:02 PM,2:24,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 59 SCHD: 5:34,--> O: 05:03 AM > I: 10:37 AM,RTE: 59 SCHD: 2:24,--> O: 01:38 PM > I: 04:02 PM,,,,,,,,,,,,,,,,,
Frankford RailWeekday704,Frankford Rail,2-23-2026,Weekday,01:53 PM,2Hrs 16Min,8160,704,2023-10-11 05:28 AM,,2023-10-11 5:16 PM,9:22,11.2,,59,2004,O,05:43 AM,I,11:37 AM,5:54,354,1:43,59,2010,O,01:53 PM,I,05:13 PM,3:20,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 59 SCHD: 5:54,--> O: 05:43 AM > I: 11:37 AM,RTE: 59 SCHD: 3:20,--> O: 01:53 PM > I: 05:13 PM,,,,,,,,,,,,,,,,,
Frankford RailWeekday705,Frankford Rail,2-23-2026,Weekday,02:27 PM,5Hrs 24Min,19440,705,2023-10-11 05:37 AM,,2023-10-11 6:27 PM,7:16,9.8,,59,2005,O,05:52 AM,I,09:03 AM,3:11,191,2:17,75,2108,O,02:27 PM,I,06:24 PM,3:57,237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 59 SCHD: 3:11,--> O: 05:52 AM > I: 09:03 AM,RTE: 75 SCHD: 3:57,--> O: 02:27 PM > I: 06:24 PM,,,,,,,,,,,,,,,,,
Frankford RailWeekday706,Frankford Rail,2-23-2026,Weekday,02:36 PM,4Hrs 53Min,17580,706,2023-10-11 06:06 AM,,2023-10-11 6:44 PM,7:35,9.8,,59,2006,O,06:21 AM,I,09:43 AM,3:22,202,2:26,66,2072,O,02:36 PM,I,06:41 PM,4:05,245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 59 SCHD: 3:22,--> O: 06:21 AM > I: 09:43 AM,RTE: 66 SCHD: 4:05,--> O: 02:36 PM > I: 06:41 PM,,,,,,,,,,,,,,,,,
Frankford RailWeekday707,Frankford Rail,2-23-2026,Weekday,,,,707,2023-10-11 10:23 AM,,2023-10-11 8:08 PM,9:35,10.4,,59,2007,O,10:38 AM,I,08:05 PM,9:27,567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 59 SCHD: 9:27,--> O: 10:38 AM > I: 08:05 PM,,,,,,,,,,,,,,,,,,,
Frankford RailWeekday708,Frankford Rail,2-23-2026,Weekday,,,,708,2023-10-11 11:23 AM,,2023-10-11 9:57 PM,10:24,11.6,,59,2008,O,11:38 AM,I,09:54 PM,10:16,616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 59 SCHD: 10:16,--> O: 11:38 AM > I: 09:54 PM,,,,,,,,,,,,,,,,,,,
Frankford RailWeekday709,Frankford Rail,2-23-2026,Weekday,,,,709,2023-10-11 03:39 PM,,2023-10-12 1:59 AM,10:10,11.3,,59,2014,O,03:54 PM,I,01:56 AM,10:02,602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 59 SCHD: 10:02,--> O: 03:54 PM > I: 01:56 AM,,,,,,,,,,,,,,,,,,,
Frankford RailWeekday501,Frankford Rail,2-23-2026,Weekday,,,,501,2023-10-11 12:18 AM,,2023-10-11 8:31 AM,8:03,8.1,,66,2051,O,12:33 AM,I,08:28 AM,7:55,475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 66 SCHD: 7:55,--> O: 12:33 AM > I: 08:28 AM,,,,,,,,,,,,,,,,,,,
