myid,depot,eff_date,day,pullout2,swingdur,swingdursec,runno,start,arrive,finish,worktime,pay,leave,r1,b1,potype1,pot1,pitype1,pit1,stime1,stimeint1,start22,r2,b2,potype2,pot2,pitype2,pit2,stime2,stimeint2,start23,r3,b3,potype3,pot3,pitype3,pit3,stime3,stimeint3,start24,r4,b4,potype4,pot4,pitype4,pit4,stime4,stimeint4,start25,r5,b5,potype5,pot5,pitype5,pit5,stime5,stimeint5,start26,r6,b6,potype6,pot6,pitype6,pit6,stime6,stimeint6,start27,r7,b7,potype7,pot7,pitype7,pit7,stime7,stimeint7,start28,r8,b8,potype8,pot8,pitype8,pit8,stime8,stimeint8,start29,r9,b9,potype9,pot9,pitype9,pit9,stime9,stimeint9,start210,r10,b10,potype10,pot10,pitype10,pit10,stime10,stimeint10,sum1, sum12,sum2, sum22,sum3, sum32,sum4, sum42,sum5, sum52,sum6, sum62,sum7, sum72,sum8, sum82,sum9, sum92,sum10, sum102,
MidvaleSaturday101,Midvale,2-28-2026,Saturday,,,,101,2023-10-11 05:33 AM,,2023-10-11 2:29 PM,8:46,9.2,,2,3475,O,05:48 AM,I,02:27 PM,8:39,519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 2 SCHD: 8:39,--> O: 05:48 AM > I: 02:27 PM,,,,,,,,,,,,,,,,,,,
MidvaleSaturday102,Midvale,2-28-2026,Saturday,,,,102,2023-10-11 06:03 AM,,2023-10-11 4:06 PM,9:53,10.8,,2,3476,O,06:18 AM,CG,01:21 PM,7:03,423,,57,3476,CG,01:21 PM,I,04:04 PM,2:43,163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 2 SCHD: 7:03,--> O: 06:18 AM > CG: 01:21 PM,RTE: 57 SCHD: 2:43,--> CG: 01:21 PM > I: 04:04 PM,,,,,,,,,,,,,,,,,
MidvaleSaturday103,Midvale,2-28-2026,Saturday,,,,103,2023-10-11 02:27 PM,,2023-10-11 10:45 PM,8:08,8.2,,2,3477,O,02:42 PM,CG,05:10 PM,2:28,148,,56,3477,CG,05:10 PM,I,10:43 PM,5:33,333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 2 SCHD: 2:28,--> O: 02:42 PM > CG: 05:10 PM,RTE: 56 SCHD: 5:33,--> CG: 05:10 PM > I: 10:43 PM,,,,,,,,,,,,,,,,,
MidvaleSaturday104,Midvale,2-28-2026,Saturday,,,,104,2023-10-11 04:57 PM,,2023-10-12 2:15 AM,9:08,9.7,,2,3478,O,05:12 PM,I,02:13 AM,9:01,541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 2 SCHD: 9:01,--> O: 05:12 PM > I: 02:13 AM,,,,,,,,,,,,,,,,,,,
MidvaleSaturday105,Midvale,2-28-2026,Saturday,,,,105,2023-10-11 05:27 PM,,2023-10-12 3:20 AM,9:43,10.6,,2,3479,O,05:42 PM,CG,08:47 PM,3:05,185,,23-45,3479,CG,08:47 PM,I,03:18 AM,6:31,391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 2 SCHD: 3:05,--> O: 05:42 PM > CG: 08:47 PM,RTE: 23-45 SCHD: 6:31,--> CG: 08:47 PM > I: 03:18 AM,,,,,,,,,,,,,,,,,
MidvaleSaturday501,Midvale,2-28-2026,Saturday,,,,501,2023-10-11 04:44 AM,,2023-10-11 2:08 PM,9:14,9.9,,4-16,3801,O,04:59 AM,I,02:06 PM,9:07,547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 4-16 SCHD: 9:07,--> O: 04:59 AM > I: 02:06 PM,,,,,,,,,,,,,,,,,,,
MidvaleSaturday502,Midvale,2-28-2026,Saturday,,,,502,2023-10-11 05:11 AM,,2023-10-11 2:05 PM,8:44,9.1,,4-16,3802,O,05:26 AM,CG,08:35 AM,3:09,189,,47,3802,CG,08:35 AM,I,02:03 PM,5:28,328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 4-16 SCHD: 3:09,--> O: 05:26 AM > CG: 08:35 AM,RTE: 47 SCHD: 5:28,--> CG: 08:35 AM > I: 02:03 PM,,,,,,,,,,,,,,,,,
MidvaleSaturday503,Midvale,2-28-2026,Saturday,,,,503,2023-10-11 05:40 AM,,2023-10-11 1:54 PM,8:04,8.1,,4-16,3803,O,05:55 AM,I,01:52 PM,7:57,477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 4-16 SCHD: 7:57,--> O: 05:55 AM > I: 01:52 PM,,,,,,,,,,,,,,,,,,,
MidvaleSaturday504,Midvale,2-28-2026,Saturday,,,,504,2023-10-11 05:41 AM,,2023-10-11 3:36 PM,9:45,10.6,,4-16,3804,O,05:56 AM,I,03:34 PM,9:38,578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 4-16 SCHD: 9:38,--> O: 05:56 AM > I: 03:34 PM,,,,,,,,,,,,,,,,,,,
MidvaleSaturday505,Midvale,2-28-2026,Saturday,,,,505,2023-10-11 06:08 AM,,2023-10-11 4:19 PM,10:01,11.0,,4-16,3805,O,06:23 AM,I,04:17 PM,9:54,594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 4-16 SCHD: 9:54,--> O: 06:23 AM > I: 04:17 PM,,,,,,,,,,,,,,,,,,,
