myid,depot,eff_date,day,pullout2,swingdur,swingdursec,runno,start,arrive,finish,worktime,pay,leave,r1,b1,potype1,pot1,pitype1,pit1,stime1,stimeint1,start22,r2,b2,potype2,pot2,pitype2,pit2,stime2,stimeint2,start23,r3,b3,potype3,pot3,pitype3,pit3,stime3,stimeint3,start24,r4,b4,potype4,pot4,pitype4,pit4,stime4,stimeint4,start25,r5,b5,potype5,pot5,pitype5,pit5,stime5,stimeint5,start26,r6,b6,potype6,pot6,pitype6,pit6,stime6,stimeint6,start27,r7,b7,potype7,pot7,pitype7,pit7,stime7,stimeint7,start28,r8,b8,potype8,pot8,pitype8,pit8,stime8,stimeint8,start29,r9,b9,potype9,pot9,pitype9,pit9,stime9,stimeint9,start210,r10,b10,potype10,pot10,pitype10,pit10,stime10,stimeint10,sum1, sum12,sum2, sum22,sum3, sum32,sum4, sum42,sum5, sum52,sum6, sum62,sum7, sum72,sum8, sum82,sum9, sum92,sum10, sum102,
SouthernSunday351,Southern,02-22-2026,Sunday,,,,351,2023-10-11 04:14 AM,,2023-10-11 2:47 PM,10:23,11.6,,2,7101,O,04:29 AM,I,02:43 PM,10:14,614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 2 SCHD: 10:14,--> O: 04:29 AM > I: 02:43 PM,,,,,,,,,,,,,,,,,,,
SouthernSunday352,Southern,02-22-2026,Sunday,,,,352,2023-10-11 08:09 AM,,2023-10-11 5:46 PM,9:27,10.2,,2,7102,O,08:24 AM,I,05:42 PM,9:18,558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 2 SCHD: 9:18,--> O: 08:24 AM > I: 05:42 PM,,,,,,,,,,,,,,,,,,,
SouthernSunday353,Southern,02-22-2026,Sunday,,,,353,2023-10-11 02:45 PM,,2023-10-12 1:09 AM,10:14,11.4,,2,7103,O,03:00 PM,I,01:05 AM,10:05,605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 2 SCHD: 10:05,--> O: 03:00 PM > I: 01:05 AM,,,,,,,,,,,,,,,,,,,
SouthernSunday354,Southern,02-22-2026,Sunday,,,,354,2023-10-11 05:46 PM,,2023-10-12 3:18 AM,9:22,10.1,,2,7104,O,06:01 PM,I,03:14 AM,9:13,553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 2 SCHD: 9:13,--> O: 06:01 PM > I: 03:14 AM,,,,,,,,,,,,,,,,,,,
SouthernSunday301,Southern,02-22-2026,Sunday,,,,301,2023-10-11 06:22 AM,,2023-10-11 5:20 PM,10:48,12.2,,4-16,7551,O,06:37 AM,CG,08:29 AM,1:52,112,,23-45,7551,CG,08:29 AM,I,05:16 PM,8:47,527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 4-16 SCHD: 1:52,--> O: 06:37 AM > CG: 08:29 AM,RTE: 23-45 SCHD: 8:47,--> CG: 08:29 AM > I: 05:16 PM,,,,,,,,,,,,,,,,,
SouthernSunday302,Southern,02-22-2026,Sunday,,,,302,2023-10-11 07:46 AM,,2023-10-11 5:51 PM,9:55,10.9,,4-16,7552,O,08:01 AM,I,05:47 PM,9:46,586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 4-16 SCHD: 9:46,--> O: 08:01 AM > I: 05:47 PM,,,,,,,,,,,,,,,,,,,
SouthernSunday303,Southern,02-22-2026,Sunday,11:48 AM,0Hrs 33Min,1980,303,2023-10-11 08:42 AM,,2023-10-11 6:15 PM,9:23,10.1,,4-16,7554,O,08:57 AM,I,11:15 AM,2:18,138,,17,7309,O,11:48 AM,I,06:11 PM,6:23,383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 4-16 SCHD: 2:18,--> O: 08:57 AM > I: 11:15 AM,RTE: 17 SCHD: 6:23,--> O: 11:48 AM > I: 06:11 PM,,,,,,,,,,,,,,,,,
SouthernSunday304,Southern,02-22-2026,Sunday,,,,304,2023-10-11 08:15 AM,,2023-10-11 6:17 PM,9:52,10.8,,4-16,7553,O,08:30 AM,I,06:13 PM,9:43,583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 4-16 SCHD: 9:43,--> O: 08:30 AM > I: 06:13 PM,,,,,,,,,,,,,,,,,,,
SouthernSunday305,Southern,02-22-2026,Sunday,,,,305,2023-10-11 11:08 AM,,2023-10-11 9:12 PM,9:54,10.9,,4-16,7555,O,11:23 AM,I,09:08 PM,9:45,585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 4-16 SCHD: 9:45,--> O: 11:23 AM > I: 09:08 PM,,,,,,,,,,,,,,,,,,,
SouthernSunday306,Southern,02-22-2026,Sunday,,,,306,2023-10-11 05:43 PM,,2023-10-12 2:16 AM,8:23,8.6,,4-16,7556,O,05:58 PM,I,02:12 AM,8:14,494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 4-16 SCHD: 8:14,--> O: 05:58 PM > I: 02:12 AM,,,,,,,,,,,,,,,,,,,
