myid,depot,eff_date,day,pullout2,swingdur,swingdursec,runno,start,arrive,finish,worktime,pay,leave,r1,b1,potype1,pot1,pitype1,pit1,stime1,stimeint1,start22,r2,b2,potype2,pot2,pitype2,pit2,stime2,stimeint2,start23,r3,b3,potype3,pot3,pitype3,pit3,stime3,stimeint3,start24,r4,b4,potype4,pot4,pitype4,pit4,stime4,stimeint4,start25,r5,b5,potype5,pot5,pitype5,pit5,stime5,stimeint5,start26,r6,b6,potype6,pot6,pitype6,pit6,stime6,stimeint6,start27,r7,b7,potype7,pot7,pitype7,pit7,stime7,stimeint7,start28,r8,b8,potype8,pot8,pitype8,pit8,stime8,stimeint8,start29,r9,b9,potype9,pot9,pitype9,pit9,stime9,stimeint9,start210,r10,b10,potype10,pot10,pitype10,pit10,stime10,stimeint10,sum1, sum12,sum2, sum22,sum3, sum32,sum4, sum42,sum5, sum52,sum6, sum62,sum7, sum72,sum8, sum82,sum9, sum92,sum10, sum102,
MidvaleSunday101,Midvale,2-22-2026,Sunday,,,,101,2023-10-11 05:32 AM,,2023-10-11 2:28 PM,8:46,9.2,,2,3475,O,05:47 AM,I,02:26 PM,8:39,519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 2 SCHD: 8:39,--> O: 05:47 AM > I: 02:26 PM,,,,,,,,,,,,,,,,,,,
MidvaleSunday102,Midvale,2-22-2026,Sunday,,,,102,2023-10-11 07:59 AM,,2023-10-11 4:25 PM,8:16,8.4,,2,3476,O,08:14 AM,CG,01:11 PM,4:57,297,,71-81,3476,CG,01:11 PM,I,04:23 PM,3:12,192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 2 SCHD: 4:57,--> O: 08:14 AM > CG: 01:11 PM,RTE: 71-81 SCHD: 3:12,--> CG: 01:11 PM > I: 04:23 PM,,,,,,,,,,,,,,,,,
MidvaleSunday103,Midvale,2-22-2026,Sunday,,,,103,2023-10-11 09:59 AM,,2023-10-11 7:57 PM,9:48,10.7,,2,3477,O,10:14 AM,I,07:55 PM,9:41,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 2 SCHD: 9:41,--> O: 10:14 AM > I: 07:55 PM,,,,,,,,,,,,,,,,,,,
MidvaleSunday104,Midvale,2-22-2026,Sunday,,,,104,2023-10-11 12:57 PM,,2023-10-11 10:27 PM,9:20,10.0,,2,3478,O,01:12 PM,I,10:25 PM,9:13,553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 2 SCHD: 9:13,--> O: 01:12 PM > I: 10:25 PM,,,,,,,,,,,,,,,,,,,
MidvaleSunday105,Midvale,2-22-2026,Sunday,,,,105,2023-10-11 02:27 PM,,2023-10-11 10:51 PM,8:14,8.4,,2,3479,O,02:42 PM,CG,05:12 PM,2:30,150,,71-81,3479,CG,05:12 PM,I,10:49 PM,5:37,337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 2 SCHD: 2:30,--> O: 02:42 PM > CG: 05:12 PM,RTE: 71-81 SCHD: 5:37,--> CG: 05:12 PM > I: 10:49 PM,,,,,,,,,,,,,,,,,
MidvaleSunday106,Midvale,2-22-2026,Sunday,,,,106,2023-10-11 04:59 PM,,2023-10-12 2:15 AM,9:06,9.7,,2,3480,O,05:14 PM,I,02:13 AM,8:59,539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 2 SCHD: 8:59,--> O: 05:14 PM > I: 02:13 AM,,,,,,,,,,,,,,,,,,,
MidvaleSunday501,Midvale,2-22-2026,Sunday,,,,501,2023-10-11 04:41 AM,,2023-10-11 1:30 PM,8:39,9.0,,4-16,3801,O,04:56 AM,I,01:28 PM,8:32,512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 4-16 SCHD: 8:32,--> O: 04:56 AM > I: 01:28 PM,,,,,,,,,,,,,,,,,,,
MidvaleSunday502,Midvale,2-22-2026,Sunday,,,,502,2023-10-11 05:10 AM,,2023-10-11 2:01 PM,8:41,9.0,,4-16,3802,O,05:25 AM,I,01:59 PM,8:34,514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 4-16 SCHD: 8:34,--> O: 05:25 AM > I: 01:59 PM,,,,,,,,,,,,,,,,,,,
MidvaleSunday503,Midvale,2-22-2026,Sunday,,,,503,2023-10-11 05:40 AM,,2023-10-11 3:25 PM,9:35,10.4,,4-16,3803,O,05:55 AM,CG,02:37 PM,8:42,522,,71-81,3803,CG,02:37 PM,I,03:23 PM,0:46,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 4-16 SCHD: 8:42,--> O: 05:55 AM > CG: 02:37 PM,RTE: 71-81 SCHD: 0:46,--> CG: 02:37 PM > I: 03:23 PM,,,,,,,,,,,,,,,,,
MidvaleSunday504,Midvale,2-22-2026,Sunday,,,,504,2023-10-11 06:09 AM,,2023-10-11 3:20 PM,9:01,9.5,,4-16,3804,O,06:24 AM,CG,08:58 AM,2:34,154,,71-81,3804,CG,08:58 AM,I,03:18 PM,6:20,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 4-16 SCHD: 2:34,--> O: 06:24 AM > CG: 08:58 AM,RTE: 71-81 SCHD: 6:20,--> CG: 08:58 AM > I: 03:18 PM,,,,,,,,,,,,,,,,,
