myid,depot,eff_date,day,pullout2,swingdur,swingdursec,runno,start,arrive,finish,worktime,pay,leave,r1,b1,potype1,pot1,pitype1,pit1,stime1,stimeint1,start22,r2,b2,potype2,pot2,pitype2,pit2,stime2,stimeint2,start23,r3,b3,potype3,pot3,pitype3,pit3,stime3,stimeint3,start24,r4,b4,potype4,pot4,pitype4,pit4,stime4,stimeint4,start25,r5,b5,potype5,pot5,pitype5,pit5,stime5,stimeint5,start26,r6,b6,potype6,pot6,pitype6,pit6,stime6,stimeint6,start27,r7,b7,potype7,pot7,pitype7,pit7,stime7,stimeint7,start28,r8,b8,potype8,pot8,pitype8,pit8,stime8,stimeint8,start29,r9,b9,potype9,pot9,pitype9,pit9,stime9,stimeint9,start210,r10,b10,potype10,pot10,pitype10,pit10,stime10,stimeint10,sum1, sum12,sum2, sum22,sum3, sum32,sum4, sum42,sum5, sum52,sum6, sum62,sum7, sum72,sum8, sum82,sum9, sum92,sum10, sum102,
MidvaleWeekday101,Midvale,2-23-2026,Weekday,,,,101,2023-10-11 05:04 AM,,2023-10-11 2:40 PM,9:26,10.2,,2,3476,O,05:19 AM,I,02:36 PM,9:17,557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 2 SCHD: 9:17,--> O: 05:19 AM > I: 02:36 PM,,,,,,,,,,,,,,,,,,,
MidvaleWeekday102,Midvale,2-23-2026,Weekday,09:58 AM,0Hrs 52Min,3120,102,2023-10-11 04:30 AM,,2023-10-11 1:29 PM,7:57,8.2,,2,3475,O,04:45 AM,I,09:06 AM,4:21,261,9:48,56,3614,O,09:58 AM,I,01:25 PM,3:27,207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 2 SCHD: 4:21,--> O: 04:45 AM > I: 09:06 AM,RTE: 56 SCHD: 3:27,--> O: 09:58 AM > I: 01:25 PM,,,,,,,,,,,,,,,,,
MidvaleWeekday103,Midvale,2-23-2026,Weekday,12:58 PM,3Hrs 14Min,11640,103,2023-10-11 05:20 AM,,2023-10-11 5:53 PM,9:09,11.8,,2,3477,O,05:35 AM,I,09:44 AM,4:09,249,12:48,61-62,3716,O,12:58 PM,I,05:49 PM,4:51,291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 2 SCHD: 4:09,--> O: 05:35 AM > I: 09:44 AM,RTE: 61-62 SCHD: 4:51,--> O: 12:58 PM > I: 05:49 PM,,,,,,,,,,,,,,,,,
MidvaleWeekday104,Midvale,2-23-2026,Weekday,01:27 PM,2Hrs 58Min,10680,104,2023-10-11 05:33 AM,,2023-10-11 6:08 PM,9:27,12.3,,2,3478,O,05:48 AM,I,10:29 AM,4:41,281,1:17,22,3253,O,01:27 PM,CG,05:00 PM,3:33,213,,18,3253,CG,05:00 PM,I,06:04 PM,1:04,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 2 SCHD: 4:41,--> O: 05:48 AM > I: 10:29 AM,RTE: 22 SCHD: 3:33,--> O: 01:27 PM > CG: 05:00 PM,RTE: 18 SCHD: 1:04,--> CG: 05:00 PM > I: 06:04 PM,,,,,,,,,,,,,,,
MidvaleWeekday105,Midvale,2-23-2026,Weekday,03:19 PM,1Hrs 44Min,6240,105,2023-10-11 06:12 AM,,2023-10-11 6:12 PM,10:06,12.5,,2,3480,O,06:27 AM,I,01:35 PM,7:08,428,3:09,26,3115,O,03:19 PM,I,06:08 PM,2:49,169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 2 SCHD: 7:08,--> O: 06:27 AM > I: 01:35 PM,RTE: 26 SCHD: 2:49,--> O: 03:19 PM > I: 06:08 PM,,,,,,,,,,,,,,,,,
MidvaleWeekday106,Midvale,2-23-2026,Weekday,11:52 AM,3Hrs 39Min,13140,106,2023-10-11 05:47 AM,,2023-10-11 6:25 PM,8:49,11.4,,2,3479,O,06:02 AM,I,08:13 AM,2:11,131,11:42,89,3458,O,11:52 AM,I,06:21 PM,6:29,389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 2 SCHD: 2:11,--> O: 06:02 AM > I: 08:13 AM,RTE: 89 SCHD: 6:29,--> O: 11:52 AM > I: 06:21 PM,,,,,,,,,,,,,,,,,
MidvaleWeekday107,Midvale,2-23-2026,Weekday,02:41 PM,3Hrs 8Min,11280,107,2023-10-11 06:32 AM,,2023-10-11 7:11 PM,9:21,12.2,,2,3481,O,06:47 AM,I,11:33 AM,4:46,286,2:31,53,3437,O,02:41 PM,I,07:07 PM,4:26,266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 2 SCHD: 4:46,--> O: 06:47 AM > I: 11:33 AM,RTE: 53 SCHD: 4:26,--> O: 02:41 PM > I: 07:07 PM,,,,,,,,,,,,,,,,,
MidvaleWeekday108,Midvale,2-23-2026,Weekday,,,,108,2023-10-11 11:27 AM,,2023-10-11 9:16 PM,9:39,10.5,,2,3482,O,11:42 AM,I,09:12 PM,9:30,570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 2 SCHD: 9:30,--> O: 11:42 AM > I: 09:12 PM,,,,,,,,,,,,,,,,,,,
MidvaleWeekday109,Midvale,2-23-2026,Weekday,,,,109,2023-10-11 03:53 PM,,2023-10-12 12:53 AM,8:50,9.3,,2,3486,O,04:08 PM,I,12:49 AM,8:41,521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 2 SCHD: 8:41,--> O: 04:08 PM > I: 12:49 AM,,,,,,,,,,,,,,,,,,,
MidvaleWeekday110,Midvale,2-23-2026,Weekday,,,,110,2023-10-11 05:46 PM,,2023-10-12 2:17 AM,8:21,8.5,,2,3487,O,06:01 PM,I,02:13 AM,8:12,492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 2 SCHD: 8:12,--> O: 06:01 PM > I: 02:13 AM,,,,,,,,,,,,,,,,,,,
MidvaleWeekday513,Midvale,2-23-2026,Weekday,,,,513,2023-10-11 11:13 AM,,2023-10-11 8:43 PM,9:20,10.0,,4-16,3811,O,11:28 AM,CG,05:45 PM,6:17,377,,57,3811,CG,05:45 PM,I,08:39 PM,2:54,174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 4-16 SCHD: 6:17,--> O: 11:28 AM > CG: 05:45 PM,RTE: 57 SCHD: 2:54,--> CG: 05:45 PM > I: 08:39 PM,,,,,,,,,,,,,,,,,
MidvaleWeekday514,Midvale,2-23-2026,Weekday,,,,514,2023-10-11 03:27 PM,,2023-10-12 1:23 AM,9:56,10.9,,4-16,3815,RN,03:52 PM,I,01:19 AM,9:27,567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 4-16 SCHD: 9:27,--> RN: 03:52 PM > I: 01:19 AM,,,,,,,,,,,,,,,,,,,
MidvaleWeekday515,Midvale,2-23-2026,Weekday,,,,515,2023-10-11 04:15 PM,,2023-10-12 2:03 AM,9:48,10.7,,4-16,3817,RN,04:40 PM,I,01:59 AM,9:19,559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 4-16 SCHD: 9:19,--> RN: 04:40 PM > I: 01:59 AM,,,,,,,,,,,,,,,,,,,
MidvaleWeekday516,Midvale,2-23-2026,Weekday,,,,516,2023-10-11 04:19 PM,,2023-10-12 2:42 AM,10:13,11.3,,4-16,3818,O,04:34 PM,I,02:38 AM,10:04,604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 4-16 SCHD: 10:04,--> O: 04:34 PM > I: 02:38 AM,,,,,,,,,,,,,,,,,,,
MidvaleWeekday1,Midvale,2-23-2026,Weekday,,,,1,2023-10-11 02:35 AM,,2023-10-11 11:37 AM,8:52,9.3,,18,3001,O,02:50 AM,I,11:33 AM,8:43,523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 18 SCHD: 8:43,--> O: 02:50 AM > I: 11:33 AM,,,,,,,,,,,,,,,,,,,
