myid,runno,depot,page_1,page,day,moblink,pclink,Trip Sheet
SouthernWeekday1,1,Southern,1 of 2,1,Weekday,https://www4.septa.org/picking/pdf/fall-a-2026/southern/paddles/weekday-paddles.pdf#page=1,https://www4.septa.org/picking/pdf/fall-a-2026/southern/paddles/weekday-paddles#page=1.pdf,https://www4.septa.org/picking/pdf/fall-a-2026/southern/trip-sheets/weekday-trip-sheets.pdf
SouthernWeekday2,2,Southern,1 of 2,3,Weekday,https://www4.septa.org/picking/pdf/fall-a-2026/southern/paddles/weekday-paddles.pdf#page=3,https://www4.septa.org/picking/pdf/fall-a-2026/southern/paddles/weekday-paddles#page=3.pdf,https://www4.septa.org/picking/pdf/fall-a-2026/southern/trip-sheets/weekday-trip-sheets.pdf
SouthernWeekday3,3,Southern,1 of 2,5,Weekday,https://www4.septa.org/picking/pdf/fall-a-2026/southern/paddles/weekday-paddles.pdf#page=5,https://www4.septa.org/picking/pdf/fall-a-2026/southern/paddles/weekday-paddles#page=5.pdf,https://www4.septa.org/picking/pdf/fall-a-2026/southern/trip-sheets/weekday-trip-sheets.pdf
SouthernWeekday4,4,Southern,1 of 3,7,Weekday,https://www4.septa.org/picking/pdf/fall-a-2026/southern/paddles/weekday-paddles.pdf#page=7,https://www4.septa.org/picking/pdf/fall-a-2026/southern/paddles/weekday-paddles#page=7.pdf,https://www4.septa.org/picking/pdf/fall-a-2026/southern/trip-sheets/weekday-trip-sheets.pdf
SouthernWeekday5,5,Southern,1 of 2,10,Weekday,https://www4.septa.org/picking/pdf/fall-a-2026/southern/paddles/weekday-paddles.pdf#page=10,https://www4.septa.org/picking/pdf/fall-a-2026/southern/paddles/weekday-paddles#page=10.pdf,https://www4.septa.org/picking/pdf/fall-a-2026/southern/trip-sheets/weekday-trip-sheets.pdf
SouthernWeekday6,6,Southern,1 of 3,12,Weekday,https://www4.septa.org/picking/pdf/fall-a-2026/southern/paddles/weekday-paddles.pdf#page=12,https://www4.septa.org/picking/pdf/fall-a-2026/southern/paddles/weekday-paddles#page=12.pdf,https://www4.septa.org/picking/pdf/fall-a-2026/southern/trip-sheets/weekday-trip-sheets.pdf
SouthernWeekday7,7,Southern,1 of 2,15,Weekday,https://www4.septa.org/picking/pdf/fall-a-2026/southern/paddles/weekday-paddles.pdf#page=15,https://www4.septa.org/picking/pdf/fall-a-2026/southern/paddles/weekday-paddles#page=15.pdf,https://www4.septa.org/picking/pdf/fall-a-2026/southern/trip-sheets/weekday-trip-sheets.pdf
SouthernWeekday8,8,Southern,1 of 2,17,Weekday,https://www4.septa.org/picking/pdf/fall-a-2026/southern/paddles/weekday-paddles.pdf#page=17,https://www4.septa.org/picking/pdf/fall-a-2026/southern/paddles/weekday-paddles#page=17.pdf,https://www4.septa.org/picking/pdf/fall-a-2026/southern/trip-sheets/weekday-trip-sheets.pdf
SouthernWeekday9,9,Southern,1 of 2,19,Weekday,https://www4.septa.org/picking/pdf/fall-a-2026/southern/paddles/weekday-paddles.pdf#page=19,https://www4.septa.org/picking/pdf/fall-a-2026/southern/paddles/weekday-paddles#page=19.pdf,https://www4.septa.org/picking/pdf/fall-a-2026/southern/trip-sheets/weekday-trip-sheets.pdf
SouthernWeekday10,10,Southern,1 of 2,21,Weekday,https://www4.septa.org/picking/pdf/fall-a-2026/southern/paddles/weekday-paddles.pdf#page=21,https://www4.septa.org/picking/pdf/fall-a-2026/southern/paddles/weekday-paddles#page=21.pdf,https://www4.septa.org/picking/pdf/fall-a-2026/southern/trip-sheets/weekday-trip-sheets.pdf
SouthernWeekday11,11,Southern,1 of 3,23,Weekday,https://www4.septa.org/picking/pdf/fall-a-2026/southern/paddles/weekday-paddles.pdf#page=23,https://www4.septa.org/picking/pdf/fall-a-2026/southern/paddles/weekday-paddles#page=23.pdf,https://www4.septa.org/picking/pdf/fall-a-2026/southern/trip-sheets/weekday-trip-sheets.pdf
SouthernWeekday12,12,Southern,1 of 2,26,Weekday,https://www4.septa.org/picking/pdf/fall-a-2026/southern/paddles/weekday-paddles.pdf#page=26,https://www4.septa.org/picking/pdf/fall-a-2026/southern/paddles/weekday-paddles#page=26.pdf,https://www4.septa.org/picking/pdf/fall-a-2026/southern/trip-sheets/weekday-trip-sheets.pdf
SouthernWeekday13,13,Southern,1 of 2,28,Weekday,https://www4.septa.org/picking/pdf/fall-a-2026/southern/paddles/weekday-paddles.pdf#page=28,https://www4.septa.org/picking/pdf/fall-a-2026/southern/paddles/weekday-paddles#page=28.pdf,https://www4.septa.org/picking/pdf/fall-a-2026/southern/trip-sheets/weekday-trip-sheets.pdf
SouthernWeekday14,14,Southern,1 of 2,30,Weekday,https://www4.septa.org/picking/pdf/fall-a-2026/southern/paddles/weekday-paddles.pdf#page=30,https://www4.septa.org/picking/pdf/fall-a-2026/southern/paddles/weekday-paddles#page=30.pdf,https://www4.septa.org/picking/pdf/fall-a-2026/southern/trip-sheets/weekday-trip-sheets.pdf
