myid,depot,eff_date,day,pullout2,swingdur,swingdursec,runno,start,arrive,finish,worktime,pay,leave,r1,b1,potype1,pot1,pitype1,pit1,stime1,stimeint1,start22,r2,b2,potype2,pot2,pitype2,pit2,stime2,stimeint2,start23,r3,b3,potype3,pot3,pitype3,pit3,stime3,stimeint3,start24,r4,b4,potype4,pot4,pitype4,pit4,stime4,stimeint4,start25,r5,b5,potype5,pot5,pitype5,pit5,stime5,stimeint5,start26,r6,b6,potype6,pot6,pitype6,pit6,stime6,stimeint6,start27,r7,b7,potype7,pot7,pitype7,pit7,stime7,stimeint7,start28,r8,b8,potype8,pot8,pitype8,pit8,stime8,stimeint8,start29,r9,b9,potype9,pot9,pitype9,pit9,stime9,stimeint9,start210,r10,b10,potype10,pot10,pitype10,pit10,stime10,stimeint10,sum1, sum12,sum2, sum22,sum3, sum32,sum4, sum42,sum5, sum52,sum6, sum62,sum7, sum72,sum8, sum82,sum9, sum92,sum10, sum102,
Southernsaturday351,Southern,08-29-2026,saturday,,,,351,2023-10-11 04:15 AM,,2023-10-11 12:17 PM,7:52,8.0,,2,7101,O,04:30 AM,I,12:13 PM,7:43,463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 2 SCHD: 7:43,--> O: 04:30 AM > I: 12:13 PM,,,,,,,,,,,,,,,,,,,
Southernsaturday352,Southern,08-29-2026,saturday,,,,352,2023-10-11 08:08 AM,,2023-10-11 5:47 PM,9:29,10.2,,2,7102,O,08:23 AM,I,05:43 PM,9:20,560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 2 SCHD: 9:20,--> O: 08:23 AM > I: 05:43 PM,,,,,,,,,,,,,,,,,,,
Southernsaturday353,Southern,08-29-2026,saturday,,,,353,2023-10-11 12:14 PM,,2023-10-11 9:35 PM,9:11,9.8,,2,7103,O,12:29 PM,CG,03:21 PM,2:52,172,,7,7103,CG,03:21 PM,I,09:31 PM,6:10,370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 2 SCHD: 2:52,--> O: 12:29 PM > CG: 03:21 PM,RTE: 7 SCHD: 6:10,--> CG: 03:21 PM > I: 09:31 PM,,,,,,,,,,,,,,,,,
Southernsaturday354,Southern,08-29-2026,saturday,,,,354,2023-10-11 05:11 PM,,2023-10-12 1:09 AM,7:48,8.0,,2,7104,O,05:26 PM,I,01:05 AM,7:39,459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 2 SCHD: 7:39,--> O: 05:26 PM > I: 01:05 AM,,,,,,,,,,,,,,,,,,,
Southernsaturday355,Southern,08-29-2026,saturday,,,,355,2023-10-11 05:42 PM,,2023-10-12 3:18 AM,9:26,10.2,,2,7105,O,05:57 PM,I,03:14 AM,9:17,557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 2 SCHD: 9:17,--> O: 05:57 PM > I: 03:14 AM,,,,,,,,,,,,,,,,,,,
Southernsaturday301,Southern,08-29-2026,saturday,,,,301,2023-10-11 06:51 AM,,2023-10-11 5:56 PM,10:55,12.4,,4-16,7551,O,07:06 AM,I,05:52 PM,10:46,646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 4-16 SCHD: 10:46,--> O: 07:06 AM > I: 05:52 PM,,,,,,,,,,,,,,,,,,,
Southernsaturday302,Southern,08-29-2026,saturday,03:04 PM,0Hrs 40Min,2400,302,2023-10-11 08:18 AM,,2023-10-11 5:36 PM,9:08,9.7,,4-16,7552,O,08:33 AM,I,02:24 PM,5:51,351,,64,7412,O,03:04 PM,I,05:32 PM,2:28,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 4-16 SCHD: 5:51,--> O: 08:33 AM > I: 02:24 PM,RTE: 64 SCHD: 2:28,--> O: 03:04 PM > I: 05:32 PM,,,,,,,,,,,,,,,,,
Southernsaturday303,Southern,08-29-2026,saturday,,,,303,2023-10-11 10:46 AM,,2023-10-11 7:51 PM,8:55,9.4,,4-16,7553,O,11:01 AM,I,07:47 PM,8:46,526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 4-16 SCHD: 8:46,--> O: 11:01 AM > I: 07:47 PM,,,,,,,,,,,,,,,,,,,
Southernsaturday304,Southern,08-29-2026,saturday,,,,304,2023-10-11 02:13 PM,,2023-10-11 10:41 PM,8:18,8.5,,4-16,7554,O,02:28 PM,I,10:37 PM,8:09,489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 4-16 SCHD: 8:09,--> O: 02:28 PM > I: 10:37 PM,,,,,,,,,,,,,,,,,,,
Southernsaturday751,Southern,08-29-2026,saturday,,,,751,2023-10-11 04:58 AM,,2023-10-11 1:06 PM,7:58,8.0,,7,7201,O,05:13 AM,I,01:02 PM,7:49,469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 7 SCHD: 7:49,--> O: 05:13 AM > I: 01:02 PM,,,,,,,,,,,,,,,,,,,
Southernsaturday752,Southern,08-29-2026,saturday,,,,752,2023-10-11 06:49 AM,,2023-10-11 4:02 PM,9:03,9.6,,7,7202,O,07:04 AM,I,03:58 PM,8:54,534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 7 SCHD: 8:54,--> O: 07:04 AM > I: 03:58 PM,,,,,,,,,,,,,,,,,,,
Southernsaturday753,Southern,08-29-2026,saturday,,,,753,2023-10-11 07:29 AM,,2023-10-11 6:10 PM,10:31,11.8,,7,7203,O,07:44 AM,CG,03:43 PM,7:59,479,,37,7203,CG,03:43 PM,I,06:06 PM,2:23,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 7 SCHD: 7:59,--> O: 07:44 AM > CG: 03:43 PM,RTE: 37 SCHD: 2:23,--> CG: 03:43 PM > I: 06:06 PM,,,,,,,,,,,,,,,,,
Southernsaturday754,Southern,08-29-2026,saturday,,,,754,2023-10-11 07:43 AM,,2023-10-11 6:22 PM,10:29,11.7,,7,7204,O,07:58 AM,I,06:18 PM,10:20,620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 7 SCHD: 10:20,--> O: 07:58 AM > I: 06:18 PM,,,,,,,,,,,,,,,,,,,
Southernsaturday755,Southern,08-29-2026,saturday,,,,755,2023-10-11 07:49 AM,,2023-10-11 5:22 PM,9:23,10.1,,7,7205,O,08:04 AM,I,05:18 PM,9:14,554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 7 SCHD: 9:14,--> O: 08:04 AM > I: 05:18 PM,,,,,,,,,,,,,,,,,,,
Southernsaturday756,Southern,08-29-2026,saturday,,,,756,2023-10-11 08:28 AM,,2023-10-11 4:26 PM,7:48,8.0,,7,7207,O,08:43 AM,I,04:22 PM,7:39,459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 7 SCHD: 7:39,--> O: 08:43 AM > I: 04:22 PM,,,,,,,,,,,,,,,,,,,
Southernsaturday757,Southern,08-29-2026,saturday,,,,757,2023-10-11 08:25 AM,,2023-10-11 7:07 PM,10:32,11.8,,7,7206,O,08:40 AM,I,07:03 PM,10:23,623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 7 SCHD: 10:23,--> O: 08:40 AM > I: 07:03 PM,,,,,,,,,,,,,,,,,,,
Southernsaturday758,Southern,08-29-2026,saturday,,,,758,2023-10-11 09:03 AM,,2023-10-11 7:24 PM,10:11,11.3,,7,7208,O,09:18 AM,CG,02:28 PM,5:10,310,,37,7208,CG,02:28 PM,I,07:20 PM,4:52,292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 7 SCHD: 5:10,--> O: 09:18 AM > CG: 02:28 PM,RTE: 37 SCHD: 4:52,--> CG: 02:28 PM > I: 07:20 PM,,,,,,,,,,,,,,,,,
Southernsaturday759,Southern,08-29-2026,saturday,,,,759,2023-10-11 10:42 AM,,2023-10-11 8:29 PM,9:37,10.4,,7,7209,O,10:57 AM,I,08:25 PM,9:28,568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 7 SCHD: 9:28,--> O: 10:57 AM > I: 08:25 PM,,,,,,,,,,,,,,,,,,,
Southernsaturday760,Southern,08-29-2026,saturday,,,,760,2023-10-11 11:30 AM,,2023-10-11 8:56 PM,9:16,9.9,,7,7210,O,11:45 AM,CG,06:15 PM,6:30,390,,63,7210,CG,06:15 PM,I,08:52 PM,2:37,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 7 SCHD: 6:30,--> O: 11:45 AM > CG: 06:15 PM,RTE: 63 SCHD: 2:37,--> CG: 06:15 PM > I: 08:52 PM,,,,,,,,,,,,,,,,,
Southernsaturday761,Southern,08-29-2026,saturday,,,,761,2023-10-11 01:29 PM,,2023-10-11 9:38 PM,7:59,8.0,,7,7211,O,01:44 PM,I,09:34 PM,7:50,470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 7 SCHD: 7:50,--> O: 01:44 PM > I: 09:34 PM,,,,,,,,,,,,,,,,,,,
Southernsaturday762,Southern,08-29-2026,saturday,,,,762,2023-10-11 03:50 PM,,2023-10-12 2:10 AM,10:10,11.3,,7,7212,O,04:05 PM,I,02:06 AM,10:01,601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 7 SCHD: 10:01,--> O: 04:05 PM > I: 02:06 AM,,,,,,,,,,,,,,,,,,,
Southernsaturday763,Southern,08-29-2026,saturday,,,,763,2023-10-11 05:31 PM,,2023-10-12 2:16 AM,8:35,8.9,,7,7213,O,05:46 PM,I,02:12 AM,8:26,506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 7 SCHD: 8:26,--> O: 05:46 PM > I: 02:12 AM,,,,,,,,,,,,,,,,,,,
Southernsaturday901,Southern,08-29-2026,saturday,,,,901,2023-10-11 05:26 AM,,2023-10-11 3:53 PM,10:17,11.4,,12,7251,O,05:41 AM,I,03:49 PM,10:08,608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 12 SCHD: 10:08,--> O: 05:41 AM > I: 03:49 PM,,,,,,,,,,,,,,,,,,,
Southernsaturday902,Southern,08-29-2026,saturday,,,,902,2023-10-11 06:55 AM,,2023-10-11 2:53 PM,7:48,8.0,,12,7252,O,07:10 AM,I,02:49 PM,7:39,459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 12 SCHD: 7:39,--> O: 07:10 AM > I: 02:49 PM,,,,,,,,,,,,,,,,,,,
Southernsaturday903,Southern,08-29-2026,saturday,,,,903,2023-10-11 07:24 AM,,2023-10-11 4:53 PM,9:19,10.0,,12,7253,O,07:39 AM,I,04:49 PM,9:10,550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 12 SCHD: 9:10,--> O: 07:39 AM > I: 04:49 PM,,,,,,,,,,,,,,,,,,,
Southernsaturday904,Southern,08-29-2026,saturday,,,,904,2023-10-11 03:18 PM,,2023-10-12 12:26 AM,8:58,9.5,,12,7254,O,03:33 PM,CG,10:20 PM,6:47,407,,23-45,7254,CG,10:20 PM,I,12:22 AM,2:02,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 12 SCHD: 6:47,--> O: 03:33 PM > CG: 10:20 PM,RTE: 23-45 SCHD: 2:02,--> CG: 10:20 PM > I: 12:22 AM,,,,,,,,,,,,,,,,,
Southernsaturday905,Southern,08-29-2026,saturday,,,,905,2023-10-11 04:18 PM,,2023-10-12 1:39 AM,9:11,9.8,,12,7255,O,04:33 PM,I,01:35 AM,9:02,542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 12 SCHD: 9:02,--> O: 04:33 PM > I: 01:35 AM,,,,,,,,,,,,,,,,,,,
Southernsaturday201,Southern,08-29-2026,saturday,,,,201,2023-10-11 12:12 AM,,2023-10-11 10:04 AM,9:42,10.6,,17,7301,O,12:27 AM,I,10:00 AM,9:33,573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 17 SCHD: 9:33,--> O: 12:27 AM > I: 10:00 AM,,,,,,,,,,,,,,,,,,,
Southernsaturday202,Southern,08-29-2026,saturday,,,,202,2023-10-11 07:19 AM,,2023-10-11 3:54 PM,8:25,8.6,,17,7302,O,07:34 AM,I,03:50 PM,8:16,496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 17 SCHD: 8:16,--> O: 07:34 AM > I: 03:50 PM,,,,,,,,,,,,,,,,,,,
Southernsaturday203,Southern,08-29-2026,saturday,,,,203,2023-10-11 07:49 AM,,2023-10-11 6:22 PM,10:23,11.6,,17,7303,O,08:04 AM,I,06:18 PM,10:14,614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 17 SCHD: 10:14,--> O: 08:04 AM > I: 06:18 PM,,,,,,,,,,,,,,,,,,,
Southernsaturday204,Southern,08-29-2026,saturday,,,,204,2023-10-11 08:04 AM,,2023-10-11 4:24 PM,8:10,8.3,,17,7304,O,08:19 AM,I,04:20 PM,8:01,481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 17 SCHD: 8:01,--> O: 08:19 AM > I: 04:20 PM,,,,,,,,,,,,,,,,,,,
Southernsaturday205,Southern,08-29-2026,saturday,,,,205,2023-10-11 08:33 AM,,2023-10-11 5:09 PM,8:26,8.7,,17,7305,O,08:48 AM,I,05:05 PM,8:17,497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 17 SCHD: 8:17,--> O: 08:48 AM > I: 05:05 PM,,,,,,,,,,,,,,,,,,,
