myid,depot,eff_date,day,pullout2,swingdur,swingdursec,runno,start,arrive,finish,worktime,pay,leave,r1,b1,potype1,pot1,pitype1,pit1,stime1,stimeint1,start22,r2,b2,potype2,pot2,pitype2,pit2,stime2,stimeint2,start23,r3,b3,potype3,pot3,pitype3,pit3,stime3,stimeint3,start24,r4,b4,potype4,pot4,pitype4,pit4,stime4,stimeint4,start25,r5,b5,potype5,pot5,pitype5,pit5,stime5,stimeint5,start26,r6,b6,potype6,pot6,pitype6,pit6,stime6,stimeint6,start27,r7,b7,potype7,pot7,pitype7,pit7,stime7,stimeint7,start28,r8,b8,potype8,pot8,pitype8,pit8,stime8,stimeint8,start29,r9,b9,potype9,pot9,pitype9,pit9,stime9,stimeint9,start210,r10,b10,potype10,pot10,pitype10,pit10,stime10,stimeint10,sum1, sum12,sum2, sum22,sum3, sum32,sum4, sum42,sum5, sum52,sum6, sum62,sum7, sum72,sum8, sum82,sum9, sum92,sum10, sum102,
Southernsunday351,Southern,08-23-2026,sunday,,,,351,2023-10-11 04:14 AM,,2023-10-11 2:47 PM,10:23,11.6,,2,7101,O,04:29 AM,I,02:43 PM,10:14,614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 2 SCHD: 10:14,--> O: 04:29 AM > I: 02:43 PM,,,,,,,,,,,,,,,,,,,
Southernsunday352,Southern,08-23-2026,sunday,,,,352,2023-10-11 08:09 AM,,2023-10-11 5:46 PM,9:27,10.2,,2,7102,O,08:24 AM,I,05:42 PM,9:18,558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 2 SCHD: 9:18,--> O: 08:24 AM > I: 05:42 PM,,,,,,,,,,,,,,,,,,,
Southernsunday353,Southern,08-23-2026,sunday,,,,353,2023-10-11 02:45 PM,,2023-10-12 1:09 AM,10:14,11.4,,2,7103,O,03:00 PM,I,01:05 AM,10:05,605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 2 SCHD: 10:05,--> O: 03:00 PM > I: 01:05 AM,,,,,,,,,,,,,,,,,,,
Southernsunday354,Southern,08-23-2026,sunday,,,,354,2023-10-11 05:46 PM,,2023-10-12 3:18 AM,9:22,10.1,,2,7104,O,06:01 PM,I,03:14 AM,9:13,553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 2 SCHD: 9:13,--> O: 06:01 PM > I: 03:14 AM,,,,,,,,,,,,,,,,,,,
Southernsunday301,Southern,08-23-2026,sunday,,,,301,2023-10-11 07:53 AM,,2023-10-11 4:53 PM,8:50,9.3,,4-16,7551,O,08:08 AM,I,04:49 PM,8:41,521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 4-16 SCHD: 8:41,--> O: 08:08 AM > I: 04:49 PM,,,,,,,,,,,,,,,,,,,
Southernsunday302,Southern,08-23-2026,sunday,,,,302,2023-10-11 07:55 AM,,2023-10-11 5:52 PM,9:47,10.7,,4-16,7552,O,08:10 AM,I,05:48 PM,9:38,578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 4-16 SCHD: 9:38,--> O: 08:10 AM > I: 05:48 PM,,,,,,,,,,,,,,,,,,,
Southernsunday303,Southern,08-23-2026,sunday,03:35 PM,0Hrs 46Min,2760,303,2023-10-11 08:51 AM,,2023-10-11 6:11 PM,9:10,9.8,,4-16,7554,O,09:06 AM,I,02:49 PM,5:43,343,,37,7358,O,03:35 PM,I,06:07 PM,2:32,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 4-16 SCHD: 5:43,--> O: 09:06 AM > I: 02:49 PM,RTE: 37 SCHD: 2:32,--> O: 03:35 PM > I: 06:07 PM,,,,,,,,,,,,,,,,,
Southernsunday304,Southern,08-23-2026,sunday,,,,304,2023-10-11 08:23 AM,,2023-10-11 7:17 PM,10:44,12.1,,4-16,7553,O,08:38 AM,I,07:13 PM,10:35,635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 4-16 SCHD: 10:35,--> O: 08:38 AM > I: 07:13 PM,,,,,,,,,,,,,,,,,,,
Southernsunday305,Southern,08-23-2026,sunday,,,,305,2023-10-11 02:47 PM,,2023-10-12 1:53 AM,10:56,12.4,,4-16,7555,O,03:02 PM,I,01:49 AM,10:47,647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 4-16 SCHD: 10:47,--> O: 03:02 PM > I: 01:49 AM,,,,,,,,,,,,,,,,,,,
Southernsunday751,Southern,08-23-2026,sunday,,,,751,2023-10-11 04:59 AM,,2023-10-11 1:44 PM,8:35,8.9,,7,7201,O,05:14 AM,I,01:40 PM,8:26,506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 7 SCHD: 8:26,--> O: 05:14 AM > I: 01:40 PM,,,,,,,,,,,,,,,,,,,
