myid,depot,eff_date,day,pullout2,swingdur,swingdursec,runno,start,arrive,finish,worktime,pay,leave,r1,b1,potype1,pot1,pitype1,pit1,stime1,stimeint1,start22,r2,b2,potype2,pot2,pitype2,pit2,stime2,stimeint2,start23,r3,b3,potype3,pot3,pitype3,pit3,stime3,stimeint3,start24,r4,b4,potype4,pot4,pitype4,pit4,stime4,stimeint4,start25,r5,b5,potype5,pot5,pitype5,pit5,stime5,stimeint5,start26,r6,b6,potype6,pot6,pitype6,pit6,stime6,stimeint6,start27,r7,b7,potype7,pot7,pitype7,pit7,stime7,stimeint7,start28,r8,b8,potype8,pot8,pitype8,pit8,stime8,stimeint8,start29,r9,b9,potype9,pot9,pitype9,pit9,stime9,stimeint9,start210,r10,b10,potype10,pot10,pitype10,pit10,stime10,stimeint10,sum1, sum12,sum2, sum22,sum3, sum32,sum4, sum42,sum5, sum52,sum6, sum62,sum7, sum72,sum8, sum82,sum9, sum92,sum10, sum102,
Southernweekday351,Southern,08-24-2026,weekday,,,,351,2023-10-11 04:58 AM,,2023-10-11 2:28 PM,9:20,10.0,,2,7101,O,05:13 AM,I,02:23 PM,9:10,550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 2 SCHD: 9:10,--> O: 05:13 AM > I: 02:23 PM,,,,,,,,,,,,,,,,,,,
Southernweekday352,Southern,08-24-2026,weekday,,,,352,2023-10-11 06:26 AM,4:17,2023-10-11 4:17 PM,9:41,10.5,,2,7102,O,06:41 AM,RS,04:16 PM,9:35,575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 2 SCHD: 9:35,--> O: 06:41 AM > RS: 04:16 PM,,,,,,,,,,,,,,,,,,,
Southernweekday353,Southern,08-24-2026,weekday,04:16 PM,2Hrs 33Min,9180,353,2023-10-11 06:35 AM,,2023-10-11 6:49 PM,9:32,11.9,,2,7103,O,06:50 AM,I,01:43 PM,6:53,413,4:15,2,7102,RN,04:16 PM,I,06:44 PM,2:28,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 2 SCHD: 6:53,--> O: 06:50 AM > I: 01:43 PM,RTE: 2 SCHD: 2:28,--> RN: 04:16 PM > I: 06:44 PM,,,,,,,,,,,,,,,,,
Southernweekday354,Southern,08-24-2026,weekday,03:04 PM,3Hrs 21Min,12060,354,2023-10-11 07:05 AM,,2023-10-11 7:13 PM,8:37,10.4,,2,7104,O,07:20 AM,I,11:43 AM,4:23,263,2:54,29,7513,O,03:04 PM,I,07:08 PM,4:04,244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 2 SCHD: 4:23,--> O: 07:20 AM > I: 11:43 AM,RTE: 29 SCHD: 4:04,--> O: 03:04 PM > I: 07:08 PM,,,,,,,,,,,,,,,,,
Southernweekday355,Southern,08-24-2026,weekday,,,,355,2023-10-11 11:35 AM,,2023-10-11 8:36 PM,8:51,9.3,,2,7105,O,11:50 AM,CG,02:48 PM,2:58,178,,47,7105,CG,02:48 PM,I,08:31 PM,5:43,343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 2 SCHD: 2:58,--> O: 11:50 AM > CG: 02:48 PM,RTE: 47 SCHD: 5:43,--> CG: 02:48 PM > I: 08:31 PM,,,,,,,,,,,,,,,,,
Southernweekday356,Southern,08-24-2026,weekday,,,,356,2023-10-11 02:37 PM,,2023-10-12 1:16 AM,10:29,11.7,,2,7110,O,02:52 PM,CG,04:26 PM,1:34,94,,47,7110,CG,04:26 PM,I,01:11 AM,8:45,525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 2 SCHD: 1:34,--> O: 02:52 PM > CG: 04:26 PM,RTE: 47 SCHD: 8:45,--> CG: 04:26 PM > I: 01:11 AM,,,,,,,,,,,,,,,,,
Southernweekday357,Southern,08-24-2026,weekday,,,,357,2023-10-11 06:15 PM,,2023-10-12 3:19 AM,8:54,9.4,,2,7112,O,06:30 PM,I,03:14 AM,8:44,524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 2 SCHD: 8:44,--> O: 06:30 PM > I: 03:14 AM,,,,,,,,,,,,,,,,,,,
Southernweekday301,Southern,08-24-2026,weekday,,,,301,2023-10-11 06:20 AM,,2023-10-11 4:26 PM,9:56,10.9,,4-16,7553,O,06:35 AM,I,04:21 PM,9:46,586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 4-16 SCHD: 9:46,--> O: 06:35 AM > I: 04:21 PM,,,,,,,,,,,,,,,,,,,
Southernweekday302,Southern,08-24-2026,weekday,01:10 PM,2Hrs 24Min,8640,302,2023-10-11 04:27 AM,,2023-10-11 3:20 PM,8:19,8.8,,4-16,7551,O,04:42 AM,I,10:46 AM,6:04,364,1:00,79,7616,O,01:10 PM,I,03:15 PM,2:05,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 4-16 SCHD: 6:04,--> O: 04:42 AM > I: 10:46 AM,RTE: 79 SCHD: 2:05,--> O: 01:10 PM > I: 03:15 PM,,,,,,,,,,,,,,,,,
Southernweekday303,Southern,08-24-2026,weekday,01:00 PM,2Hrs 44Min,9840,303,2023-10-11 04:52 AM,,2023-10-11 4:04 PM,8:18,9.0,,4-16,7552,O,05:07 AM,I,10:16 AM,5:09,309,12:50,37,7364,O,01:00 PM,I,03:59 PM,2:59,179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 4-16 SCHD: 5:09,--> O: 05:07 AM > I: 10:16 AM,RTE: 37 SCHD: 2:59,--> O: 01:00 PM > I: 03:59 PM,,,,,,,,,,,,,,,,,
