myid,runno,depot,page_1,page,day,moblink,pclink,Trip Sheet
SouthernWeekday1,1,Southern,1 of 2,1,Weekday,https://www4.septa.org/picking/pdf/summer-a-2026/southern/paddles/weekday-paddles.pdf#page=1,https://www4.septa.org/picking/pdf/summer-a-2026/southern/paddles/weekday-paddles#page=1.pdf,https://www4.septa.org/picking/pdf/summer-a-2026/southern/trip-sheets/weekday-trip-sheets.pdf
SouthernWeekday2,2,Southern,1 of 2,3,Weekday,https://www4.septa.org/picking/pdf/summer-a-2026/southern/paddles/weekday-paddles.pdf#page=3,https://www4.septa.org/picking/pdf/summer-a-2026/southern/paddles/weekday-paddles#page=3.pdf,https://www4.septa.org/picking/pdf/summer-a-2026/southern/trip-sheets/weekday-trip-sheets.pdf
SouthernWeekday3,3,Southern,1 of 2,5,Weekday,https://www4.septa.org/picking/pdf/summer-a-2026/southern/paddles/weekday-paddles.pdf#page=5,https://www4.septa.org/picking/pdf/summer-a-2026/southern/paddles/weekday-paddles#page=5.pdf,https://www4.septa.org/picking/pdf/summer-a-2026/southern/trip-sheets/weekday-trip-sheets.pdf
SouthernWeekday4,4,Southern,1 of 2,7,Weekday,https://www4.septa.org/picking/pdf/summer-a-2026/southern/paddles/weekday-paddles.pdf#page=7,https://www4.septa.org/picking/pdf/summer-a-2026/southern/paddles/weekday-paddles#page=7.pdf,https://www4.septa.org/picking/pdf/summer-a-2026/southern/trip-sheets/weekday-trip-sheets.pdf
SouthernWeekday5,5,Southern,1 of 2,9,Weekday,https://www4.septa.org/picking/pdf/summer-a-2026/southern/paddles/weekday-paddles.pdf#page=9,https://www4.septa.org/picking/pdf/summer-a-2026/southern/paddles/weekday-paddles#page=9.pdf,https://www4.septa.org/picking/pdf/summer-a-2026/southern/trip-sheets/weekday-trip-sheets.pdf
SouthernWeekday6,6,Southern,1 of 2,11,Weekday,https://www4.septa.org/picking/pdf/summer-a-2026/southern/paddles/weekday-paddles.pdf#page=11,https://www4.septa.org/picking/pdf/summer-a-2026/southern/paddles/weekday-paddles#page=11.pdf,https://www4.septa.org/picking/pdf/summer-a-2026/southern/trip-sheets/weekday-trip-sheets.pdf
SouthernWeekday7,7,Southern,1 of 3,13,Weekday,https://www4.septa.org/picking/pdf/summer-a-2026/southern/paddles/weekday-paddles.pdf#page=13,https://www4.septa.org/picking/pdf/summer-a-2026/southern/paddles/weekday-paddles#page=13.pdf,https://www4.septa.org/picking/pdf/summer-a-2026/southern/trip-sheets/weekday-trip-sheets.pdf
SouthernWeekday8,8,Southern,1 of 2,16,Weekday,https://www4.septa.org/picking/pdf/summer-a-2026/southern/paddles/weekday-paddles.pdf#page=16,https://www4.septa.org/picking/pdf/summer-a-2026/southern/paddles/weekday-paddles#page=16.pdf,https://www4.septa.org/picking/pdf/summer-a-2026/southern/trip-sheets/weekday-trip-sheets.pdf
SouthernWeekday9,9,Southern,1 of 2,18,Weekday,https://www4.septa.org/picking/pdf/summer-a-2026/southern/paddles/weekday-paddles.pdf#page=18,https://www4.septa.org/picking/pdf/summer-a-2026/southern/paddles/weekday-paddles#page=18.pdf,https://www4.septa.org/picking/pdf/summer-a-2026/southern/trip-sheets/weekday-trip-sheets.pdf
SouthernWeekday10,10,Southern,1 of 2,20,Weekday,https://www4.septa.org/picking/pdf/summer-a-2026/southern/paddles/weekday-paddles.pdf#page=20,https://www4.septa.org/picking/pdf/summer-a-2026/southern/paddles/weekday-paddles#page=20.pdf,https://www4.septa.org/picking/pdf/summer-a-2026/southern/trip-sheets/weekday-trip-sheets.pdf
