myid,depot,eff_date,day,pullout2,swingdur,swingdursec,runno,start,arrive,finish,worktime,pay,leave,r1,b1,potype1,pot1,pitype1,pit1,stime1,stimeint1,start22,r2,b2,potype2,pot2,pitype2,pit2,stime2,stimeint2,start23,r3,b3,potype3,pot3,pitype3,pit3,stime3,stimeint3,start24,r4,b4,potype4,pot4,pitype4,pit4,stime4,stimeint4,start25,r5,b5,potype5,pot5,pitype5,pit5,stime5,stimeint5,start26,r6,b6,potype6,pot6,pitype6,pit6,stime6,stimeint6,start27,r7,b7,potype7,pot7,pitype7,pit7,stime7,stimeint7,start28,r8,b8,potype8,pot8,pitype8,pit8,stime8,stimeint8,start29,r9,b9,potype9,pot9,pitype9,pit9,stime9,stimeint9,start210,r10,b10,potype10,pot10,pitype10,pit10,stime10,stimeint10,sum1, sum12,sum2, sum22,sum3, sum32,sum4, sum42,sum5, sum52,sum6, sum62,sum7, sum72,sum8, sum82,sum9, sum92,sum10, sum102,
Southernweekday351,Southern,06-15-2026,weekday,03:04 PM,3Hrs 1Min,10860,351,2023-10-11 04:58 AM,,2023-10-11 5:32 PM,9:23,12.2,,2,7101,O,05:13 AM,I,12:03 PM,6:50,410,2:54,2,7107,O,03:04 PM,I,05:27 PM,2:23,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 2 SCHD: 6:50,--> O: 05:13 AM > I: 12:03 PM,RTE: 2 SCHD: 2:23,--> O: 03:04 PM > I: 05:27 PM,,,,,,,,,,,,,,,,,
Southernweekday352,Southern,06-15-2026,weekday,04:04 PM,2Hrs 21Min,8460,352,2023-10-11 06:35 AM,,2023-10-11 6:31 PM,9:25,11.4,,2,7103,O,06:50 AM,I,01:43 PM,6:53,413,3:54,2,7109,O,04:04 PM,I,06:26 PM,2:22,142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 2 SCHD: 6:53,--> O: 06:50 AM > I: 01:43 PM,RTE: 2 SCHD: 2:22,--> O: 04:04 PM > I: 06:26 PM,,,,,,,,,,,,,,,,,
Southernweekday353,Southern,06-15-2026,weekday,04:27 PM,2Hrs 41Min,9660,353,2023-10-11 06:26 AM,,2023-10-11 6:34 PM,9:17,11.4,,2,7102,O,06:41 AM,RS,01:46 PM,7:05,425,,2,7104,RN,04:27 PM,I,06:29 PM,2:02,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 2 SCHD: 7:05,--> O: 06:41 AM > RS: 01:46 PM,RTE: 2 SCHD: 2:02,--> RN: 04:27 PM > I: 06:29 PM,,,,,,,,,,,,,,,,,
Southernweekday354,Southern,06-15-2026,weekday,02:31 PM,2Hrs 44Min,9840,354,2023-10-11 07:05 AM,,2023-10-11 7:19 PM,9:21,11.6,,2,7104,O,07:20 AM,RS,11:47 AM,4:27,267,2:21,79,7611,O,02:31 PM,I,07:14 PM,4:43,283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 2 SCHD: 4:27,--> O: 07:20 AM > RS: 11:47 AM,RTE: 79 SCHD: 4:43,--> O: 02:31 PM > I: 07:14 PM,,,,,,,,,,,,,,,,,
Southernweekday355,Southern,06-15-2026,weekday,,,,355,2023-10-11 04:49 PM,,2023-10-12 2:03 AM,9:04,9.6,,2,7108,O,05:04 PM,CG,08:01 PM,2:57,177,,47,7108,CG,08:01 PM,I,01:58 AM,5:57,357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 2 SCHD: 2:57,--> O: 05:04 PM > CG: 08:01 PM,RTE: 47 SCHD: 5:57,--> CG: 08:01 PM > I: 01:58 AM,,,,,,,,,,,,,,,,,
Southernweekday356,Southern,06-15-2026,weekday,,,,356,2023-10-11 06:15 PM,,2023-10-12 3:19 AM,8:54,9.4,,2,7110,O,06:30 PM,I,03:14 AM,8:44,524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 2 SCHD: 8:44,--> O: 06:30 PM > I: 03:14 AM,,,,,,,,,,,,,,,,,,,
Southernweekday301,Southern,06-15-2026,weekday,03:40 PM,1Hrs 56Min,6960,301,2023-10-11 05:33 AM,,2023-10-11 5:04 PM,9:37,11.3,,4-16,7551,O,05:48 AM,RS,01:44 PM,7:56,476,3:30,79,7613,O,03:40 PM,I,04:59 PM,1:19,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 4-16 SCHD: 7:56,--> O: 05:48 AM > RS: 01:44 PM,RTE: 79 SCHD: 1:19,--> O: 03:40 PM > I: 04:59 PM,,,,,,,,,,,,,,,,,
Southernweekday302,Southern,06-15-2026,weekday,01:09 PM,2Hrs 56Min,10560,302,2023-10-11 06:02 AM,,2023-10-11 6:17 PM,9:09,11.3,,4-16,7552,O,06:17 AM,I,10:13 AM,3:56,236,12:59,2,7106,O,01:09 PM,I,06:12 PM,5:03,303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 4-16 SCHD: 3:56,--> O: 06:17 AM > I: 10:13 AM,RTE: 2 SCHD: 5:03,--> O: 01:09 PM > I: 06:12 PM,,,,,,,,,,,,,,,,,
Southernweekday303,Southern,06-15-2026,weekday,,,,303,2023-10-11 09:13 AM,,2023-10-11 6:49 PM,9:26,10.2,,4-16,7554,O,09:28 AM,CG,05:15 PM,7:47,467,,57,7554,CG,05:15 PM,I,06:44 PM,1:29,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 4-16 SCHD: 7:47,--> O: 09:28 AM > CG: 05:15 PM,RTE: 57 SCHD: 1:29,--> CG: 05:15 PM > I: 06:44 PM,,,,,,,,,,,,,,,,,
Southernweekday304,Southern,06-15-2026,weekday,11:24 AM,1Hrs 2Min,3720,304,2023-10-11 07:09 AM,,2023-10-11 6:52 PM,10:31,12.8,,4-16,7553,O,07:24 AM,I,10:22 AM,2:58,178,11:14,17,7313,O,11:24 AM,I,06:47 PM,7:23,443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 4-16 SCHD: 2:58,--> O: 07:24 AM > I: 10:22 AM,RTE: 17 SCHD: 7:23,--> O: 11:24 AM > I: 06:47 PM,,,,,,,,,,,,,,,,,
