myid,runno,depot,page_1,page,day,Paddle,Paddle PC,Trip Sheet
SouthernWeekday1,1,Southern,1 of 2,1,Weekday,https://www4.septa.org/picking/pdf/spring-a-2026/southern/paddles/weekday-paddles#page1.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/southern/paddles/weekday-paddles#page=1.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/southern/trip-sheets/weekday-trip-sheets.pdf
SouthernWeekday2,2,Southern,1 of 2,3,Weekday,https://www4.septa.org/picking/pdf/spring-a-2026/southern/paddles/weekday-paddles#page3.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/southern/paddles/weekday-paddles#page=3.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/southern/trip-sheets/weekday-trip-sheets.pdf
SouthernWeekday3,3,Southern,1 of 1,5,Weekday,https://www4.septa.org/picking/pdf/spring-a-2026/southern/paddles/weekday-paddles#page5.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/southern/paddles/weekday-paddles#page=5.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/southern/trip-sheets/weekday-trip-sheets.pdf
SouthernWeekday4,4,Southern,1 of 2,6,Weekday,https://www4.septa.org/picking/pdf/spring-a-2026/southern/paddles/weekday-paddles#page6.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/southern/paddles/weekday-paddles#page=6.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/southern/trip-sheets/weekday-trip-sheets.pdf
SouthernWeekday5,5,Southern,1 of 2,8,Weekday,https://www4.septa.org/picking/pdf/spring-a-2026/southern/paddles/weekday-paddles#page8.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/southern/paddles/weekday-paddles#page=8.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/southern/trip-sheets/weekday-trip-sheets.pdf
SouthernWeekday6,6,Southern,1 of 2,10,Weekday,https://www4.septa.org/picking/pdf/spring-a-2026/southern/paddles/weekday-paddles#page10.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/southern/paddles/weekday-paddles#page=10.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/southern/trip-sheets/weekday-trip-sheets.pdf
SouthernWeekday7,7,Southern,1 of 2,12,Weekday,https://www4.septa.org/picking/pdf/spring-a-2026/southern/paddles/weekday-paddles#page12.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/southern/paddles/weekday-paddles#page=12.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/southern/trip-sheets/weekday-trip-sheets.pdf
SouthernWeekday8,8,Southern,1 of 2,14,Weekday,https://www4.septa.org/picking/pdf/spring-a-2026/southern/paddles/weekday-paddles#page14.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/southern/paddles/weekday-paddles#page=14.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/southern/trip-sheets/weekday-trip-sheets.pdf
SouthernWeekday9,9,Southern,1 of 3,16,Weekday,https://www4.septa.org/picking/pdf/spring-a-2026/southern/paddles/weekday-paddles#page16.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/southern/paddles/weekday-paddles#page=16.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/southern/trip-sheets/weekday-trip-sheets.pdf
SouthernWeekday10,10,Southern,1 of 2,19,Weekday,https://www4.septa.org/picking/pdf/spring-a-2026/southern/paddles/weekday-paddles#page19.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/southern/paddles/weekday-paddles#page=19.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/southern/trip-sheets/weekday-trip-sheets.pdf
SouthernWeekday11,11,Southern,1 of 2,21,Weekday,https://www4.septa.org/picking/pdf/spring-a-2026/southern/paddles/weekday-paddles#page21.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/southern/paddles/weekday-paddles#page=21.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/southern/trip-sheets/weekday-trip-sheets.pdf
SouthernWeekday12,12,Southern,1 of 3,23,Weekday,https://www4.septa.org/picking/pdf/spring-a-2026/southern/paddles/weekday-paddles#page23.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/southern/paddles/weekday-paddles#page=23.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/southern/trip-sheets/weekday-trip-sheets.pdf
SouthernWeekday13,13,Southern,1 of 2,26,Weekday,https://www4.septa.org/picking/pdf/spring-a-2026/southern/paddles/weekday-paddles#page26.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/southern/paddles/weekday-paddles#page=26.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/southern/trip-sheets/weekday-trip-sheets.pdf
SouthernWeekday14,14,Southern,1 of 2,28,Weekday,https://www4.septa.org/picking/pdf/spring-a-2026/southern/paddles/weekday-paddles#page28.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/southern/paddles/weekday-paddles#page=28.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/southern/trip-sheets/weekday-trip-sheets.pdf
SouthernWeekday51,51,Southern,1 of 3,30,Weekday,https://www4.septa.org/picking/pdf/spring-a-2026/southern/paddles/weekday-paddles#page30.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/southern/paddles/weekday-paddles#page=30.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/southern/trip-sheets/weekday-trip-sheets.pdf
SouthernWeekday101,101,Southern,1 of 2,33,Weekday,https://www4.septa.org/picking/pdf/spring-a-2026/southern/paddles/weekday-paddles#page33.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/southern/paddles/weekday-paddles#page=33.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/southern/trip-sheets/weekday-trip-sheets.pdf
SouthernWeekday102,102,Southern,1 of 1,35,Weekday,https://www4.septa.org/picking/pdf/spring-a-2026/southern/paddles/weekday-paddles#page35.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/southern/paddles/weekday-paddles#page=35.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/southern/trip-sheets/weekday-trip-sheets.pdf
SouthernWeekday103,103,Southern,1 of 2,36,Weekday,https://www4.septa.org/picking/pdf/spring-a-2026/southern/paddles/weekday-paddles#page36.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/southern/paddles/weekday-paddles#page=36.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/southern/trip-sheets/weekday-trip-sheets.pdf
SouthernWeekday104,104,Southern,1 of 2,38,Weekday,https://www4.septa.org/picking/pdf/spring-a-2026/southern/paddles/weekday-paddles#page38.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/southern/paddles/weekday-paddles#page=38.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/southern/trip-sheets/weekday-trip-sheets.pdf
SouthernWeekday105,105,Southern,1 of 2,40,Weekday,https://www4.septa.org/picking/pdf/spring-a-2026/southern/paddles/weekday-paddles#page40.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/southern/paddles/weekday-paddles#page=40.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/southern/trip-sheets/weekday-trip-sheets.pdf
SouthernWeekday106,106,Southern,1 of 2,42,Weekday,https://www4.septa.org/picking/pdf/spring-a-2026/southern/paddles/weekday-paddles#page42.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/southern/paddles/weekday-paddles#page=42.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/southern/trip-sheets/weekday-trip-sheets.pdf
SouthernWeekday107,107,Southern,1 of 2,44,Weekday,https://www4.septa.org/picking/pdf/spring-a-2026/southern/paddles/weekday-paddles#page44.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/southern/paddles/weekday-paddles#page=44.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/southern/trip-sheets/weekday-trip-sheets.pdf
SouthernWeekday108,108,Southern,1 of 1,46,Weekday,https://www4.septa.org/picking/pdf/spring-a-2026/southern/paddles/weekday-paddles#page46.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/southern/paddles/weekday-paddles#page=46.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/southern/trip-sheets/weekday-trip-sheets.pdf
