myid,depot,eff_date,day,pullout2,swingdur,swingdursec,runno,start,arrive,finish,worktime,pay,leave,r1,b1,potype1,pot1,pitype1,pit1,stime1,stimeint1,start22,r2,b2,potype2,pot2,pitype2,pit2,stime2,stimeint2,start23,r3,b3,potype3,pot3,pitype3,pit3,stime3,stimeint3,start24,r4,b4,potype4,pot4,pitype4,pit4,stime4,stimeint4,start25,r5,b5,potype5,pot5,pitype5,pit5,stime5,stimeint5,start26,r6,b6,potype6,pot6,pitype6,pit6,stime6,stimeint6,start27,r7,b7,potype7,pot7,pitype7,pit7,stime7,stimeint7,start28,r8,b8,potype8,pot8,pitype8,pit8,stime8,stimeint8,start29,r9,b9,potype9,pot9,pitype9,pit9,stime9,stimeint9,start210,r10,b10,potype10,pot10,pitype10,pit10,stime10,stimeint10,sum1, sum12,sum2, sum22,sum3, sum32,sum4, sum42,sum5, sum52,sum6, sum62,sum7, sum72,sum8, sum82,sum9, sum92,sum10, sum102,
SouthernSaturday351,Southern,02-28-2026,Saturday,,,,351,2023-10-11 08:08 AM,,2023-10-11 5:47 PM,9:29,10.2,,2,7101,O,08:23 AM,I,05:43 PM,9:20,560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 2 SCHD: 9:20,--> O: 08:23 AM > I: 05:43 PM,,,,,,,,,,,,,,,,,,,
SouthernSaturday352,Southern,02-28-2026,Saturday,,,,352,2023-10-11 12:14 PM,,2023-10-11 8:44 PM,8:20,8.5,,2,7102,O,12:29 PM,CG,05:53 PM,5:24,324,,57,7102,CG,05:53 PM,I,08:40 PM,2:47,167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 2 SCHD: 5:24,--> O: 12:29 PM > CG: 05:53 PM,RTE: 57 SCHD: 2:47,--> CG: 05:53 PM > I: 08:40 PM,,,,,,,,,,,,,,,,,
SouthernSaturday353,Southern,02-28-2026,Saturday,,,,353,2023-10-11 05:42 PM,,2023-10-12 3:18 AM,9:26,10.2,,2,7103,O,05:57 PM,I,03:14 AM,9:17,557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 2 SCHD: 9:17,--> O: 05:57 PM > I: 03:14 AM,,,,,,,,,,,,,,,,,,,
SouthernSaturday301,Southern,02-28-2026,Saturday,,,,301,2023-10-11 05:54 AM,,2023-10-11 3:32 PM,9:28,10.2,,4-16,7551,O,06:09 AM,I,03:28 PM,9:19,559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 4-16 SCHD: 9:19,--> O: 06:09 AM > I: 03:28 PM,,,,,,,,,,,,,,,,,,,
SouthernSaturday302,Southern,02-28-2026,Saturday,,,,302,2023-10-11 08:19 AM,,2023-10-11 5:57 PM,9:28,10.2,,4-16,7552,O,08:34 AM,I,05:53 PM,9:19,559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 4-16 SCHD: 9:19,--> O: 08:34 AM > I: 05:53 PM,,,,,,,,,,,,,,,,,,,
SouthernSaturday303,Southern,02-28-2026,Saturday,,,,303,2023-10-11 01:01 PM,,2023-10-11 9:39 PM,8:28,8.7,,4-16,7553,O,01:16 PM,I,09:35 PM,8:19,499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 4-16 SCHD: 8:19,--> O: 01:16 PM > I: 09:35 PM,,,,,,,,,,,,,,,,,,,
SouthernSaturday304,Southern,02-28-2026,Saturday,,,,304,2023-10-11 03:03 PM,,2023-10-12 12:53 AM,9:40,10.5,,4-16,7554,O,03:18 PM,I,12:49 AM,9:31,571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 4-16 SCHD: 9:31,--> O: 03:18 PM > I: 12:49 AM,,,,,,,,,,,,,,,,,,,
SouthernSaturday751,Southern,02-28-2026,Saturday,,,,751,2023-10-11 05:01 AM,,2023-10-11 1:06 PM,7:55,8.0,,7,7201,O,05:16 AM,I,01:02 PM,7:46,466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 7 SCHD: 7:46,--> O: 05:16 AM > I: 01:02 PM,,,,,,,,,,,,,,,,,,,
SouthernSaturday752,Southern,02-28-2026,Saturday,,,,752,2023-10-11 06:49 AM,,2023-10-11 4:02 PM,9:03,9.6,,7,7202,O,07:04 AM,I,03:58 PM,8:54,534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 7 SCHD: 8:54,--> O: 07:04 AM > I: 03:58 PM,,,,,,,,,,,,,,,,,,,
SouthernSaturday753,Southern,02-28-2026,Saturday,,,,753,2023-10-11 07:29 AM,,2023-10-11 6:10 PM,10:31,11.8,,7,7203,O,07:44 AM,CG,03:43 PM,7:59,479,,37,7203,CG,03:43 PM,I,06:06 PM,2:23,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 7 SCHD: 7:59,--> O: 07:44 AM > CG: 03:43 PM,RTE: 37 SCHD: 2:23,--> CG: 03:43 PM > I: 06:06 PM,,,,,,,,,,,,,,,,,
