myid,depot,eff_date,day,pullout2,swingdur,swingdursec,runno,start,arrive,finish,worktime,pay,leave,r1,b1,potype1,pot1,pitype1,pit1,stime1,stimeint1,start22,r2,b2,potype2,pot2,pitype2,pit2,stime2,stimeint2,start23,r3,b3,potype3,pot3,pitype3,pit3,stime3,stimeint3,start24,r4,b4,potype4,pot4,pitype4,pit4,stime4,stimeint4,start25,r5,b5,potype5,pot5,pitype5,pit5,stime5,stimeint5,start26,r6,b6,potype6,pot6,pitype6,pit6,stime6,stimeint6,start27,r7,b7,potype7,pot7,pitype7,pit7,stime7,stimeint7,start28,r8,b8,potype8,pot8,pitype8,pit8,stime8,stimeint8,start29,r9,b9,potype9,pot9,pitype9,pit9,stime9,stimeint9,start210,r10,b10,potype10,pot10,pitype10,pit10,stime10,stimeint10,sum1, sum12,sum2, sum22,sum3, sum32,sum4, sum42,sum5, sum52,sum6, sum62,sum7, sum72,sum8, sum82,sum9, sum92,sum10, sum102,
SouthernWeekday351,Southern,02-23-2026,Weekday,02:50 PM,2Hrs 47Min,10020,351,2023-10-11 04:58 AM,,2023-10-11 4:01 PM,8:06,8.6,,2,7101,O,05:13 AM,I,12:03 PM,6:50,410,2:40,2,7107,O,02:50 PM,I,03:56 PM,1:06,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 2 SCHD: 6:50,--> O: 05:13 AM > I: 12:03 PM,RTE: 2 SCHD: 1:06,--> O: 02:50 PM > I: 03:56 PM,,,,,,,,,,,,,,,,,
SouthernWeekday352,Southern,02-23-2026,Weekday,03:04 PM,1Hrs 21Min,4860,352,2023-10-11 06:35 AM,,2023-10-11 5:32 PM,9:26,10.5,,2,7103,O,06:50 AM,I,01:43 PM,6:53,413,2:54,2,7109,O,03:04 PM,I,05:27 PM,2:23,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 2 SCHD: 6:53,--> O: 06:50 AM > I: 01:43 PM,RTE: 2 SCHD: 2:23,--> O: 03:04 PM > I: 05:27 PM,,,,,,,,,,,,,,,,,
SouthernWeekday353,Southern,02-23-2026,Weekday,02:52 PM,3Hrs 52Min,13920,353,2023-10-11 06:26 AM,,2023-10-11 6:31 PM,8:04,9.5,,2,7102,O,06:41 AM,RS,11:00 AM,4:19,259,2:42,2,7108,O,02:52 PM,I,06:26 PM,3:34,214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 2 SCHD: 4:19,--> O: 06:41 AM > RS: 11:00 AM,RTE: 2 SCHD: 3:34,--> O: 02:52 PM > I: 06:26 PM,,,,,,,,,,,,,,,,,
SouthernWeekday354,Southern,02-23-2026,Weekday,,,,354,2023-10-11 10:54 AM,,2023-10-11 6:49 PM,7:55,8.0,,2,7102,RN,11:00 AM,I,06:44 PM,7:44,464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 2 SCHD: 7:44,--> RN: 11:00 AM > I: 06:44 PM,,,,,,,,,,,,,,,,,,,
SouthernWeekday355,Southern,02-23-2026,Weekday,02:08 PM,2Hrs 21Min,8460,355,2023-10-11 07:05 AM,,2023-10-11 7:18 PM,9:45,12.2,,2,7104,O,07:20 AM,RS,11:47 AM,4:27,267,2:06,63,7658,RS,02:08 PM,I,07:13 PM,5:05,305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 2 SCHD: 4:27,--> O: 07:20 AM > RS: 11:47 AM,RTE: 63 SCHD: 5:05,--> RS: 02:08 PM > I: 07:13 PM,,,,,,,,,,,,,,,,,
SouthernWeekday356,Southern,02-23-2026,Weekday,,,,356,2023-10-11 04:49 PM,,2023-10-12 2:02 AM,9:03,9.6,,2,7110,O,05:04 PM,CG,08:01 PM,2:57,177,,47,7110,CG,08:01 PM,I,01:57 AM,5:56,356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 2 SCHD: 2:57,--> O: 05:04 PM > CG: 08:01 PM,RTE: 47 SCHD: 5:56,--> CG: 08:01 PM > I: 01:57 AM,,,,,,,,,,,,,,,,,
SouthernWeekday357,Southern,02-23-2026,Weekday,,,,357,2023-10-11 06:15 PM,,2023-10-12 3:19 AM,8:54,9.4,,2,7111,O,06:30 PM,I,03:14 AM,8:44,524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 2 SCHD: 8:44,--> O: 06:30 PM > I: 03:14 AM,,,,,,,,,,,,,,,,,,,
SouthernWeekday301,Southern,02-23-2026,Weekday,,,,301,2023-10-11 05:42 AM,,2023-10-11 4:50 PM,10:58,12.5,,4-16,7551,O,05:57 AM,I,04:45 PM,10:48,648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 4-16 SCHD: 10:48,--> O: 05:57 AM > I: 04:45 PM,,,,,,,,,,,,,,,,,,,
SouthernWeekday302,Southern,02-23-2026,Weekday,11:51 AM,1Hrs 34Min,5640,302,2023-10-11 06:08 AM,,2023-10-11 6:03 PM,10:11,12.5,,4-16,7552,O,06:23 AM,I,10:17 AM,3:54,234,11:41,4-16,7557,O,11:51 AM,I,05:58 PM,6:07,367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 4-16 SCHD: 3:54,--> O: 06:23 AM > I: 10:17 AM,RTE: 4-16 SCHD: 6:07,--> O: 11:51 AM > I: 05:58 PM,,,,,,,,,,,,,,,,,
SouthernWeekday303,Southern,02-23-2026,Weekday,,,,303,2023-10-11 09:15 AM,,2023-10-11 6:49 PM,9:24,10.1,,4-16,7554,O,09:30 AM,CG,05:15 PM,7:45,465,,57,7554,CG,05:15 PM,I,06:44 PM,1:29,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 4-16 SCHD: 7:45,--> O: 09:30 AM > CG: 05:15 PM,RTE: 57 SCHD: 1:29,--> CG: 05:15 PM > I: 06:44 PM,,,,,,,,,,,,,,,,,
SouthernWeekday304,Southern,02-23-2026,Weekday,01:32 PM,3Hrs 36Min,12960,304,2023-10-11 06:54 AM,,2023-10-11 7:02 PM,8:24,10.1,,4-16,7553,O,07:09 AM,I,09:56 AM,2:47,167,1:30,63,7655,RS,01:32 PM,I,06:57 PM,5:25,325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 4-16 SCHD: 2:47,--> O: 07:09 AM > I: 09:56 AM,RTE: 63 SCHD: 5:25,--> RS: 01:32 PM > I: 06:57 PM,,,,,,,,,,,,,,,,,
