myid,runno,depot,page_1,page,day,moblink,pclink,Trip Sheet
Victory busWeekday1,1,Victory bus,1 of 2,1,Weekday,https://www4.septa.org/picking/pdf/fall-a-2026/victory/bus/paddles/weekday-paddles.pdf#page=1,https://www4.septa.org/picking/pdf/fall-a-2026/victory/bus/paddles/weekday-paddles#page=1.pdf,https://www4.septa.org/picking/pdf/fall-a-2026/victory/bus/trip-sheets/weekday-trip-sheets.pdf
Victory busWeekday2,2,Victory bus,1 of 2,3,Weekday,https://www4.septa.org/picking/pdf/fall-a-2026/victory/bus/paddles/weekday-paddles.pdf#page=3,https://www4.septa.org/picking/pdf/fall-a-2026/victory/bus/paddles/weekday-paddles#page=3.pdf,https://www4.septa.org/picking/pdf/fall-a-2026/victory/bus/trip-sheets/weekday-trip-sheets.pdf
Victory busWeekday3,3,Victory bus,1 of 3,5,Weekday,https://www4.septa.org/picking/pdf/fall-a-2026/victory/bus/paddles/weekday-paddles.pdf#page=5,https://www4.septa.org/picking/pdf/fall-a-2026/victory/bus/paddles/weekday-paddles#page=5.pdf,https://www4.septa.org/picking/pdf/fall-a-2026/victory/bus/trip-sheets/weekday-trip-sheets.pdf
Victory busWeekday4,4,Victory bus,1 of 2,8,Weekday,https://www4.septa.org/picking/pdf/fall-a-2026/victory/bus/paddles/weekday-paddles.pdf#page=8,https://www4.septa.org/picking/pdf/fall-a-2026/victory/bus/paddles/weekday-paddles#page=8.pdf,https://www4.septa.org/picking/pdf/fall-a-2026/victory/bus/trip-sheets/weekday-trip-sheets.pdf
Victory busWeekday5,5,Victory bus,1 of 2,10,Weekday,https://www4.septa.org/picking/pdf/fall-a-2026/victory/bus/paddles/weekday-paddles.pdf#page=10,https://www4.septa.org/picking/pdf/fall-a-2026/victory/bus/paddles/weekday-paddles#page=10.pdf,https://www4.septa.org/picking/pdf/fall-a-2026/victory/bus/trip-sheets/weekday-trip-sheets.pdf
Victory busWeekday6,6,Victory bus,1 of 3,12,Weekday,https://www4.septa.org/picking/pdf/fall-a-2026/victory/bus/paddles/weekday-paddles.pdf#page=12,https://www4.septa.org/picking/pdf/fall-a-2026/victory/bus/paddles/weekday-paddles#page=12.pdf,https://www4.septa.org/picking/pdf/fall-a-2026/victory/bus/trip-sheets/weekday-trip-sheets.pdf
Victory busWeekday7,7,Victory bus,1 of 2,15,Weekday,https://www4.septa.org/picking/pdf/fall-a-2026/victory/bus/paddles/weekday-paddles.pdf#page=15,https://www4.septa.org/picking/pdf/fall-a-2026/victory/bus/paddles/weekday-paddles#page=15.pdf,https://www4.septa.org/picking/pdf/fall-a-2026/victory/bus/trip-sheets/weekday-trip-sheets.pdf
Victory busWeekday26,26,Victory bus,1 of 2,17,Weekday,https://www4.septa.org/picking/pdf/fall-a-2026/victory/bus/paddles/weekday-paddles.pdf#page=17,https://www4.septa.org/picking/pdf/fall-a-2026/victory/bus/paddles/weekday-paddles#page=17.pdf,https://www4.septa.org/picking/pdf/fall-a-2026/victory/bus/trip-sheets/weekday-trip-sheets.pdf
Victory busWeekday27,27,Victory bus,1 of 2,19,Weekday,https://www4.septa.org/picking/pdf/fall-a-2026/victory/bus/paddles/weekday-paddles.pdf#page=19,https://www4.septa.org/picking/pdf/fall-a-2026/victory/bus/paddles/weekday-paddles#page=19.pdf,https://www4.septa.org/picking/pdf/fall-a-2026/victory/bus/trip-sheets/weekday-trip-sheets.pdf
Victory busWeekday28,28,Victory bus,1 of 2,21,Weekday,https://www4.septa.org/picking/pdf/fall-a-2026/victory/bus/paddles/weekday-paddles.pdf#page=21,https://www4.septa.org/picking/pdf/fall-a-2026/victory/bus/paddles/weekday-paddles#page=21.pdf,https://www4.septa.org/picking/pdf/fall-a-2026/victory/bus/trip-sheets/weekday-trip-sheets.pdf
Victory busWeekday29,29,Victory bus,1 of 2,23,Weekday,https://www4.septa.org/picking/pdf/fall-a-2026/victory/bus/paddles/weekday-paddles.pdf#page=23,https://www4.septa.org/picking/pdf/fall-a-2026/victory/bus/paddles/weekday-paddles#page=23.pdf,https://www4.septa.org/picking/pdf/fall-a-2026/victory/bus/trip-sheets/weekday-trip-sheets.pdf
Victory busWeekday30,30,Victory bus,1 of 2,25,Weekday,https://www4.septa.org/picking/pdf/fall-a-2026/victory/bus/paddles/weekday-paddles.pdf#page=25,https://www4.septa.org/picking/pdf/fall-a-2026/victory/bus/paddles/weekday-paddles#page=25.pdf,https://www4.septa.org/picking/pdf/fall-a-2026/victory/bus/trip-sheets/weekday-trip-sheets.pdf
Victory busWeekday31,31,Victory bus,1 of 3,27,Weekday,https://www4.septa.org/picking/pdf/fall-a-2026/victory/bus/paddles/weekday-paddles.pdf#page=27,https://www4.septa.org/picking/pdf/fall-a-2026/victory/bus/paddles/weekday-paddles#page=27.pdf,https://www4.septa.org/picking/pdf/fall-a-2026/victory/bus/trip-sheets/weekday-trip-sheets.pdf
Victory busWeekday32,32,Victory bus,1 of 2,30,Weekday,https://www4.septa.org/picking/pdf/fall-a-2026/victory/bus/paddles/weekday-paddles.pdf#page=30,https://www4.septa.org/picking/pdf/fall-a-2026/victory/bus/paddles/weekday-paddles#page=30.pdf,https://www4.septa.org/picking/pdf/fall-a-2026/victory/bus/trip-sheets/weekday-trip-sheets.pdf
Victory busWeekday33,33,Victory bus,1 of 2,32,Weekday,https://www4.septa.org/picking/pdf/fall-a-2026/victory/bus/paddles/weekday-paddles.pdf#page=32,https://www4.septa.org/picking/pdf/fall-a-2026/victory/bus/paddles/weekday-paddles#page=32.pdf,https://www4.septa.org/picking/pdf/fall-a-2026/victory/bus/trip-sheets/weekday-trip-sheets.pdf
Victory busWeekday34,34,Victory bus,1 of 3,34,Weekday,https://www4.septa.org/picking/pdf/fall-a-2026/victory/bus/paddles/weekday-paddles.pdf#page=34,https://www4.septa.org/picking/pdf/fall-a-2026/victory/bus/paddles/weekday-paddles#page=34.pdf,https://www4.septa.org/picking/pdf/fall-a-2026/victory/bus/trip-sheets/weekday-trip-sheets.pdf
Victory busWeekday35,35,Victory bus,1 of 2,37,Weekday,https://www4.septa.org/picking/pdf/fall-a-2026/victory/bus/paddles/weekday-paddles.pdf#page=37,https://www4.septa.org/picking/pdf/fall-a-2026/victory/bus/paddles/weekday-paddles#page=37.pdf,https://www4.septa.org/picking/pdf/fall-a-2026/victory/bus/trip-sheets/weekday-trip-sheets.pdf
Victory busWeekday36,36,Victory bus,1 of 2,39,Weekday,https://www4.septa.org/picking/pdf/fall-a-2026/victory/bus/paddles/weekday-paddles.pdf#page=39,https://www4.septa.org/picking/pdf/fall-a-2026/victory/bus/paddles/weekday-paddles#page=39.pdf,https://www4.septa.org/picking/pdf/fall-a-2026/victory/bus/trip-sheets/weekday-trip-sheets.pdf
Victory busWeekday37,37,Victory bus,1 of 2,41,Weekday,https://www4.septa.org/picking/pdf/fall-a-2026/victory/bus/paddles/weekday-paddles.pdf#page=41,https://www4.septa.org/picking/pdf/fall-a-2026/victory/bus/paddles/weekday-paddles#page=41.pdf,https://www4.septa.org/picking/pdf/fall-a-2026/victory/bus/trip-sheets/weekday-trip-sheets.pdf
Victory busWeekday38,38,Victory bus,1 of 2,43,Weekday,https://www4.septa.org/picking/pdf/fall-a-2026/victory/bus/paddles/weekday-paddles.pdf#page=43,https://www4.septa.org/picking/pdf/fall-a-2026/victory/bus/paddles/weekday-paddles#page=43.pdf,https://www4.septa.org/picking/pdf/fall-a-2026/victory/bus/trip-sheets/weekday-trip-sheets.pdf
Victory busWeekday39,39,Victory bus,1 of 2,45,Weekday,https://www4.septa.org/picking/pdf/fall-a-2026/victory/bus/paddles/weekday-paddles.pdf#page=45,https://www4.septa.org/picking/pdf/fall-a-2026/victory/bus/paddles/weekday-paddles#page=45.pdf,https://www4.septa.org/picking/pdf/fall-a-2026/victory/bus/trip-sheets/weekday-trip-sheets.pdf
Victory busWeekday40,40,Victory bus,1 of 2,47,Weekday,https://www4.septa.org/picking/pdf/fall-a-2026/victory/bus/paddles/weekday-paddles.pdf#page=47,https://www4.septa.org/picking/pdf/fall-a-2026/victory/bus/paddles/weekday-paddles#page=47.pdf,https://www4.septa.org/picking/pdf/fall-a-2026/victory/bus/trip-sheets/weekday-trip-sheets.pdf
Victory busWeekday76,76,Victory bus,1 of 2,49,Weekday,https://www4.septa.org/picking/pdf/fall-a-2026/victory/bus/paddles/weekday-paddles.pdf#page=49,https://www4.septa.org/picking/pdf/fall-a-2026/victory/bus/paddles/weekday-paddles#page=49.pdf,https://www4.septa.org/picking/pdf/fall-a-2026/victory/bus/trip-sheets/weekday-trip-sheets.pdf
Victory busWeekday77,77,Victory bus,1 of 2,51,Weekday,https://www4.septa.org/picking/pdf/fall-a-2026/victory/bus/paddles/weekday-paddles.pdf#page=51,https://www4.septa.org/picking/pdf/fall-a-2026/victory/bus/paddles/weekday-paddles#page=51.pdf,https://www4.septa.org/picking/pdf/fall-a-2026/victory/bus/trip-sheets/weekday-trip-sheets.pdf
Victory busWeekday78,78,Victory bus,1 of 2,53,Weekday,https://www4.septa.org/picking/pdf/fall-a-2026/victory/bus/paddles/weekday-paddles.pdf#page=53,https://www4.septa.org/picking/pdf/fall-a-2026/victory/bus/paddles/weekday-paddles#page=53.pdf,https://www4.septa.org/picking/pdf/fall-a-2026/victory/bus/trip-sheets/weekday-trip-sheets.pdf
Victory busWeekday79,79,Victory bus,1 of 2,55,Weekday,https://www4.septa.org/picking/pdf/fall-a-2026/victory/bus/paddles/weekday-paddles.pdf#page=55,https://www4.septa.org/picking/pdf/fall-a-2026/victory/bus/paddles/weekday-paddles#page=55.pdf,https://www4.septa.org/picking/pdf/fall-a-2026/victory/bus/trip-sheets/weekday-trip-sheets.pdf
Victory busWeekday80,80,Victory bus,1 of 2,57,Weekday,https://www4.septa.org/picking/pdf/fall-a-2026/victory/bus/paddles/weekday-paddles.pdf#page=57,https://www4.septa.org/picking/pdf/fall-a-2026/victory/bus/paddles/weekday-paddles#page=57.pdf,https://www4.septa.org/picking/pdf/fall-a-2026/victory/bus/trip-sheets/weekday-trip-sheets.pdf
