myid,depot,eff_date,day,pullout2,swingdur,swingdursec,runno,start,arrive,finish,worktime,pay,leave,r1,b1,potype1,pot1,pitype1,pit1,stime1,stimeint1,start22,r2,b2,potype2,pot2,pitype2,pit2,stime2,stimeint2,start23,r3,b3,potype3,pot3,pitype3,pit3,stime3,stimeint3,start24,r4,b4,potype4,pot4,pitype4,pit4,stime4,stimeint4,start25,r5,b5,potype5,pot5,pitype5,pit5,stime5,stimeint5,start26,r6,b6,potype6,pot6,pitype6,pit6,stime6,stimeint6,start27,r7,b7,potype7,pot7,pitype7,pit7,stime7,stimeint7,start28,r8,b8,potype8,pot8,pitype8,pit8,stime8,stimeint8,start29,r9,b9,potype9,pot9,pitype9,pit9,stime9,stimeint9,start210,r10,b10,potype10,pot10,pitype10,pit10,stime10,stimeint10,sum1, sum12,sum2, sum22,sum3, sum32,sum4, sum42,sum5, sum52,sum6, sum62,sum7, sum72,sum8, sum82,sum9, sum92,sum10, sum102,
Victory Busweekday1,Victory Bus,8-24-2026,weekday,,,,1,2023-10-11 04:42 AM,2:29,2023-10-11 2:29 PM,9.2,9.2,,103,4201,O,04:56 AM,L,08:35 AM,3:39,219,,103,4201,L,09:00 AM,CG,09:00 AM,0:00,0,,105,4201,CG,09:00 AM,R,02:21 PM,5:21,321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 103 SCHD: 3:39,--> O: 04:56 AM > L: 08:35 AM,RTE: 103 SCHD: 0:00,--> L: 09:00 AM > CG: 09:00 AM,RTE: 105 SCHD: 5:21,--> CG: 09:00 AM > R: 02:21 PM,,,,,,,,,,,,,,,
Victory Busweekday2,Victory Bus,8-24-2026,weekday,,,,2,2023-10-11 05:01 AM,3:17,2023-10-11 3:17 PM,9.6,9.6,,103,4202,O,05:15 AM,L,11:03 AM,5:48,348,,103,4202,L,11:45 AM,R,03:09 PM,3:24,204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 103 SCHD: 5:48,--> O: 05:15 AM > L: 11:03 AM,RTE: 103 SCHD: 3:24,--> L: 11:45 AM > R: 03:09 PM,,,,,,,,,,,,,,,,,
Victory Busweekday3,Victory Bus,8-24-2026,weekday,11:16 AM,2Hrs 6Min,7560,3,2023-10-11 06:00 AM,,2023-10-11 6:40 PM,10.4,10.8,,103,4203,O,06:14 AM,I,09:10 AM,2:56,176,11:06,111,4457,O,11:16 AM,CG,05:00 PM,5:44,344,,110,4457,CG,05:00 PM,I,06:37 PM,1:37,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 103 SCHD: 2:56,--> O: 06:14 AM > I: 09:10 AM,RTE: 111 SCHD: 5:44,--> O: 11:16 AM > CG: 05:00 PM,RTE: 110 SCHD: 1:37,--> CG: 05:00 PM > I: 06:37 PM,,,,,,,,,,,,,,,
Victory Busweekday4,Victory Bus,8-24-2026,weekday,04:07 PM,2Hrs 0Min,7200,4,2023-10-11 06:44 AM,,2023-10-11 7:36 PM,10.7,11.2,,103,4204,O,06:58 AM,R,02:07 PM,7:09,429,,103,4303,R,04:07 PM,I,07:33 PM,3:26,206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 103 SCHD: 7:09,--> O: 06:58 AM > R: 02:07 PM,RTE: 103 SCHD: 3:26,--> R: 04:07 PM > I: 07:33 PM,,,,,,,,,,,,,,,,,
Victory Busweekday5,Victory Bus,8-24-2026,weekday,,,,5,2023-10-11 02:24 PM,,2023-10-12 12:29 AM,9.4,9.4,,103,4205,O,02:38 PM,L,07:55 PM,5:17,317,,103,4205,L,08:35 PM,CG,10:56 PM,2:21,141,,125,4205,CG,10:56 PM,I,12:26 AM,1:30,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 103 SCHD: 5:17,--> O: 02:38 PM > L: 07:55 PM,RTE: 103 SCHD: 2:21,--> L: 08:35 PM > CG: 10:56 PM,RTE: 125 SCHD: 1:30,--> CG: 10:56 PM > I: 12:26 AM,,,,,,,,,,,,,,,
Victory Busweekday6,Victory Bus,8-24-2026,weekday,,,,6,2023-10-11 02:25 PM,,2023-10-11 11:26 PM,8.5,8.5,2:29,103,4204,R,02:37 PM,CG,04:30 PM,1:53,113,,105,4204,CG,04:30 PM,L,06:21 PM,1:51,111,,105,4204,L,07:00 PM,I,11:23 PM,4:23,263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 103 SCHD: 1:53,--> R: 02:37 PM > CG: 04:30 PM,RTE: 105 SCHD: 1:51,--> CG: 04:30 PM > L: 06:21 PM,RTE: 105 SCHD: 4:23,--> L: 07:00 PM > I: 11:23 PM,,,,,,,,,,,,,,,
Victory Busweekday7,Victory Bus,8-24-2026,weekday,,,,7,2023-10-11 02:57 PM,,2023-10-11 11:11 PM,7.9,8.0,3:01,103,4202,R,03:09 PM,L,07:27 PM,4:18,258,,103,4202,L,07:45 PM,I,11:08 PM,3:23,203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 103 SCHD: 4:18,--> R: 03:09 PM > L: 07:27 PM,RTE: 103 SCHD: 3:23,--> L: 07:45 PM > I: 11:08 PM,,,,,,,,,,,,,,,,,
Victory Busweekday26,Victory Bus,8-24-2026,weekday,,,,26,2023-10-11 03:49 AM,,2023-10-11 1:09 PM,8.7,8.7,,104,4215,O,04:03 AM,L,09:54 AM,5:51,351,,104,4215,L,10:35 AM,I,01:06 PM,2:31,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 104 SCHD: 5:51,--> O: 04:03 AM > L: 09:54 AM,RTE: 104 SCHD: 2:31,--> L: 10:35 AM > I: 01:06 PM,,,,,,,,,,,,,,,,,
Victory Busweekday27,Victory Bus,8-24-2026,weekday,,,,27,2023-10-11 03:59 AM,,2023-10-11 1:43 PM,9.2,9.2,,104,4216,O,04:13 AM,CG,09:15 AM,5:02,302,,112,4216,CG,09:15 AM,L,10:23 AM,1:08,68,,112,4216,L,10:45 AM,CG,12:30 PM,1:45,105,,126,4216,CG,12:30 PM,I,01:40 PM,1:10,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 104 SCHD: 5:02,--> O: 04:13 AM > CG: 09:15 AM,RTE: 112 SCHD: 1:08,--> CG: 09:15 AM > L: 10:23 AM,RTE: 112 SCHD: 1:45,--> L: 10:45 AM > CG: 12:30 PM,RTE: 126 SCHD: 1:10,--> CG: 12:30 PM > I: 01:40 PM,,,,,,,,,,,,,
Victory Busweekday28,Victory Bus,8-24-2026,weekday,,,,28,2023-10-11 04:19 AM,,2023-10-11 1:30 PM,8.6,8.6,,104,4217,O,04:33 AM,L,11:03 AM,6:30,390,,104,4217,L,11:25 AM,CG,11:25 AM,0:00,0,,120,4217,CG,11:25 AM,I,01:27 PM,2:02,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 104 SCHD: 6:30,--> O: 04:33 AM > L: 11:03 AM,RTE: 104 SCHD: 0:00,--> L: 11:25 AM > CG: 11:25 AM,RTE: 120 SCHD: 2:02,--> CG: 11:25 AM > I: 01:27 PM,,,,,,,,,,,,,,,
