myid,runno,depot,page_1,page,day,moblink,pclink,Trip Sheet
Victory busWeekday1,1,Victory bus,1 of 2,1,Weekday,https://www4.septa.org/picking/pdf/summer-a-2026/victory/bus/paddles/weekday-paddles.pdf#page=1,https://www4.septa.org/picking/pdf/summer-a-2026/victory/bus/paddles/weekday-paddles#page=1.pdf,https://www4.septa.org/picking/pdf/summer-a-2026/victory/bus/trip-sheets/weekday-trip-sheets.pdf
Victory busWeekday2,2,Victory bus,1 of 3,3,Weekday,https://www4.septa.org/picking/pdf/summer-a-2026/victory/bus/paddles/weekday-paddles.pdf#page=3,https://www4.septa.org/picking/pdf/summer-a-2026/victory/bus/paddles/weekday-paddles#page=3.pdf,https://www4.septa.org/picking/pdf/summer-a-2026/victory/bus/trip-sheets/weekday-trip-sheets.pdf
Victory busWeekday2,2,Victory bus,1 of 3,3,Weekday,https://www4.septa.org/picking/pdf/summer-a-2026/victory/bus/paddles/weekday-paddles.pdf#page=3,https://www4.septa.org/picking/pdf/summer-a-2026/victory/bus/paddles/weekday-paddles#page=3.pdf,https://www4.septa.org/picking/pdf/summer-a-2026/victory/bus/trip-sheets/weekday-trip-sheets.pdf
Victory busWeekday3,3,Victory bus,1 of 2,6,Weekday,https://www4.septa.org/picking/pdf/summer-a-2026/victory/bus/paddles/weekday-paddles.pdf#page=6,https://www4.septa.org/picking/pdf/summer-a-2026/victory/bus/paddles/weekday-paddles#page=6.pdf,https://www4.septa.org/picking/pdf/summer-a-2026/victory/bus/trip-sheets/weekday-trip-sheets.pdf
Victory busWeekday4,4,Victory bus,1 of 3,8,Weekday,https://www4.septa.org/picking/pdf/summer-a-2026/victory/bus/paddles/weekday-paddles.pdf#page=8,https://www4.septa.org/picking/pdf/summer-a-2026/victory/bus/paddles/weekday-paddles#page=8.pdf,https://www4.septa.org/picking/pdf/summer-a-2026/victory/bus/trip-sheets/weekday-trip-sheets.pdf
Victory busWeekday5,5,Victory bus,1 of 2,11,Weekday,https://www4.septa.org/picking/pdf/summer-a-2026/victory/bus/paddles/weekday-paddles.pdf#page=11,https://www4.septa.org/picking/pdf/summer-a-2026/victory/bus/paddles/weekday-paddles#page=11.pdf,https://www4.septa.org/picking/pdf/summer-a-2026/victory/bus/trip-sheets/weekday-trip-sheets.pdf
Victory busWeekday6,6,Victory bus,1 of 3,13,Weekday,https://www4.septa.org/picking/pdf/summer-a-2026/victory/bus/paddles/weekday-paddles.pdf#page=13,https://www4.septa.org/picking/pdf/summer-a-2026/victory/bus/paddles/weekday-paddles#page=13.pdf,https://www4.septa.org/picking/pdf/summer-a-2026/victory/bus/trip-sheets/weekday-trip-sheets.pdf
Victory busWeekday26,26,Victory bus,1 of 2,16,Weekday,https://www4.septa.org/picking/pdf/summer-a-2026/victory/bus/paddles/weekday-paddles.pdf#page=16,https://www4.septa.org/picking/pdf/summer-a-2026/victory/bus/paddles/weekday-paddles#page=16.pdf,https://www4.septa.org/picking/pdf/summer-a-2026/victory/bus/trip-sheets/weekday-trip-sheets.pdf
Victory busWeekday27,27,Victory bus,1 of 2,18,Weekday,https://www4.septa.org/picking/pdf/summer-a-2026/victory/bus/paddles/weekday-paddles.pdf#page=18,https://www4.septa.org/picking/pdf/summer-a-2026/victory/bus/paddles/weekday-paddles#page=18.pdf,https://www4.septa.org/picking/pdf/summer-a-2026/victory/bus/trip-sheets/weekday-trip-sheets.pdf
Victory busWeekday28,28,Victory bus,1 of 2,20,Weekday,https://www4.septa.org/picking/pdf/summer-a-2026/victory/bus/paddles/weekday-paddles.pdf#page=20,https://www4.septa.org/picking/pdf/summer-a-2026/victory/bus/paddles/weekday-paddles#page=20.pdf,https://www4.septa.org/picking/pdf/summer-a-2026/victory/bus/trip-sheets/weekday-trip-sheets.pdf
