myid,runno,depot,page_1,page,day,moblink,pclink,Trip Sheet
Victory busSaturday1,1,Victory bus,1 of 2,1,Saturday,https://www4.septa.org/picking/pdf/spring-a-2026/victory/bus/paddles/saturday-paddles.pdf#page=1,https://www4.septa.org/picking/pdf/spring-a-2026/victory/bus/paddles/saturday-paddles#page=1.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/victory/bus/trip-sheets/saturday-trip-sheets.pdf
Victory busSaturday2,2,Victory bus,1 of 2,3,Saturday,https://www4.septa.org/picking/pdf/spring-a-2026/victory/bus/paddles/saturday-paddles.pdf#page=3,https://www4.septa.org/picking/pdf/spring-a-2026/victory/bus/paddles/saturday-paddles#page=3.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/victory/bus/trip-sheets/saturday-trip-sheets.pdf
Victory busSaturday3,3,Victory bus,1 of 3,5,Saturday,https://www4.septa.org/picking/pdf/spring-a-2026/victory/bus/paddles/saturday-paddles.pdf#page=5,https://www4.septa.org/picking/pdf/spring-a-2026/victory/bus/paddles/saturday-paddles#page=5.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/victory/bus/trip-sheets/saturday-trip-sheets.pdf
Victory busSaturday26,26,Victory bus,1 of 2,8,Saturday,https://www4.septa.org/picking/pdf/spring-a-2026/victory/bus/paddles/saturday-paddles.pdf#page=8,https://www4.septa.org/picking/pdf/spring-a-2026/victory/bus/paddles/saturday-paddles#page=8.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/victory/bus/trip-sheets/saturday-trip-sheets.pdf
Victory busSaturday27,27,Victory bus,1 of 2,10,Saturday,https://www4.septa.org/picking/pdf/spring-a-2026/victory/bus/paddles/saturday-paddles.pdf#page=10,https://www4.septa.org/picking/pdf/spring-a-2026/victory/bus/paddles/saturday-paddles#page=10.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/victory/bus/trip-sheets/saturday-trip-sheets.pdf
Victory busSaturday28,28,Victory bus,1 of 1,12,Saturday,https://www4.septa.org/picking/pdf/spring-a-2026/victory/bus/paddles/saturday-paddles.pdf#page=12,https://www4.septa.org/picking/pdf/spring-a-2026/victory/bus/paddles/saturday-paddles#page=12.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/victory/bus/trip-sheets/saturday-trip-sheets.pdf
Victory busSaturday29,29,Victory bus,1 of 3,13,Saturday,https://www4.septa.org/picking/pdf/spring-a-2026/victory/bus/paddles/saturday-paddles.pdf#page=13,https://www4.septa.org/picking/pdf/spring-a-2026/victory/bus/paddles/saturday-paddles#page=13.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/victory/bus/trip-sheets/saturday-trip-sheets.pdf
Victory busSaturday30,30,Victory bus,1 of 3,16,Saturday,https://www4.septa.org/picking/pdf/spring-a-2026/victory/bus/paddles/saturday-paddles.pdf#page=16,https://www4.septa.org/picking/pdf/spring-a-2026/victory/bus/paddles/saturday-paddles#page=16.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/victory/bus/trip-sheets/saturday-trip-sheets.pdf
Victory busSaturday31,31,Victory bus,1 of 2,19,Saturday,https://www4.septa.org/picking/pdf/spring-a-2026/victory/bus/paddles/saturday-paddles.pdf#page=19,https://www4.septa.org/picking/pdf/spring-a-2026/victory/bus/paddles/saturday-paddles#page=19.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/victory/bus/trip-sheets/saturday-trip-sheets.pdf
Victory busSaturday32,32,Victory bus,1 of 2,21,Saturday,https://www4.septa.org/picking/pdf/spring-a-2026/victory/bus/paddles/saturday-paddles.pdf#page=21,https://www4.septa.org/picking/pdf/spring-a-2026/victory/bus/paddles/saturday-paddles#page=21.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/victory/bus/trip-sheets/saturday-trip-sheets.pdf
