myid,depot,eff_date,day,pullout2,swingdur,swingdursec,runno,start,arrive,finish,worktime,pay,leave,r1,b1,potype1,pot1,pitype1,pit1,stime1,stimeint1,start22,r2,b2,potype2,pot2,pitype2,pit2,stime2,stimeint2,start23,r3,b3,potype3,pot3,pitype3,pit3,stime3,stimeint3,start24,r4,b4,potype4,pot4,pitype4,pit4,stime4,stimeint4,start25,r5,b5,potype5,pot5,pitype5,pit5,stime5,stimeint5,start26,r6,b6,potype6,pot6,pitype6,pit6,stime6,stimeint6,start27,r7,b7,potype7,pot7,pitype7,pit7,stime7,stimeint7,start28,r8,b8,potype8,pot8,pitype8,pit8,stime8,stimeint8,start29,r9,b9,potype9,pot9,pitype9,pit9,stime9,stimeint9,start210,r10,b10,potype10,pot10,pitype10,pit10,stime10,stimeint10,sum1, sum12,sum2, sum22,sum3, sum32,sum4, sum42,sum5, sum52,sum6, sum62,sum7, sum72,sum8, sum82,sum9, sum92,sum10, sum102,
Victory Bussaturday1,Victory Bus,2-28-2026,saturday,,,,1,2023-10-11 05:48 AM,,2023-10-11 3:11 PM,8.7,8.7,,103,4201,O,06:01 AM,CG,07:30 AM,1:29,89,,105,4201,CG,07:30 AM,CG,09:05 AM,1:35,95,,103,4201,CG,09:05 AM,CG,10:45 AM,1:40,100,,106,4201,CG,10:45 AM,L,12:50 PM,2:05,125,,106,4201,L,01:30 PM,CG,01:30 PM,0:00,0,,105,4201,CG,01:30 PM,I,03:09 PM,1:39,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 103 SCHD: 1:29,--> O: 06:01 AM > CG: 07:30 AM,RTE: 105 SCHD: 1:35,--> CG: 07:30 AM > CG: 09:05 AM,RTE: 103 SCHD: 1:40,--> CG: 09:05 AM > CG: 10:45 AM,RTE: 106 SCHD: 2:05,--> CG: 10:45 AM > L: 12:50 PM,RTE: 106 SCHD: 0:00,--> L: 01:30 PM > CG: 01:30 PM,RTE: 105 SCHD: 1:39,--> CG: 01:30 PM > I: 03:09 PM,,,,,,,,,
Victory Bussaturday2,Victory Bus,2-28-2026,saturday,,,,2,2023-10-11 06:48 AM,,2023-10-11 6:28 PM,11.0,11.0,,103,4202,O,07:01 AM,CG,08:30 AM,1:29,89,,105,4202,CG,08:30 AM,L,12:05 PM,3:35,215,,105,4202,L,12:45 PM,CG,12:45 PM,0:00,0,,106,4202,CG,12:45 PM,CG,03:30 PM,2:45,165,,105,4202,CG,03:30 PM,CG,05:45 PM,2:15,135,,106,4202,CG,05:45 PM,I,06:26 PM,0:41,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 103 SCHD: 1:29,--> O: 07:01 AM > CG: 08:30 AM,RTE: 105 SCHD: 3:35,--> CG: 08:30 AM > L: 12:05 PM,RTE: 105 SCHD: 0:00,--> L: 12:45 PM > CG: 12:45 PM,RTE: 106 SCHD: 2:45,--> CG: 12:45 PM > CG: 03:30 PM,RTE: 105 SCHD: 2:15,--> CG: 03:30 PM > CG: 05:45 PM,RTE: 106 SCHD: 0:41,--> CG: 05:45 PM > I: 06:26 PM,,,,,,,,,
Victory Bussaturday3,Victory Bus,2-28-2026,saturday,,,,3,2023-10-11 02:48 PM,,2023-10-11 10:22 PM,7.1,8.0,,103,4203,O,03:01 PM,CG,04:45 PM,1:44,104,,106,4203,CG,04:45 PM,CG,07:05 PM,2:20,140,,103,4203,CG,07:05 PM,L,08:11 PM,1:06,66,,103,4203,L,08:30 PM,CG,08:30 PM,0:00,0,,105,4203,CG,08:30 PM,CG,10:05 PM,1:35,95,,103,4203,CG,10:05 PM,I,10:20 PM,0:15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 103 SCHD: 1:44,--> O: 03:01 PM > CG: 04:45 PM,RTE: 106 SCHD: 2:20,--> CG: 04:45 PM > CG: 07:05 PM,RTE: 103 SCHD: 1:06,--> CG: 07:05 PM > L: 08:11 PM,RTE: 103 SCHD: 0:00,--> L: 08:30 PM > CG: 08:30 PM,RTE: 105 SCHD: 1:35,--> CG: 08:30 PM > CG: 10:05 PM,RTE: 103 SCHD: 0:15,--> CG: 10:05 PM > I: 10:20 PM,,,,,,,,,
Victory Bussaturday26,Victory Bus,2-28-2026,saturday,,,,26,2023-10-11 04:48 AM,,2023-10-11 12:59 PM,7.5,8.0,,104,4215,O,05:01 AM,CG,07:35 AM,2:34,154,,126,4215,CG,07:35 AM,L,09:23 AM,1:48,108,,126,4215,L,10:20 AM,CG,10:20 AM,0:00,0,,112,4215,CG,10:20 AM,CG,11:40 AM,1:20,80,,126,4215,CG,11:40 AM,I,12:57 PM,1:17,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 104 SCHD: 2:34,--> O: 05:01 AM > CG: 07:35 AM,RTE: 126 SCHD: 1:48,--> CG: 07:35 AM > L: 09:23 AM,RTE: 126 SCHD: 0:00,--> L: 10:20 AM > CG: 10:20 AM,RTE: 112 SCHD: 1:20,--> CG: 10:20 AM > CG: 11:40 AM,RTE: 126 SCHD: 1:17,--> CG: 11:40 AM > I: 12:57 PM,,,,,,,,,,,
Victory Bussaturday27,Victory Bus,2-28-2026,saturday,,,,27,2023-10-11 05:18 AM,,2023-10-11 4:04 PM,10.2,10.2,,104,4216,O,05:31 AM,L,07:41 AM,2:10,130,,104,4216,L,08:05 AM,CG,10:40 AM,2:35,155,,109,4216,CG,10:40 AM,CG,03:30 PM,4:50,290,,104,4216,CG,03:30 PM,I,04:02 PM,0:32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 104 SCHD: 2:10,--> O: 05:31 AM > L: 07:41 AM,RTE: 104 SCHD: 2:35,--> L: 08:05 AM > CG: 10:40 AM,RTE: 109 SCHD: 4:50,--> CG: 10:40 AM > CG: 03:30 PM,RTE: 104 SCHD: 0:32,--> CG: 03:30 PM > I: 04:02 PM,,,,,,,,,,,,,
Victory Bussaturday28,Victory Bus,2-28-2026,saturday,,,,28,2023-10-11 06:08 AM,,2023-10-11 2:45 PM,7.9,8.0,,104,4217,O,06:21 AM,L,11:29 AM,5:08,308,,104,4217,L,12:05 PM,I,02:43 PM,2:38,158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 104 SCHD: 5:08,--> O: 06:21 AM > L: 11:29 AM,RTE: 104 SCHD: 2:38,--> L: 12:05 PM > I: 02:43 PM,,,,,,,,,,,,,,,,,
Victory Bussaturday29,Victory Bus,2-28-2026,saturday,,,,29,2023-10-11 06:48 AM,,2023-10-11 6:01 PM,10.6,10.6,,104,4218,O,07:01 AM,CG,09:20 AM,2:19,139,,112,4218,CG,09:20 AM,CG,10:40 AM,1:20,80,,126,4218,CG,10:40 AM,L,11:53 AM,1:13,73,,126,4218,L,12:20 PM,CG,12:20 PM,0:00,0,,112,4218,CG,12:20 PM,CG,01:40 PM,1:20,80,,126,4218,CG,01:40 PM,CG,03:20 PM,1:40,100,,112,4218,CG,03:20 PM,CG,04:40 PM,1:20,80,,126,4218,CG,04:40 PM,I,05:59 PM,1:19,79,,,,,,,,,,,,,,,,,,,RTE: 104 SCHD: 2:19,--> O: 07:01 AM > CG: 09:20 AM,RTE: 112 SCHD: 1:20,--> CG: 09:20 AM > CG: 10:40 AM,RTE: 126 SCHD: 1:13,--> CG: 10:40 AM > L: 11:53 AM,RTE: 126 SCHD: 0:00,--> L: 12:20 PM > CG: 12:20 PM,RTE: 112 SCHD: 1:20,--> CG: 12:20 PM > CG: 01:40 PM,RTE: 126 SCHD: 1:40,--> CG: 01:40 PM > CG: 03:20 PM,RTE: 112 SCHD: 1:20,--> CG: 03:20 PM > CG: 04:40 PM,RTE: 126 SCHD: 1:19,--> CG: 04:40 PM > I: 05:59 PM,,,,,
Victory Bussaturday30,Victory Bus,2-28-2026,saturday,,,,30,2023-10-11 02:17 PM,,2023-10-12 1:28 AM,10.5,10.5,,104,4219,O,02:30 PM,CG,03:55 PM,1:25,85,,123,4219,CG,03:55 PM,L,07:52 PM,3:57,237,,123,4219,L,08:20 PM,CG,09:10 PM,0:50,50,,104,4219,CG,09:10 PM,I,01:26 AM,4:16,256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 104 SCHD: 1:25,--> O: 02:30 PM > CG: 03:55 PM,RTE: 123 SCHD: 3:57,--> CG: 03:55 PM > L: 07:52 PM,RTE: 123 SCHD: 0:50,--> L: 08:20 PM > CG: 09:10 PM,RTE: 104 SCHD: 4:16,--> CG: 09:10 PM > I: 01:26 AM,,,,,,,,,,,,,
Victory Bussaturday31,Victory Bus,2-28-2026,saturday,,,,31,2023-10-11 02:47 PM,,2023-10-11 11:26 PM,8.0,8.0,,104,4220,O,03:00 PM,L,08:45 PM,5:45,345,,104,4220,L,09:19 PM,CG,09:19 PM,0:00,0,,123,4220,CG,09:19 PM,I,11:24 PM,2:05,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 104 SCHD: 5:45,--> O: 03:00 PM > L: 08:45 PM,RTE: 104 SCHD: 0:00,--> L: 09:19 PM > CG: 09:19 PM,RTE: 123 SCHD: 2:05,--> CG: 09:19 PM > I: 11:24 PM,,,,,,,,,,,,,,,
Victory Bussaturday32,Victory Bus,2-28-2026,saturday,,,,32,2023-10-11 03:47 PM,,2023-10-12 1:41 AM,9.2,9.2,,104,4221,O,04:00 PM,L,06:34 PM,2:34,154,,104,4221,L,07:05 PM,CG,09:35 PM,2:30,150,,120,4221,CG,09:35 PM,I,01:39 AM,4:04,244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 104 SCHD: 2:34,--> O: 04:00 PM > L: 06:34 PM,RTE: 104 SCHD: 2:30,--> L: 07:05 PM > CG: 09:35 PM,RTE: 120 SCHD: 4:04,--> CG: 09:35 PM > I: 01:39 AM,,,,,,,,,,,,,,,
