myid,depot,eff_date,day,pullout2,swingdur,swingdursec,runno,start,arrive,finish,worktime,pay,leave,r1,b1,potype1,pot1,pitype1,pit1,stime1,stimeint1,start22,r2,b2,potype2,pot2,pitype2,pit2,stime2,stimeint2,start23,r3,b3,potype3,pot3,pitype3,pit3,stime3,stimeint3,start24,r4,b4,potype4,pot4,pitype4,pit4,stime4,stimeint4,start25,r5,b5,potype5,pot5,pitype5,pit5,stime5,stimeint5,start26,r6,b6,potype6,pot6,pitype6,pit6,stime6,stimeint6,start27,r7,b7,potype7,pot7,pitype7,pit7,stime7,stimeint7,start28,r8,b8,potype8,pot8,pitype8,pit8,stime8,stimeint8,start29,r9,b9,potype9,pot9,pitype9,pit9,stime9,stimeint9,start210,r10,b10,potype10,pot10,pitype10,pit10,stime10,stimeint10,sum1, sum12,sum2, sum22,sum3, sum32,sum4, sum42,sum5, sum52,sum6, sum62,sum7, sum72,sum8, sum82,sum9, sum92,sum10, sum102,
Victory Busweekday1,Victory Bus,2-23-2026,weekday,,,,1,2023-10-11 04:42 AM,2:31,2023-10-11 2:31 PM,9.1,9.1,,103,4201,O,04:56 AM,CG,08:50 AM,3:54,234,,105,4201,CG,08:50 AM,L,10:18 AM,1:28,88,,105,4201,L,10:50 AM,R,02:23 PM,3:33,213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 103 SCHD: 3:54,--> O: 04:56 AM > CG: 08:50 AM,RTE: 105 SCHD: 1:28,--> CG: 08:50 AM > L: 10:18 AM,RTE: 105 SCHD: 3:33,--> L: 10:50 AM > R: 02:23 PM,,,,,,,,,,,,,,,
Victory Busweekday2,Victory Bus,2-23-2026,weekday,,,,2,2023-10-11 05:01 AM,3:04,2023-10-11 3:04 PM,9.4,9.4,,103,4202,O,05:15 AM,L,10:53 AM,5:38,338,,103,4202,L,11:40 AM,R,02:56 PM,3:16,196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 103 SCHD: 5:38,--> O: 05:15 AM > L: 10:53 AM,RTE: 103 SCHD: 3:16,--> L: 11:40 AM > R: 02:56 PM,,,,,,,,,,,,,,,,,
Victory Busweekday3,Victory Bus,2-23-2026,weekday,12:15 PM,3Hrs 10Min,11400,3,2023-10-11 06:00 AM,,2023-10-11 7:04 PM,9.7,10.6,,103,4203,O,06:14 AM,I,09:05 AM,2:51,171,12:05,119,4623,O,12:15 PM,I,07:01 PM,6:46,406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 103 SCHD: 2:51,--> O: 06:14 AM > I: 09:05 AM,RTE: 119 SCHD: 6:46,--> O: 12:15 PM > I: 07:01 PM,,,,,,,,,,,,,,,,,
Victory Busweekday4,Victory Bus,2-23-2026,weekday,04:05 PM,4Hrs 9Min,14940,4,2023-10-11 06:39 AM,,2023-10-11 7:31 PM,8.7,9.6,,103,4204,O,06:53 AM,R,11:56 AM,5:03,303,3:55,103,4206,O,04:05 PM,I,07:28 PM,3:23,203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 103 SCHD: 5:03,--> O: 06:53 AM > R: 11:56 AM,RTE: 103 SCHD: 3:23,--> O: 04:05 PM > I: 07:28 PM,,,,,,,,,,,,,,,,,
Victory Busweekday5,Victory Bus,2-23-2026,weekday,,,,5,2023-10-11 12:20 PM,,2023-10-11 9:51 PM,9.0,9.0,12:24,103,4204,R,12:32 PM,L,03:57 PM,3:25,205,,103,4204,L,04:30 PM,CG,04:30 PM,0:00,0,,105,4204,CG,04:30 PM,CG,08:35 PM,4:05,245,,103,4204,CG,08:35 PM,I,09:48 PM,1:13,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 103 SCHD: 3:25,--> R: 12:32 PM > L: 03:57 PM,RTE: 103 SCHD: 0:00,--> L: 04:30 PM > CG: 04:30 PM,RTE: 105 SCHD: 4:05,--> CG: 04:30 PM > CG: 08:35 PM,RTE: 103 SCHD: 1:13,--> CG: 08:35 PM > I: 09:48 PM,,,,,,,,,,,,,
Victory Busweekday6,Victory Bus,2-23-2026,weekday,,,,6,2023-10-11 02:14 PM,,2023-10-11 11:09 PM,8.2,8.2,,103,4205,O,02:28 PM,L,07:50 PM,5:22,322,,103,4205,L,08:30 PM,CG,08:30 PM,0:00,0,,105,4205,CG,08:30 PM,CG,09:40 PM,1:10,70,,103,4205,CG,09:40 PM,I,11:06 PM,1:26,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 103 SCHD: 5:22,--> O: 02:28 PM > L: 07:50 PM,RTE: 103 SCHD: 0:00,--> L: 08:30 PM > CG: 08:30 PM,RTE: 105 SCHD: 1:10,--> CG: 08:30 PM > CG: 09:40 PM,RTE: 103 SCHD: 1:26,--> CG: 09:40 PM > I: 11:06 PM,,,,,,,,,,,,,
Victory Busweekday26,Victory Bus,2-23-2026,weekday,,,,26,2023-10-11 03:49 AM,,2023-10-11 1:09 PM,8.7,8.7,,104,4215,O,04:03 AM,L,09:54 AM,5:51,351,,104,4215,L,10:35 AM,I,01:06 PM,2:31,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 104 SCHD: 5:51,--> O: 04:03 AM > L: 09:54 AM,RTE: 104 SCHD: 2:31,--> L: 10:35 AM > I: 01:06 PM,,,,,,,,,,,,,,,,,
Victory Busweekday27,Victory Bus,2-23-2026,weekday,,,,27,2023-10-11 03:59 AM,,2023-10-11 1:43 PM,9.2,9.2,,104,4216,O,04:13 AM,CG,09:15 AM,5:02,302,,112,4216,CG,09:15 AM,L,10:23 AM,1:08,68,,112,4216,L,10:45 AM,CG,12:30 PM,1:45,105,,126,4216,CG,12:30 PM,I,01:40 PM,1:10,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 104 SCHD: 5:02,--> O: 04:13 AM > CG: 09:15 AM,RTE: 112 SCHD: 1:08,--> CG: 09:15 AM > L: 10:23 AM,RTE: 112 SCHD: 1:45,--> L: 10:45 AM > CG: 12:30 PM,RTE: 126 SCHD: 1:10,--> CG: 12:30 PM > I: 01:40 PM,,,,,,,,,,,,,
Victory Busweekday28,Victory Bus,2-23-2026,weekday,,,,28,2023-10-11 04:19 AM,,2023-10-11 1:30 PM,8.6,8.6,,104,4217,O,04:33 AM,L,11:03 AM,6:30,390,,104,4217,L,11:25 AM,CG,11:25 AM,0:00,0,,120,4217,CG,11:25 AM,I,01:27 PM,2:02,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 104 SCHD: 6:30,--> O: 04:33 AM > L: 11:03 AM,RTE: 104 SCHD: 0:00,--> L: 11:25 AM > CG: 11:25 AM,RTE: 120 SCHD: 2:02,--> CG: 11:25 AM > I: 01:27 PM,,,,,,,,,,,,,,,
Victory Busweekday29,Victory Bus,2-23-2026,weekday,,,,29,2023-10-11 05:04 AM,1:44,2023-10-11 1:44 PM,8.0,8.0,,104,4218,O,05:18 AM,L,10:37 AM,5:19,319,,104,4218,L,11:05 AM,R,01:36 PM,2:31,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 104 SCHD: 5:19,--> O: 05:18 AM > L: 10:37 AM,RTE: 104 SCHD: 2:31,--> L: 11:05 AM > R: 01:36 PM,,,,,,,,,,,,,,,,,
